"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"GladeGleamBright",3475,2.71,7.5,5.6,7.7,1,6,2,0,1,40,15,39,139,9,1,10,3,3,61,212100,294283,66106,6246,128054,1817.1,2649,3163,10284,0,2075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32652,36472,63.5,300,3019,18760,10,11,10,3,3,21,0.61,1.82,0,168,0,1,3,-1.7,426.95,2264,-68.25,-97.55,-9.8,0.2,0.26,36959,47636,72,283,4137,17886,4,9,16,0,5,16,0.57,2.22,0,515,0,1,2,-0.5,524.3,1463.1,95,-103.1,-37,0.21,0.26,135380,190741,9.17,506,48147,80102,59,31,31,6,25,67,0.6,2.9,50,5431,16.67,2.17,4,0.47,410.7,3362.4,36.6,10.94,194.3,0.24,0.28,7109,19434,4,16,10803,11306,2,5,20,6,6,35,0.69,4.4,100,132,0,0,0,-0.3,318.4,1079.4,10.85,-35.15,58.9,0.16,0.06
"Kiyoon",3069,1.70,4.50,6.10,5.90,1,7,2,0,0,10,29, 43, 135, 4, 0, 9,2,2,56, 128482, 243147, 49470, 98.50, 96826,1694.6,2133,2482,12331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16737,23017,53.50,212,1005,14029,7,7,9,3,3,19,0.55,2.29,50.00,171,0.00,1.00,3.50,-1.70,388.70,0,-40.15,-103.05,0,0.20,0.20,15467,22486,41.00,193,1777,11224,3,8,5,2,2,16,0.40,1.00,0.00,1784,0.00,1.00,2.00,-1.30,275.90,1223.80,-137.40,130.30,-131.60,0.19,0.17,96278,197644,6.43,523,46688,71573,35,46,45,24,38,100,0.58,1.74,0.00,3955,14.29,1.43,2.29,0.04,364.33,2339.17,-35.66,-55.66,-11.57,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"poro cute",2325,1.51,3.10,5.30,4.90,10,0,0,0,0,70,19, 28, 105, 9, 2, 13,3,0,40, 163992, 202852, 41103, 48.55, 95230,1465.1,14651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,163992,202852,62.70,1479,41103,95230,31,53,49,19,28,105,0.40,1.51,70.00,2913,0.00,0.70,1.90,0.78,414.79,2872.10,14.68,-37.30,-148.63,0.20,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Slooshi8",2375,2.75,6.30,4.40,5.80,0,0,6,4,0,50,12, 21, 79, 15, 1, 14,6,5,55, 221786, 184425, 29785, 60.35, 128155,1761.5,0,10901,0,6714,0,78558,74591,66.75,887,11705,53129,30,16,26,2,7,25,0.57,3.50,50.00,1910,0.00,1.75,4.50,0.00,301.98,1673.20,13.60,92.43,-2.13,0.25,0.25,143228,109834,77.33,1248,18080,75026,33,28,32,10,14,54,0.52,2.32,50.00,1711,16.67,1.67,2.83,0.73,473.68,2315.43,50.55,11.06,-172.87,0.22,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Linsanityy",3332,2.83,6.70,4.80,6.90,0,3,4,3,0,40,12, 36, 108, 11, 0, 11,1,6,62, 209149, 181269, 37189, 93.17, 119740,1732.7,0,8407,3649,5271,0,62084,46060,65.33,625,11419,41638,28,10,19,0,12,32,0.67,4.70,66.67,1780,33.33,1.67,6.67,0.00,302.57,2922.60,17.35,65.53,-79.00,0.24,0.31,123149,81179,64.00,932,12718,58666,31,25,38,8,16,58,0.57,2.76,50.00,2725,0.00,2.75,2.75,-0.03,430.90,1766.57,20.43,79.90,-43.83,0.21,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23916,54030,25.33,126,13052,19436,8,13,12,4,8,18,0.74,1.54,0.00,1085,0.00,0.33,1.67,-0.17,374.03,0,-13.50,-158.90,0,0.21,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"KiWiKiD",3497,2.44,0.90,5.20,11.80,0,0,0,2,8,50,30, 50, 195, 5, 0, 9,1,3,56, 69428, 173876, 52096, 22.02, 88233,1727.4,0,0,0,2912,14362,19263,29250,59.00,335,4159,16936,3,16,10,0,1,12,0.42,0.81,0.00,243,0.00,0.00,0.00,0.00,298.70,0,-44.63,14.70,0,0.21,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50165,144626,6.50,177,47937,71297,6,36,108,30,49,183,0.58,3.17,62.50,1078,0.00,0.25,0.63,0.28,286.99,1927.73,22.77,-6.87,22.97,0.15,0.08,
"lron Pyrite",3180,3.50,3.20,4.20,11.50,0,0,2,2,6,60,25, 69, 261, 6, 1, 15,3,6,57, 103192, 182613, 63133, 68.42, 101528,1837,0,4673,0,3349,10348,10000,43829,16.00,104,10618,16983,7,15,24,6,14,56,0.70,2.07,0.00,313,0.00,0.00,0.00,0.00,236.75,1534.90,-81.55,-91.05,-4.40,0.17,0.06,65823,41126,75.00,484,11799,31597,17,5,20,3,2,40,0.54,7.40,100.00,2532,50.00,2.50,4.00,-0.55,449.95,1386.25,-5.55,-63.20,134.50,0.20,0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27369,97658,14.67,299,40716,52948,8,22,71,16,53,165,0.53,3.59,66.67,1260,0.00,0.33,0.67,0.97,290.25,1964.85,28.39,-25.40,-139.80,0.15,0.06,
"SE MaGeRdAnGeR",3280,4.05,7.70,4.20,9.30,0,10,0,0,0,60,26, 62, 118, 7, 0, 19,6,3,62, 177195, 355083, 141995, 133.13, 129139,1844.6,0,0,18446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177195,355083,9.60,941,141995,129139,77,42,93,26,62,118,0.62,4.05,60.00,7988,20.00,1.90,3.90,0.29,407.63,2749.80,26.77,30.02,-104.40,0.21,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"TangerineOrange",3809,3.04,6.60,5.20,9.20,0,0,0,10,0,50,24, 56, 131, 21, 2, 17,4,5,63, 278947, 221032, 45268, 176.67, 149596,1970.3,0,0,0,19703,0,278947,221032,76.30,2634,45268,149596,66,52,92,24,56,131,0.63,3.04,50.00,10600,0.00,1.30,3.90,0.00,341.91,1873.30,16.31,18.39,19.10,0.24,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ablazeolive",3891,3.89,7.90,3.70,6.50,0,0,6,4,0,70,18, 35, 117, 14, 4, 10,3,6,57, 262813, 160558, 27665, 53.92, 130159,1719,0,9897,0,7293,0,77793,73301,76.75,938,12630,51427,21,21,27,7,21,50,0.56,2.29,25.00,724,25.00,1.25,2.00,0.00,319.25,3727.60,9.51,-8.25,-130.25,0.23,0.24,185020,87257,77.67,1222,15035,78732,58,16,38,11,14,67,0.57,6.00,100.00,2511,16.67,2.00,5.17,1.42,468.35,3309.75,61.90,113.48,54.85,0.22,0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
