"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"ohim",4.74,2.1,3.5,14.5,1,0,0,0,9,60,42,6,17,1,6,63,39.07
"Silidos",3.29,5.60,3.40,5.60,0,0,1,9,0,80,0,15,13,5,2,51,21.73
"KEVlN DURANT",3.25,5.50,4.00,7.50,6,0,0,4,0,50,18,12,17,2,7,54,107.68
"Zomp",3.32,5.50,3.70,6.80,0,0,3,7,0,50,13,17,7,1,3,53,60.50
"US Economy",2.59,2.30,4.90,10.40,5,0,0,1,4,40,42,11,15,8,4,55,44.82
"Chinese Jester",3.95,3.20,4.20,13.40,0,3,1,1,5,60,31,5,18,2,4,57,46.68
"Suzikai",1.81,1.30,5.80,9.20,1,1,0,0,8,30,56,3,8,9,3,54,38.32
"peterlelol",3.91,2.30,3.50,11.40,0,3,0,1,6,50,25,5,19,1,4,61,106.53
"Synotic",2.35,1.50,5.40,11.20,1,6,0,0,3,40,26,2,18,4,4,57,74.00
"Knubzyy",2.92,6.90,5.20,8.30,0,0,8,2,0,50,10,12,22,5,4,62,73.13
"SZ Day1",3.04,2.50,4.80,12.10,0,0,0,3,7,50,42,5,16,3,5,60,32.40
"Suna Shogun Sama",3.36,2.40,4.20,11.70,1,2,0,2,5,60,14,11,22,4,3,55,121.97
"BestLucianAfrica",2.39,3.90,5.70,9.70,0,0,1,4,5,50,22,8,9,4,4,53,47.78
"Akeelo",2.24,5.30,5.40,6.80,8,0,2,0,0,60,0,11,18,11,6,44,183.72
"Pomi",1.67,1.70,4.60,6.00,0,8,0,1,1,20,34,2,12,2,1,49,70.10
"lolnessoflol",2.88,4.50,4.30,7.90,4,1,0,1,4,70,3,13,22,4,7,50,43.75
"ur garbage",3.31,6.10,4.20,7.80,0,6,4,0,0,40,27,12,11,0,2,62,98.12
"singvbb",3.20,4.90,5.00,11.10,0,0,6,1,3,50,34,7,16,2,6,56,44.35
"MomSawMeFapping",2.96,5.60,4.50,7.70,0,6,4,0,0,60,15,5,10,0,2,51,71.92
"Crown Me K1ng",2.63,4.50,4.90,8.40,9,0,1,0,0,50,15,15,12,3,6,50,108.88
"SirDrakeshine",3.00,3.30,3.80,8.10,4,6,0,0,0,60,16,4,13,1,2,50,133.68
"West Coast Carry",2.43,2.80,2.80,4.00,9,1,0,0,0,50,17,6,3,0,2,45,110.58
