"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"TERA SUP",2275,3.67,3.5,4.3,12.3,4,0,0,1,5,30,24,42,228,3,0,19,2,2,62,144635,246176,88813,4774,103485,1851.6,6565,0,0,2380,9571,35869,26521,77,257,6000,15777,9,8,12,0,5,12,0.58,2.63,0,1339,0,3,4,0.5,296.5,1269,-29.45,60.2,-35.8,0.22,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68782,109601,62.25,735,27568,39266,14,18,29,3,1,37,0.63,2.39,25,2617,25,0.25,1,0.5,427.65,3816.2,13.9,-31.63,257.4,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39984,110054,8,243,55245,48442,12,17,82,21,36,179,0.62,5.53,40,818,0,0.8,1.2,-0.07,258.04,1336.57,-8.55,104.33,-95.18,0.16,0.09
"Silidos",2284,2.80,8.60,5.90,7.90,0,0,3,7,0,60,1, 33, 73, 21, 4, 21,4,8,54, 269083, 235674, 58071, 34.17, 137610,1892.8,0,4722,0,14206,0,213228,175280,69.71,1491,29228,103814,65,44,58,0,29,48,0.55,2.80,57.14,1746,0.00,2.43,3.43,0.00,298.43,1286.75,3.16,-63.56,-29.63,0.22,0.26,55855,60394,75.67,542,28843,33796,21,15,21,1,4,25,0.53,2.80,66.67,304,0.00,2.00,4.33,0.20,423.27,0,-30.07,27.90,0,0.21,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"KEVlN DURANT",2272,1.68,3.70,4.10,3.20,6,0,1,3,0,30,9, 15, 93, 6, 0, 9,3,2,45, 124156, 165423, 26422, 39.82, 96017,1510.3,9299,1517,0,4287,0,43535,38932,74.33,497,5507,29092,13,15,12,0,2,26,0.58,1.67,33.33,975,0.00,0.67,2.00,0.01,315.47,2782.90,-9.87,-116.80,112.75,0.23,0.26,9204,12977,62.00,159,452,7909,2,6,0,0,1,4,0.25,0.33,0.00,116,0.00,0.00,0.00,-1.30,407.90,0,-64.50,-258.20,0,0.21,0.22,71417,113514,61.00,1073,20463,59016,22,20,20,9,12,63,0.40,2.10,33.33,1298,0.00,0.50,2.00,0.03,396.48,0,-9.27,27.57,0,0.22,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Zomp",2043,3.39,6.10,4.10,7.80,2,3,1,4,0,50,20, 21, 175, 6, 1, 15,2,5,57, 187182, 251118, 73820, 112.83, 117569,1786.4,4404,1259,5489,6712,0,96576,64730,67.50,751,12251,51478,41,14,27,3,4,37,0.62,4.86,75.00,2712,25.00,3.00,3.25,0.06,351.20,2071.00,13.80,167.20,78.03,0.24,0.32,6873,9659,59.00,126,1206,7046,3,5,0,2,0,6,0.23,0.60,0.00,190,100.00,0.00,0.00,-0.30,338.60,0,-100.20,-172.90,0,0.20,0.18,41709,75471,54.50,456,18311,24501,7,13,14,6,9,11,0.51,1.62,0.00,1752,50.00,0.50,1.50,0.25,377.30,1247.75,-27.50,28.65,-65.95,0.20,0.18,42024,101258,6.00,245,42052,34544,10,9,37,9,8,121,0.57,5.22,66.67,2116,0.00,1.33,1.33,-0.00,355.23,2536.10,-49.33,-39.75,-201.40,0.19,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"US Economy",2900,4.22,3.70,4.00,13.20,2,1,0,0,7,70,43, 87, 237, 6, 0, 13,5,3,61, 120659, 190904, 63124, 47.05, 100591,1752.7,2801,0,1226,0,13500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34554,34536,63.00,251,5583,22722,21,7,24,4,3,17,0.66,6.43,100.00,177,0.00,2.00,5.00,1.00,438.30,2063.30,28.30,161.50,90.10,0.22,0.21,2182,13884,4.00,78,5305,6179,1,3,0,3,1,7,1.00,0.33,0.00,561,0.00,0.00,0.00,0.20,326.90,0,-77.10,-97.80,0,0.22,0.09,83923,142484,5.29,199,52236,71690,15,30,108,36,83,213,0.59,4.10,71.43,2085,0.00,0.14,0.71,-0.17,273.27,1203.12,5.52,31.87,-46.30,0.16,0.13,
"Suzikai",2211,1.50,1.50,6.60,8.40,1,1,1,0,7,20,56, 94, 322, 4, 0, 9,9,2,54, 87565, 229704, 71640, 39.82, 94015,1984,1918,2238,1610,0,14074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16886,31681,68.00,251,0,13453,3,13,9,3,9,20,0.46,0.92,0.00,169,0.00,0.00,0.00,0.70,462.10,1284.90,-0.80,-6.30,-28.00,0.20,0.15,18355,35221,69.00,217,7783,10764,2,6,2,4,3,17,0.22,0.67,0.00,99,0.00,0.00,0.00,1.80,445.30,1328.50,80.80,-12.00,-238.80,0.20,0.23,6247,24327,9.00,0,4133,6829,1,9,10,7,7,30,0.55,1.22,0.00,114,0.00,0.00,0.00,0.00,178.90,0,0.00,0.00,0,0.15,0.12,46077,138475,4.57,197,59724,62969,9,38,63,42,75,255,0.60,1.89,28.57,2007,14.29,0.29,0.71,-0.24,267.56,962.08,-6.20,-33.68,-62.08,0.15,0.08,
"peterlelol",2447,3.67,4.50,3.60,8.70,3,4,0,0,3,40,17, 45, 139, 1, 3, 7,0,1,61, 143431, 268157, 68000, 114.82, 103349,1691,5997,0,6092,0,4821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62212,102952,59.67,573,16441,34673,12,8,30,3,11,33,0.63,5.25,33.33,2478,33.33,1.33,2.67,-0.10,453.07,1341.47,37.43,40.70,-44.77,0.19,0.21,60728,105940,4.25,371,40422,43067,26,15,22,7,23,38,0.55,3.20,50.00,2187,25.00,1.50,4.50,-0.10,401.68,0,7.85,80.60,0,0.22,0.20,20491,59265,13.33,116,11137,25609,7,13,35,7,11,68,0.69,3.23,33.33,2224,0.00,0.67,1.33,1.02,264.20,2410.20,-4.87,-110.25,450.05,0.17,0.10,
"Synotic",2360,2.47,2.20,5.10,10.40,0,0,3,0,7,30,8, 47, 232, 3, 2, 14,0,4,64, 107448, 237196, 43488, 53.22, 93136,1883.1,0,6014,0,0,12817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60930,84790,57.67,545,14855,35195,12,18,27,0,7,39,0.57,2.17,33.33,502,0.00,1.00,2.33,-1.77,406.70,1678.80,-68.77,-81.87,-73.15,0.20,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46518,152406,8.86,199,28633,57941,10,33,77,8,40,193,0.68,2.64,28.57,2691,0.00,0.14,0.29,0.40,233.99,1500.37,-16.19,-75.00,-2.72,0.16,0.09,
"Knubzyy",2980,3.39,3.40,4.10,10.50,0,0,4,0,6,50,18, 37, 186, 8, 1, 15,2,3,48, 140341, 129785, 20690, 46.47, 100645,1749.6,0,7249,0,0,10247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65703,58949,60.00,671,8940,41715,16,17,29,6,14,44,0.38,2.65,25.00,1566,25.00,1.25,1.75,-1.12,431.60,1708.20,-22.77,-14.90,54.80,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74638,70836,6.50,257,11750,58930,18,24,76,12,23,142,0.56,3.92,66.67,1222,0.00,0.33,1.33,-0.62,286.32,2542.25,7.32,48.25,201.50,0.17,0.15,
"Suna Shogun Sama",2433,3.56,1.90,4.10,12.70,0,0,0,2,8,60,19, 48, 232, 5, 0, 18,3,6,59, 84193, 191192, 70096, 31.17, 90084,1684.8,0,0,0,2931,13917,24115,33387,45.50,289,7948,18418,5,7,11,1,3,18,0.36,2.29,50.00,270,0.00,1.00,1.00,0.00,289.05,1441.90,-15.83,-46.95,-219.05,0.19,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60078,157805,6.00,205,62148,71666,14,34,116,18,45,214,0.64,3.82,62.50,1600,12.50,0.38,0.75,-0.11,251.93,1724.82,2.14,82.79,94.90,0.16,0.09,
