"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Dylan Q Ta",2.25,3.9,5.6,8.7,4,3,1,0,2,40,12,6,10,4,1,57,64.23
"Sefciuc",3.28,2.90,5.00,13.50,0,0,2,0,8,40,34,4,9,1,4,63,58.55
"Thormeyer",2.84,5.40,4.50,7.40,0,0,2,8,0,60,7,11,13,7,6,53,28.22
"Kiseki No Sedai",3.38,6.70,4.70,9.20,8,0,1,1,0,40,16,12,19,4,7,52,59.00
"Girl ADC xD",3.95,8.60,4.20,8.00,0,2,2,6,0,80,11,20,18,3,7,64,103.78
"Shacsteryo",2.48,7.30,5.00,5.10,0,10,0,0,0,50,14,16,11,1,2,51,165.05
"dueygolf",2.58,4.80,4.80,7.60,0,1,0,6,3,50,25,13,15,3,2,58,52.30
"Slarky",2.98,0.80,4.20,11.70,1,0,0,0,9,30,29,2,12,3,3,57,30.60
"FirstChoice",3.02,6.00,4.70,8.20,2,0,6,2,0,70,3,13,18,5,6,57,59.32
"ADC LF LCS TEAM",2.42,5.20,4.30,5.20,0,0,1,9,0,50,12,18,13,6,2,48,65.82
"whatsaward",2.31,4.50,5.80,8.90,2,1,2,2,3,60,16,6,20,8,4,54,49.18
" I E",2.65,6.80,5.40,7.50,2,8,0,0,0,50,31,6,11,3,4,58,95.23
"kyle 8D",3.31,1.90,3.50,9.70,0,2,2,1,5,40,22,3,10,5,4,56,84.42
"Mukatto",2.00,3.30,4.90,6.50,8,0,2,0,0,40,10,8,13,4,2,45,141.82
"Twilly",3.77,6.60,3.00,4.70,3,1,6,0,0,60,1,7,13,4,5,50,113.23
"HotDream",3.14,6.40,5.60,11.20,3,0,1,6,0,60,13,15,25,1,6,62,156.57
"MercRydias",2.28,1.80,4.70,8.90,2,0,0,1,7,20,21,7,14,3,2,51,16.73
"NuthinImpossible",1.68,3.50,6.30,7.10,4,1,1,4,0,40,9,11,14,4,3,36,64.57
"lllllIIIIIlllllI",3.06,6.10,4.70,8.30,2,0,0,8,0,30,11,10,9,0,2,59,92.30
"FappToTheFuture",3.39,2.40,4.40,12.50,0,0,0,1,9,60,24,2,14,2,6,59,35.20
"MykieMaus",3.47,8.30,4.30,6.60,1,5,0,4,0,50,24,21,22,4,6,59,49.73
"OutRicked",2.49,8.90,6.50,7.30,0,1,1,8,0,60,12,27,22,4,9,54,55.08
"SoullessInferno",3.00,4.60,4.50,8.90,1,0,1,4,4,70,34,13,18,3,4,51,36.28
"The Playmaker",2.07,4.20,4.40,4.90,0,1,9,0,0,30,0,10,8,0,0,50,48.10
"Lavenger",2.70,5.40,5.00,8.10,1,4,2,1,2,50,20,3,14,3,5,57,176.95
"bormeleon",3.81,1.90,3.20,10.30,3,0,0,0,7,40,33,6,10,3,5,55,38.37
"Cresto",1.97,1.30,6.00,10.50,0,1,0,0,9,40,33,2,9,0,5,57,63.23
"Dan Nacht",3.25,4.90,3.60,6.80,1,2,0,7,0,60,26,15,11,4,2,54,36.93
"BDR Azrharn",2.76,1.80,2.50,5.10,6,2,2,0,0,50,8,9,11,3,0,37,127.20
"JRZ0924",2.22,5.40,4.50,4.60,6,3,1,0,0,50,10,9,15,5,4,42,54.35
"Finish Flash",2.74,4.00,4.30,7.80,6,0,4,0,0,60,23,14,18,6,2,49,88.73
"Natsume Rin",3.03,2.60,3.50,8.00,8,1,0,0,1,30,22,12,13,10,5,63,89.70
"DnA shockwave",1.77,5.10,6.40,6.20,2,0,5,1,2,40,3,11,9,2,5,46,39.28
