"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Dylan Q Ta",2.34,5.6,6.5,9.6,3,4,1,2,0,50,8,9,16,4,4,55,143.42,1841.5
"Thormeyer",3.35,7.20,4.00,6.20,0,0,2,8,0,50,10,19,13,3,4,58,60.58,2070.4
"Kiseki No Sedai",2.85,5.50,3.90,5.60,9,0,1,0,0,40,20,9,10,4,4,47,11.52,1722.1
"Girl ADC xD",3.07,7.80,4.60,6.30,0,0,1,9,0,60,10,20,8,1,3,61,47.98,1774.2
"Shacsteryo",1.93,4.90,5.50,5.70,0,10,0,0,0,40,12,6,15,1,2,51,119.58,1655.1
"dueygolf",2.95,3.80,3.90,7.70,3,1,0,6,0,40,22,7,17,0,2,54,58.18,1863.1
"Ants",3.48,3.80,2.50,4.90,2,2,6,0,0,50,11,10,12,2,2,49,60.38,1538.1
"FirstChoice",2.81,5.50,4.70,7.70,3,0,5,2,0,40,3,11,15,4,4,58,92.53,1773.3
"ADC LF LCS TEAM",2.57,6.00,4.40,5.30,0,0,0,10,0,50,13,24,15,6,3,48,67.68,1741.8
"whatsaward",3.12,6.50,5.20,9.70,5,1,1,0,3,60,20,7,18,1,4,57,73.88,1982.6
" I E",4.55,5.60,3.10,8.50,0,1,7,0,2,70,21,16,16,6,2,63,111.38,1759.6
"kyle 8D",3.15,2.20,3.90,10.10,0,0,1,0,9,40,29,2,20,3,3,53,189.38,1938.2
"Mukatto",2.85,4.80,3.90,6.30,7,0,3,0,0,50,18,11,25,4,6,47,119.83,1942.6
"Twilly",3.60,7.10,4.20,8.00,1,4,5,0,0,30,0,5,21,7,4,56,74.92,2119.5
"HotDream",3.19,7.60,5.40,9.60,0,0,2,8,0,60,7,17,12,2,2,57,29.82,1793.6
"MercRydias",4.28,2.30,3.20,11.40,2,0,0,0,8,70,19,5,15,1,4,58,26.78,1520.3
"NuthinImpossible",1.68,3.50,6.30,7.10,4,1,1,4,0,40,9,11,14,4,3,36,64.57,1930
"lllllIIIIIlllllI",3.25,4.80,4.00,8.20,2,0,0,7,1,40,12,7,11,1,1,59,69.50,1771
"FappToTheFuture",1.69,1.10,6.10,9.20,0,0,0,1,9,30,17,2,15,2,1,50,52.40,1724
"MykieMaus",3.15,5.70,3.90,6.60,0,0,1,9,0,40,11,16,16,3,5,47,35.83,2108.3
"TheRickestRlCK",2.05,4.50,5.50,6.80,0,3,1,6,0,50,13,11,15,4,3,52,52.97,1901.8
"SoullessInferno",2.45,5.30,5.30,7.70,2,1,0,4,3,40,22,7,13,4,5,57,64.10,1820.5
"The Playmaker",3.08,7.10,3.90,4.90,0,1,9,0,0,40,4,9,9,3,5,55,37.05,1705.2
"Gtx1zzz",2.93,5.20,4.40,7.70,2,7,0,0,1,40,20,4,11,6,1,58,60.23,1652.3
"bormeleon",3.81,1.90,3.20,10.30,3,0,0,0,7,40,33,6,10,3,5,55,38.37,1846.4
"Cresto",2.86,6.20,5.80,10.40,0,0,2,8,0,50,13,12,12,3,5,59,43.77,1875.7
"Dan Nacht",2.67,5.60,4.60,6.70,0,0,0,10,0,50,14,18,11,3,2,56,24.05,1677.1
"BDR Azrharn",5.77,3.50,2.20,9.20,5,0,1,4,0,70,4,13,21,4,5,51,206.27,1938.4
"JRZ0924",1.88,5.10,5.10,4.50,6,3,1,0,0,50,10,9,16,5,4,40,26.35,1715.6
"Finish Flash",3.13,7.30,4.00,5.20,5,0,5,0,0,50,22,7,12,3,4,52,66.32,1776.1
"Natsume Rin",3.03,2.60,3.50,8.00,8,1,0,0,1,30,22,12,13,10,5,63,89.70,2133.8
"DnA shockwave",2.17,7.50,5.90,5.30,0,2,8,0,0,40,6,7,8,4,4,60,61.05,1716.4
