"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Dylan Q Ta",2900,3,4,3.7,7.1,6,4,0,0,0,50,10,43,67,6,0,13,3,3,54,122852,305821,80721,3762,101593,1663.1,10027,0,6604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81909,161823,68.83,938,24296,60381,29,24,33,4,17,42,0.47,2.58,50,1217,0,1.17,2.5,0.4,430.5,1923.33,11.03,-58.2,-116.33,0.2,0.19,40943,143998,2,325,56425,41212,11,13,38,6,26,25,0.68,3.77,50,2545,25,0.5,0.75,-0.6,351.25,1900.9,-30.85,-39.5,-37.95,0.2,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sefciuc",2256,3.62,1.80,3.90,12.30,0,0,0,0,10,60,33, 68, 192, 5, 0, 15,4,4,54, 64611, 156933, 17471, 30.28, 88583,1749.7,0,0,0,0,17497,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,64611,156933,6.20,298,17471,88583,18,39,123,33,68,192,0.54,3.62,60.00,1817,0.00,0.30,0.60,-0.23,254.04,1833.63,-16.67,38.34,-18.07,0.16,0.08,
"Thormeyer",2336,2.12,4.20,5.00,6.40,2,1,0,7,0,70,15, 31, 113, 20, 3, 21,3,4,44, 176389, 195602, 40171, 57.57, 121217,1734.4,3439,0,909,12996,0,143965,137345,69.71,1495,22190,94420,39,40,44,12,22,83,0.45,2.08,57.14,1979,0.00,1.57,2.71,-0.13,310.23,1628.48,11.80,30.62,47.05,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29043,53093,58.50,395,17210,21182,3,9,15,3,8,25,0.38,2.00,100.00,1464,0.00,0.50,1.00,-0.90,373.40,2287.00,-95.20,-43.10,246.10,0.19,0.18,3381,5164,41.00,4,771,5615,0,1,5,0,1,5,0.50,5.00,100.00,11,0.00,0.00,0.00,0.00,223.70,0,0.00,0,0,0.17,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Kiseki No Sedai",2214,2.02,5.10,5.40,5.80,1,0,2,7,0,40,11, 15, 120, 9, 0, 11,4,4,51, 193229, 214752, 45605, 53.23, 118536,1836.7,2800,4076,0,11491,0,110485,110700,74.57,1267,18456,75518,39,34,25,6,9,73,0.46,1.88,28.57,871,0.00,1.29,3.57,0.23,316.69,2027.37,28.00,-79.71,-20.62,0.22,0.23,50384,46359,73.00,493,10441,25939,9,11,10,2,3,25,0.47,1.73,50.00,652,0.00,1.00,3.00,0.75,422.35,2367.50,-33.30,-14.95,173.90,0.21,0.26,32360,57693,60.00,306,16708,17079,3,9,23,3,3,22,0.72,2.89,100.00,1671,100.00,0.00,0.00,1.60,434.00,1279.40,85.10,-11.80,-113.00,0.20,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Girl ADC xD",2317,2.29,7.30,5.60,5.50,0,0,0,10,0,10,7, 28, 99, 21, 0, 19,2,3,53, 244719, 198837, 40398, 48.85, 127650,1918.6,0,0,0,19186,0,244719,198837,65.20,2022,40398,127650,73,56,55,7,28,99,0.53,2.29,10.00,2931,10.00,1.70,3.50,0.00,297.62,1601.75,3.28,-82.10,63.13,0.22,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bipolar Shaco",2316,1.94,5.00,6.30,7.20,2,8,0,0,0,40,3, 16, 66, 15, 2, 16,4,4,48, 165192, 227266, 49913, 126.45, 107938,1698.5,3399,0,13586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32994,45022,47.00,280,8087,18981,5,13,9,0,1,12,0.41,1.08,0.00,1061,0.00,0.50,1.50,-0.65,392.45,0,-42.15,-125.90,0,0.20,0.24,132198,182244,3.88,436,41826,88957,45,50,63,3,15,54,0.49,2.16,50.00,6526,12.50,1.38,2.75,0.19,283.46,1684.62,-13.10,-28.11,91.18,0.20,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"dueygolf",2319,3.08,3.40,4.90,11.70,1,0,1,4,4,70,30, 45, 151, 10, 2, 21,3,6,54, 148422, 176177, 41207, 59.95, 103736,1811.4,2086,1465,0,6171,8392,58602,47641,55.25,597,8284,40562,20,15,34,5,6,30,0.56,3.60,75.00,806,0.00,1.25,2.75,-0.85,290.03,3481.30,-0.15,56.21,148.10,0.20,0.23,11117,10756,63.00,123,662,7804,4,3,3,1,1,9,0.58,2.33,0.00,599,0.00,1.00,2.00,-1.40,434.10,0,0.40,-163.30,0,0.21,0.23,20472,35722,30.00,140,6067,11010,4,9,7,3,5,4,0.33,1.22,0.00,990,0.00,1.00,2.00,-3.40,406.60,1251.20,-81.10,-228.60,-110.10,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58231,82058,2.25,77,26194,44360,6,22,73,21,33,108,0.57,3.59,100.00,1202,0.00,0.00,0.00,-0.05,246.60,981.90,-18.44,49.00,129.19,0.15,0.12,
"Slarky",2321,2.96,4.10,5.10,11.00,1,3,1,0,5,70,29, 42, 238, 10, 4, 19,3,4,51, 146188, 197783, 32426, 45.62, 113851,1954.7,1254,1822,6795,0,9676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26951,14367,58.00,145,2578,11903,7,6,13,0,3,13,0.57,3.33,100.00,76,0.00,1.00,4.00,-1.90,389.60,1269.50,-87.30,-20.80,129.10,0.19,0.25,13298,14866,4.00,46,2601,9258,5,2,12,3,0,10,0.59,8.50,100.00,354,0.00,1.00,4.00,0.00,437.60,0,0.00,0.00,0,0.21,0.20,54891,84395,21.00,166,12093,42188,13,17,29,10,8,55,0.37,2.47,66.67,1458,0.00,0.67,2.33,0.27,360.67,1639.80,-5.03,8.90,-69.75,0.19,0.15,51048,84155,5.20,190,15154,50502,16,26,56,16,31,160,0.60,2.77,60.00,849,20.00,0.60,1.60,-0.33,274.74,996.20,-4.55,-36.87,-64.96,0.17,0.12,
"FirstChoice",2349,2.65,5.90,4.60,6.30,5,0,4,1,0,50,3, 25, 106, 12, 1, 14,4,3,53, 209160, 164784, 19511, 74.25, 116802,1705.3,8934,6898,0,1221,0,9402,10895,68.00,126,798,6190,1,6,2,0,1,7,0.30,0.50,0.00,0,0.00,0.00,0.00,0.10,287.40,0,-35.55,-152.80,0,0.20,0.29,81268,66069,67.00,792,8332,47072,21,16,28,2,10,47,0.52,3.06,50.00,1763,0.00,1.25,3.50,-0.63,456.90,2464.50,-6.27,70.72,101.85,0.21,0.27,118490,87820,60.40,941,10381,63540,37,24,33,1,14,52,0.55,2.92,60.00,2692,0.00,1.40,3.60,0.10,432.16,2856.75,14.10,-31.94,-96.15,0.22,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ADC LF LCS TEAM",2275,2.57,6.00,4.40,5.30,0,0,0,10,0,50,13, 31, 109, 24, 1, 15,6,3,48, 171241, 166532, 34209, 67.68, 115120,1741.8,0,0,0,17418,0,171241,166532,63.40,1779,34209,115120,60,44,53,13,31,109,0.48,2.57,50.00,4061,0.00,1.50,3.50,0.00,300.32,2174.28,5.23,23.83,-62.51,0.21,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
