"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Sice God",1.88,4.5,5.2,5.3,1,5,1,3,0,40,4,8,12,3,3,53,110.77
"shumai oppa",2.54,5.00,4.80,7.20,5,1,4,0,0,60,40,12,13,7,8,51,68.10
"Hey Im Nza",2.39,5.90,5.60,7.50,0,2,3,4,1,50,13,5,17,7,5,48,80.20
"Amjc3",4.66,3.50,3.20,11.40,0,1,1,3,5,60,41,19,17,6,6,63,56.85
"Mgic",2.39,6.00,4.90,5.70,0,0,0,10,0,50,24,11,17,4,5,54,47.20
"Where is Osama",2.55,8.60,5.50,5.40,0,1,1,7,1,40,0,13,14,6,3,60,41.30
"Michael creative",3.14,4.70,3.70,6.90,2,1,2,5,0,40,8,10,14,2,3,53,31.27
"RMikasBootySlap",3.05,6.80,4.40,6.60,6,0,4,0,0,60,17,14,10,1,3,57,44.63
"Ianbearpig1337",3.09,3.90,3.50,6.90,0,0,3,5,2,50,20,13,13,4,5,49,36.25
"SoulReaverDraven",1.84,4.00,5.60,6.30,0,0,3,7,0,30,10,7,9,5,6,48,40.63
"sporo",3.94,9.20,5.10,10.90,0,2,0,8,0,60,3,10,13,1,4,59,110.13
"Ser Veresta",3.20,6.40,4.00,6.40,4,3,1,1,1,60,5,14,11,4,2,52,42.57
"Rex Sum",4.23,9.10,3.50,5.70,0,4,6,0,0,70,11,19,19,5,3,53,97.10
"Thai",2.28,4.40,4.60,6.10,0,3,2,5,0,40,11,8,8,4,2,56,88.87
"Dread Infernal",2.18,2.10,4.40,7.50,1,0,0,1,8,30,23,5,15,2,3,50,19.15
"AvoFellBlade",1.90,4.10,5.80,6.90,5,5,0,0,0,60,18,13,16,3,3,40,143.20
"DrunkCatalyst",2.81,4.20,5.40,11.00,2,1,2,0,5,40,25,4,8,2,3,65,68.07
"Xii Xii Xii",2.48,6.70,6.20,8.70,0,2,8,0,0,50,15,7,21,3,7,58,44.72
"Mid Carry U ",2.98,2.30,5.00,12.60,0,0,1,0,9,40,36,0,19,3,5,57,24.58
"RougeDraven",3.64,5.20,3.60,7.90,1,0,2,6,1,50,8,13,19,3,3,58,62.67
"MooseHater",2.36,7.50,5.30,5.00,9,0,1,0,0,70,16,23,17,6,6,43,10.33
"fLcQuix",3.22,5.70,5.00,10.40,0,0,7,2,1,30,43,4,15,2,4,61,55.15
"Edxecutus",2.52,4.70,5.80,9.90,0,4,0,3,3,40,4,9,14,2,4,61,51.38
"PANDApika233",3.82,1.20,4.50,16.00,0,0,0,0,10,70,18,6,14,1,7,59,45.12
"Weeknd",2.60,4.00,4.30,7.20,0,0,4,5,1,50,12,8,8,1,3,56,60.78
"Dr Bunnybuns",2.56,4.30,5.50,9.80,1,5,0,4,0,30,25,7,6,3,2,66,84.82
"Atik B",2.57,5.50,5.10,7.60,0,8,2,0,0,50,17,7,18,6,7,54,104.75
"Znipe",2.63,6.60,4.60,5.50,0,2,0,8,0,40,5,7,14,2,2,58,33.27
"Hey Its Yasuo",2.55,5.90,4.90,6.60,1,3,6,0,0,50,8,5,11,7,4,51,76.82
"HeartbreakeroO",2.27,6.10,5.90,7.30,0,7,3,0,0,60,7,4,13,1,3,59,90.52
"SumBaka",3.20,8.80,4.60,5.90,0,0,10,0,0,60,5,12,14,3,8,53,27.97
"Zhico",2.44,6.10,5.00,6.10,0,3,1,6,0,30,17,6,8,4,5,54,65.72
"spurm",4.65,2.40,3.10,12.00,0,0,1,2,7,70,0,11,14,4,3,54,23.90
"HweSang",3.18,7.60,5.00,8.30,0,1,0,9,0,70,13,21,20,1,8,62,88.95
"Bes",2.78,5.40,4.10,6.00,0,2,2,6,0,80,12,14,11,4,7,50,63.23
"Certified Noob",3.80,9.40,5.50,11.50,0,9,1,0,0,80,29,11,29,1,6,64,122.50
"Freakenpope",2.72,3.10,4.70,9.70,0,8,0,0,2,40,44,7,20,3,5,56,98.32
"GATO DarkLicking",2.84,1.20,4.90,12.70,0,1,1,1,7,20,28,3,10,5,1,59,41.23
"Valkroth",2.02,4.10,5.00,6.00,8,1,1,0,0,30,8,8,8,2,4,51,65.95
"Etheopia",1.98,6.30,6.20,6.00,0,1,0,9,0,30,4,14,14,3,5,54,96.63
"Teburu X",3.53,4.70,3.20,6.60,8,0,1,0,1,70,23,13,20,3,3,58,47.95
"Pablohoney",2.55,7.20,5.50,6.80,2,7,1,0,0,10,20,2,14,1,3,56,89.25
"Get the D",2.11,1.30,4.60,8.40,0,0,0,0,10,20,28,1,9,1,3,51,32.93
"ARC Haji",2.09,3.70,4.40,5.50,0,2,1,7,0,40,6,12,13,4,3,49,41.18
"Roleiz",1.90,4.60,5.20,5.30,0,4,0,6,0,20,8,9,11,3,3,53,44.55
"Serky",2.47,5.80,5.80,8.50,8,0,2,0,0,50,9,7,13,2,3,50,102.53
"Japcho",3.36,3.70,5.50,14.80,2,0,0,0,8,70,30,8,20,4,10,61,61.73
"blobs",3.65,7.30,4.60,9.50,2,2,5,0,1,70,32,10,20,5,8,61,138.43
"Big Otis",2.48,4.00,4.00,5.90,0,0,8,2,0,30,29,6,11,9,2,59,42.72
"InPeace",2.16,9.00,6.90,5.90,0,5,5,0,0,60,1,9,15,5,7,54,103.40
"SouIero",2.03,6.60,6.70,7.00,7,0,3,0,0,40,27,8,11,6,2,51,60.03
