"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Sice",3.05,5.7,4,6.5,0,6,0,4,0,40,5,50,83,14,6,13,5,2,51,152875,266088,57139,8271,125489,1804,0,0,12087,5953,0,59593,61933,59.75,638,9902,0,0,0,0,0,0,0,0,0,0,93282,204155,3.67,522,47237,0,0,0,0,0
"shumai oppa",2.65,5.50,4.00,5.10,4,0,0,6,0,60,15, 24, 103, 15, 2, 14,1,4,44, 202530, 205724, 26800, 115.65, 121643,1703.5,6824,0,0,10211,0,126534,111837,69.83,1274,14722,0,0,0,0,0,75996,93887,68.50,745,12078,0,0,0,0,0,0,0,0,0,0
"Hey Im Nza",2.59,3.90,5.80,11.10,2,0,1,5,2,40,13, 49, 179, 10, 2, 14,5,5,58, 170598, 229782, 37463, 107.30, 121735,2005.7,4746,1850,0,9474,3987,105496,98811,63.00,992,16069,15070,16604,66.00,171,1077,31073,67371,56.50,470,7494,0,0,0,0,0,18959,46996,12.50,102,12823
"Amjc3",4.58,1.20,3.30,13.90,0,1,0,1,8,60,67, 94, 309, 4, 0, 17,2,3,64, 69773, 151244, 32306, 19.80, 89780,1769.8,0,0,1657,1928,14113,12082,17358,66.00,201,2610,0,0,0,0,0,0,0,0,0,0,5082,9490,4.00,0,2797,52609,124396,4.88,204,26899
"Mgic",2.04,4.60,4.80,5.20,0,0,0,10,0,50,18, 46, 142, 14, 3, 14,4,2,46, 177060, 157683, 25654, 39.58, 113525,1710,0,0,0,17100,0,177060,157683,64.90,1860,25654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Where is Osama",1.95,6.40,5.90,5.10,0,1,1,7,1,40,0, 25, 83, 5, 1, 15,3,2,52, 152963, 193694, 31011, 46.38, 112757,1749.5,0,2455,1241,12063,1736,125138,125163,57.14,1185,21234,16677,32043,49.00,173,3809,0,0,0,0,0,4347,15618,3.00,41,3227,6801,20870,14.00,58,2741
"Michael creative",3.14,4.70,3.70,6.90,2,1,2,5,0,40,8, 7, 106, 10, 1, 14,2,3,53, 148039, 191322, 31148, 31.27, 107238,1669.9,3567,3131,2050,7951,0,84943,65358,66.40,941,13422,24570,33292,53.50,275,2127,23055,57546,43.00,319,7527,15471,35126,10.00,56,8072,0,0,0,0,0
"RMikasBootySlap",2.17,7.20,6.50,6.90,1,1,2,6,0,50,4, 18, 107, 11, 3, 16,1,5,53, 225156, 202641, 25584, 49.17, 126262,1812.8,1977,3435,1958,10758,0,157918,111063,65.50,1281,15833,30150,32976,70.50,344,1129,16926,24847,61.00,182,2384,20162,33755,7.00,83,6238,0,0,0,0,0
"Ianbearpig1337",7.53,0.80,1.70,12.00,0,0,0,0,10,60,46, 87, 245, 6, 1, 16,7,3,62, 37761, 109427, 49151, 20.93, 87445,1779.1,0,0,0,0,17791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37761,109427,5.00,208,49151
"SoulReaverDraven",1.75,3.70,5.60,6.10,2,0,0,8,0,20,5, 35, 85, 10, 1, 7,3,4,47, 193719, 198431, 23305, 51.48, 121210,1885.3,3045,0,0,15808,0,177630,159915,73.88,1674,22106,0,0,0,0,0,16089,38516,49.50,252,1199,0,0,0,0,0,0,0,0,0,0
"sporo",2.41,5.70,6.10,9.00,5,0,1,4,0,60,4, 10, 94, 12, 4, 16,4,2,48, 208484, 243413, 50198, 78.17, 112108,1772.2,9171,2013,0,6538,0,77974,64874,61.50,547,12474,0,0,0.00,0,0,130510,178539,65.00,858,37724,0,0,0,0,0,0,0,0,0,0
"Ser Veresta",2.15,5.40,5.50,6.40,4,2,2,1,1,40,5, 28, 109, 13, 0, 10,2,3,52, 141197, 218350, 32282, 38.47, 114306,1807.4,7311,3708,3780,1391,1884,20230,13100,76.00,206,2075,27343,43236,59.50,413,2367,64727,96994,58.50,712,16076,21415,52626,1.50,144,11102,7482,12394,3.00,35,662
"T H I C C respek",4.76,6.30,3.70,11.30,1,4,1,3,1,60,11, 44, 176, 15, 4, 14,6,4,63, 223541, 261153, 83934, 108.27, 134199,1897.6,1679,1299,7563,6441,1994,114837,69569,68.67,782,15306,5841,15727,70.00,132,2620,16217,22265,75.00,245,0,79560,119569,7.00,308,48842,7086,34023,14.00,72,17166
"Thai",2.03,5.70,6.10,6.70,0,2,3,4,1,40,12, 52, 60, 9, 5, 16,10,3,47, 189656, 240121, 59895, 148.57, 129434,1969.8,0,5581,4238,7323,2556,79068,70342,62.00,809,10871,51415,68616,62.33,640,14491,0,0,0,0,0,47041,66271,4.50,218,23681,12132,34892,10.00,41,10852
"Dread Infernal",2.53,2.10,4.30,8.80,2,0,1,0,7,50,24, 52, 179, 4, 1, 11,4,5,50, 89231, 177844, 34202, 49.32, 92763,1713.9,3582,1447,0,0,12110,0,0,0,0,0,9496,13640,60.00,142,601,29937,56661,74.00,481,2475,0,0,0,0,0,49798,107543,7.71,225,31126
"AvoFellBlade",1.90,4.10,5.80,6.90,5,5,0,0,0,60,18, 23, 109, 13, 3, 16,3,3,40, 158507, 264772, 70049, 143.20, 118337,1925.9,9046,0,10213,0,0,0,0,0,0,0,0,0,0,0,0,80840,134442,57.20,975,32636,77667,130330,5.40,372,37413,0,0,0,0,0
"DrunkCatalyst",2.47,1.70,4.90,10.40,0,0,1,1,8,40,26, 38, 214, 1, 0, 6,4,0,63, 84880, 178782, 29374, 55.08, 83094,1650,0,1595,0,1047,13858,10518,9195,62.00,102,1527,11402,13925,73.00,188,625,0,0,0,0,0,0,0,0,0,0,62960,155662,10.88,302,27222
"Xii Xii Xii",4.12,4.10,3.30,9.50,0,5,5,0,0,70,28, 31, 103, 12, 3, 22,4,5,59, 170587, 277484, 96227, 79.13, 118548,1888.8,0,8615,10273,0,0,0,0,0,0,0,79446,80473,66.60,981,14063,0,0,0,0,0,91141,197011,1.40,434,82164,0,0,0,0,0
"Bie Gao Wo A",1.93,1.80,5.80,9.40,2,1,1,2,4,30,20, 44, 161, 1, 0, 9,2,5,56, 89802, 231707, 60290, 77.58, 87281,1729.2,3551,2152,1157,2835,7597,15028,25782,44.00,220,4381,14614,26838,54.00,184,2621,29240,61825,61.00,297,18042,7940,13728,26.00,0,1774,22980,103534,12.25,156,33472
"RougeDraven",1.98,5.00,5.30,5.50,1,0,3,4,2,20,8, 38, 117, 8, 2, 9,5,1,55, 173170, 211411, 28116, 77.52, 108650,1806,2339,5820,0,7123,2778,82937,65356,70.75,744,14231,70969,75245,69.33,574,3642,11971,37209,58.00,143,2643,0,0,0,0,0,7293,33601,5.50,62,7600
"MooseHater",1.75,5.80,5.60,4.00,9,0,1,0,0,50,9, 39, 90, 25, 4, 16,1,5,44, 199221, 225245, 47567, 16.98, 132890,1904.3,16924,2119,0,0,0,0,0,0,0,0,17114,23728,54.00,174,554,182107,201517,59.78,2186,47013,0,0,0,0,0,0,0,0,0,0
