"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"shumai oppa",2341,2.38,3.8,4,5.7,8,0,1,1,0,30,28,24,112,10,2,15,3,4,45,151667,291302,92827,4748,121338,1829.8,15184,1761,0,1353,0,7527,10042,68,146,857,6658,0,6,2,2,0,7,0.25,0.33,0,250,0,0,0,0.97,271.6,0,-86.35,-84.65,0,0.2,0.22,15033,19542,58,175,2076,10666,4,6,9,3,2,12,0.5,2.17,0,84,0,1,2,-0.5,442.9,0,-37.6,-142.7,0,0.2,0.17,129107,261718,68.38,1823,89894,104014,34,28,46,23,22,93,0.45,2.86,37.5,4414,0,1,2.75,0.97,447.04,2164.46,44.39,83.97,197.48,0.22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hey Im Nza",2027,2.26,4.50,5.80,8.60,0,1,4,3,2,30,22, 38, 136, 5, 1, 14,2,6,56, 190617, 215795, 28157, 114.70, 120061,1994.5,0,7764,2821,5629,3731,60783,59379,70.33,686,7823,36067,15,19,7,3,12,32,0.47,1.16,0.00,3252,0.00,1.67,1.67,0.00,275.70,2607.10,-38.28,50.75,-191.65,0.23,0.29,80695,69952,46.25,698,5680,47036,19,23,34,9,10,53,0.54,2.30,50.00,2438,0.00,1.50,1.25,-1.75,353.50,2053.75,-86.00,6.43,110.80,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25638,41440,8.00,116,9784,17127,6,8,3,3,6,6,0.43,1.13,0.00,882,0.00,1.00,2.00,0.40,379.80,1361.70,40.80,117.10,-146.30,0.22,0.24,23501,45024,15.00,87,4870,19831,5,8,42,7,10,45,0.69,5.88,50.00,310,0.00,1.00,2.00,0.95,307.60,1741.10,46.98,101.97,-171.20,0.17,0.11,
"Le fin du fin",2276,3.35,3.30,4.00,10.10,0,1,0,4,5,50,49, 57, 240, 11, 3, 17,5,5,54, 146083, 202669, 44958, 50.85, 108169,1918.8,0,0,1034,7979,10175,98590,95129,59.75,772,20361,55784,25,23,46,8,13,54,0.59,3.09,25.00,1246,0.00,1.50,4.25,0.00,286.35,2138.65,-50.96,47.09,-12.37,0.22,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2862,2099,5.00,0,0,4851,0,1,5,3,3,7,0.42,5.00,100.00,29,0.00,0.00,0.00,-0.65,168.20,0,-97.10,0,0,0.15,0.11,44631,105441,9.20,165,24597,47534,8,16,50,38,41,179,0.51,3.63,60.00,1776,0.00,0.20,0.40,0.10,271.64,1255.00,-5.33,-25.94,57.25,0.16,0.10,
"Mgic",2300,4.50,8.80,3.20,5.60,0,0,1,9,0,90,13, 23, 104, 24, 1, 18,7,5,50, 190400, 141775, 26721, 57.05, 119419,1560.3,0,1849,0,13754,0,169713,127221,71.22,1515,22876,105334,79,31,50,13,20,92,0.50,4.16,88.89,3336,22.22,1.56,6.00,0.00,329.38,6942.70,48.32,59.01,184.70,0.22,0.29,20687,14554,70.00,192,3845,14085,9,1,6,0,3,12,0.47,15.00,100.00,87,0.00,2.00,6.00,0.00,444.60,1606.10,0.00,0.00,0.00,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Where is Osama",2267,2.66,6.20,5.60,8.70,0,3,0,7,0,50,0, 37, 99, 13, 1, 19,4,5,50, 239623, 276942, 59339, 51.07, 142033,2159.5,0,0,5928,15667,0,199546,175178,68.00,1589,32336,105648,55,44,50,0,29,66,0.53,2.39,42.86,1816,0.00,1.86,4.43,0.00,312.06,1276.80,2.70,24.26,-82.06,0.22,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40077,101764,5.67,261,27003,36385,7,12,37,0,8,33,0.44,3.67,66.67,1248,0.00,0.67,1.33,-0.43,386.07,3290.40,-1.00,-1.93,-123.10,0.19,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Michael creative",1975,3.14,4.70,3.70,6.90,2,1,2,5,0,40,8, 7, 106, 10, 1, 14,2,3,53, 148039, 191322, 31148, 31.27, 107238,1669.9,3567,3131,2050,7951,0,84943,65358,66.40,941,13422,56635,31,10,38,0,5,45,0.59,6.90,60.00,888,20.00,1.20,5.40,-0.33,305.82,4267.70,4.66,82.24,-25.90,0.23,0.25,24570,33292,53.50,275,2127,18335,3,8,16,3,1,21,0.43,2.38,50.00,297,0.00,0.50,1.00,-1.35,361.50,0,-79.50,-117.45,0,0.19,0.20,23055,57546,43.00,319,7527,19265,6,11,10,3,0,24,0.43,1.45,0.00,316,0.00,1.00,2.00,-1.65,381.80,2393.30,-70.55,18.40,104.40,0.20,0.18,15471,35126,10.00,56,8072,13003,7,8,5,2,1,16,0.55,1.50,0.00,375,0.00,2.00,3.00,0.20,361.50,1350.70,38.40,117.00,-113.70,0.23,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"RMikasBootySlap",2040,1.70,6.00,7.70,7.10,6,0,4,0,0,40,12, 17, 143, 14, 2, 17,3,5,43, 241168, 307643, 77323, 57.63, 129813,1997.5,11450,8525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102838,117904,61.50,845,33172,53644,27,31,16,2,4,61,0.48,1.39,0.00,1281,50.00,1.00,3.25,-0.17,425.23,1642.83,17.75,-13.35,-153.70,0.21,0.24,138330,189739,51.33,1131,44151,76169,33,46,55,10,13,82,0.41,1.91,66.67,2177,0.00,1.00,3.17,-0.55,370.42,2311.83,-93.10,14.67,235.83,0.20,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SoulReaverDraven",2108,3.42,6.50,4.00,7.20,0,0,1,9,0,60,8, 27, 79, 16, 1, 19,1,6,55, 237558, 186159, 37358, 21.88, 129483,1897.1,0,2050,0,16921,0,211265,167167,74.67,1742,31160,113844,58,36,60,7,26,70,0.56,3.28,55.56,1113,0.00,1.56,3.44,0.00,312.84,1503.42,15.19,1.22,44.59,0.22,0.27,26293,18992,69.00,241,6198,15639,7,4,12,1,1,9,0.46,4.75,100.00,200,0.00,1.00,6.00,0.00,379.10,1403.80,0.00,0.00,0.00,0.21,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"sporo",2200,2.41,5.70,6.10,9.00,5,0,1,4,0,60,4, 10, 94, 12, 4, 16,4,2,48, 208484, 243413, 50198, 78.17, 112108,1772.2,9171,2013,0,6538,0,77974,64874,61.50,547,12474,44761,22,23,40,0,4,32,0.52,2.70,75.00,2198,0.00,2.00,2.25,0.32,304.25,2924.80,-19.06,103.32,-22.15,0.20,0.23,0,0,0.00,0,0,5668,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.10,0.00,130510,178539,65.00,858,37724,61679,35,38,50,4,6,62,0.54,2.24,60.00,2492,40.00,1.20,4.00,1.28,424.62,2889.15,34.06,103.44,45.55,0.21,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ser Veresta",2175,2.15,5.40,5.50,6.40,4,2,2,1,1,40,5, 28, 109, 13, 0, 10,2,3,52, 141197, 218350, 32282, 38.47, 114306,1807.4,7311,3708,3780,1391,1884,20230,13100,76.00,206,2075,11091,8,3,5,0,1,8,0.52,4.33,100.00,28,0.00,2.00,5.00,0.25,381.00,0,92.90,86.65,0,0.25,0.28,27343,43236,59.50,413,2367,23904,6,15,18,2,3,20,0.55,1.60,50.00,458,0.00,0.50,2.00,-0.85,384.10,2266.50,-46.30,55.30,-20.30,0.21,0.18,64727,96994,58.50,712,16076,49815,31,21,24,1,8,35,0.50,2.62,50.00,480,25.00,1.75,4.00,0.25,405.85,1761.83,4.20,25.70,35.97,0.22,0.22,21415,52626,1.50,144,11102,20935,9,12,8,0,12,29,0.52,1.42,0.00,1230,0.00,1.00,2.50,-0.40,318.70,1887.60,-64.90,-12.50,-35.20,0.20,0.15,7482,12394,3.00,35,662,8561,0,4,9,2,4,17,0.64,2.25,0.00,112,0.00,0.00,0.00,0.25,303.40,1027.30,49.85,-61.85,30.65,0.16,0.12,
