"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Commisioner",2.87,1.8,4.6,11.4,0,0,0,0,10,40,33,0,11,3,4,57,37.58
"KingTruell",2.27,7.00,5.90,6.40,0,3,7,0,0,70,21,13,15,6,6,51,54.85
"theuberone",2.46,3.30,3.90,6.30,8,0,1,0,1,40,1,12,14,1,4,44,74.33
"Steaklol",3.02,4.50,4.00,7.60,4,6,0,0,0,50,1,19,13,5,7,45,126.33
"Zoar",3.98,1.30,4.20,15.40,0,0,1,0,9,60,31,3,17,3,5,59,35.37
"Snuggle",2.22,4.40,5.50,7.80,7,1,2,0,0,20,4,3,9,2,4,47,222.95
"carrotshock",2.14,4.00,5.00,6.70,0,7,3,0,0,50,23,6,13,5,6,48,74.35
"Krypt",3.08,6.80,3.90,5.20,0,0,2,8,0,60,12,21,16,3,4,56,34.02
"TET Peter",2.66,5.90,5.00,7.40,4,1,1,4,0,50,19,11,16,4,2,58,69.62
"LamiaLoveless",3.00,4.30,4.20,8.30,4,3,1,1,1,70,18,8,14,4,4,46,91.08
"DJWaffleStomp",1.83,4.30,5.90,6.50,2,0,4,0,4,50,11,9,14,3,2,47,25.25
"A dam Good man",1.63,2.60,8.00,10.40,3,0,0,1,6,50,15,5,16,2,6,53,50.48
"ihatelosing",2.63,5.40,5.10,8.00,0,6,3,1,0,40,25,9,20,5,2,51,41.87
"Get in my Uhaul",2.20,7.40,6.40,6.70,7,0,3,0,0,50,0,8,11,4,7,50,39.23
"Wingsofdeath",2.17,4.90,4.20,4.20,5,0,4,1,0,20,20,6,14,2,2,58,39.17
"Toidielpurp",3.89,4.30,3.70,10.10,0,4,6,0,0,60,13,3,14,1,6,58,54.87
"LemurHumper",2.91,5.40,4.70,8.30,1,1,6,2,0,50,30,1,18,4,5,49,57.65
"BludBathnBeyond",1.06,4.40,6.80,2.80,9,0,1,0,0,20,5,15,13,6,3,41,35.13
"Nitop",2.61,6.00,5.40,8.10,0,8,0,2,0,60,17,17,17,4,7,51,163.33
"PNG Frozen",4.86,3.40,3.70,14.60,1,0,1,1,7,70,9,12,17,4,4,56,36.15
"SwimBirds",2.72,6.00,5.80,9.80,1,8,1,0,0,50,7,8,13,8,5,63,139.65
"SC Phatoms",3.32,6.80,4.70,8.80,0,0,8,2,0,70,15,11,16,5,4,51,78.87
"Hide on vegas",4.32,1.00,3.10,12.40,0,0,0,1,9,70,24,3,15,8,5,57,30.63
"LittleChineseB0y",3.65,12.10,6.30,10.90,0,3,0,7,0,90,10,16,19,4,8,64,74.80
"Blind Energy",3.14,6.00,5.00,9.70,0,5,2,3,0,80,8,16,18,4,6,51,85.00
"BDR Rustle",2.23,6.40,5.20,5.20,1,2,0,7,0,50,2,19,18,1,4,54,82.12
"ZhangOneHappy",2.58,3.50,4.80,8.90,2,1,2,3,2,40,10,6,19,3,2,57,58.13
"YeIlow Flash",1.57,3.70,5.80,5.40,0,2,1,7,0,20,1,8,12,1,3,52,46.62
"Kotori Chan",2.51,0.90,4.50,10.40,0,1,0,0,9,30,21,2,8,1,2,55,43.80
"Procrastination",1.61,1.20,5.60,7.80,0,0,0,3,7,30,24,3,10,5,4,42,24.77
"WoYouBuGaoShi",2.02,2.40,5.00,7.70,6,0,1,0,3,30,15,4,12,1,2,49,116.08
"RamboCarries",17.44,0.40,0.90,15.30,0,1,0,0,9,90,15,2,19,3,4,63,31.93
"Millennials",4.41,4.40,3.40,10.60,0,3,4,1,2,60,26,15,15,3,1,62,49.77
"Pleinairz",4.47,5.70,3.80,11.30,0,4,6,0,0,80,0,10,18,1,3,60,101.25
"Peanut Damage",3.51,6.20,3.50,6.10,1,0,1,8,0,50,3,14,12,3,3,57,30.05
"Mmaghei",2.16,4.60,4.40,4.90,0,6,3,0,1,20,17,2,6,4,1,52,65.37
"Dmace",2.32,0.60,6.00,13.30,0,2,0,0,8,30,28,1,18,6,2,58,72.73
"coldsteeler suck",2.21,8.30,7.20,7.60,2,3,2,3,0,40,0,12,15,1,2,57,75.82
"DHG LemonHope",2.16,8.00,6.80,6.70,0,8,2,0,0,50,36,7,24,5,5,58,80.03
