"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Commisioner",2.81,0.7,4.2,11.1,0,1,0,0,9,30,29,43,275,2,0,12,2,2,54,48175,188677,41452,1509,77013,1740.9,0,0,2048,0,15361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11900,32885,5,56,9297,36275,155792,7.78,186,32155
"KingTruell",3.14,7.10,4.20,6.10,0,0,2,8,0,70,21, 24, 104, 8, 3, 11,3,5,57, 178453, 145583, 21875, 62.63, 109321,1518.5,0,3110,0,12075,0,140319,113954,64.25,1256,18388,38134,31629,69.00,325,3487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"theuberone",2.42,4.40,4.50,6.50,7,2,1,0,0,30,2, 31, 104, 4, 0, 10,0,3,47, 171726, 296540, 106630, 144.00, 112777,1906.1,12709,1902,4450,0,0,0,0,0,0,0,15096,12492,68.00,247,806,134454,210162,67.29,1357,79320,22176,73886,8.00,149,26504,0,0,0,0,0
"Steaklol",2.59,7.40,6.30,8.90,0,7,0,0,3,40,19, 43, 140, 5, 2, 8,2,3,60, 182224, 196263, 29892, 44.22, 111223,1902.1,0,0,14115,0,4906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,153288,158307,7.00,263,25426,28936,37956,9.00,91,4466
"Zoar",3.30,1.40,3.70,10.80,0,0,0,0,10,40,43, 53, 252, 1, 1, 8,0,1,60, 66732, 147617, 33391, 51.45, 78716,1651.8,0,0,0,0,16518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66732,147617,5.20,204,33391
"Snuggle",2.95,4.60,4.40,8.40,9,0,1,0,0,50,0, 17, 98, 11, 1, 16,7,5,50, 159195, 264013, 29020, 252.97, 115757,1774.2,16501,1241,0,0,0,0,0,0,0,0,12107,12130,59.00,114,828,147088,251883,59.22,1794,28192,0,0,0,0,0,0,0,0,0,0
"carrotshock",1.79,3.50,5.60,6.50,0,7,2,0,1,40,24, 48, 88, 5, 1, 14,6,5,46, 154488, 238171, 70788, 70.12, 107580,1916.5,0,4056,13301,0,1808,0,0,0,0,0,44211,33162,65.50,431,5939,0,0,0,0,0,98291,186212,1.43,489,62343,11986,18797,1.00,9,2506
"Krypt",2.59,4.10,4.10,6.50,0,5,4,1,0,60,19, 64, 149, 11, 1, 19,5,6,50, 172790, 255560, 69153, 89.92, 122704,1927.6,0,7656,9154,2466,0,13982,19189,74.00,281,3412,83324,70924,80.25,973,11384,0,0,0,0,0,75484,165447,4.40,395,54357,0,0,0,0,0
"Never Vote Yes",3.84,5.60,4.50,11.70,4,0,5,0,1,60,28, 35, 177, 11, 1, 19,2,7,54, 245000, 244996, 47072, 122.22, 132788,2049.6,7907,10651,0,0,1938,0,0,0,0,0,164584,75491,69.80,1123,12129,69137,136685,57.50,685,24335,0,0,0,0,0,11279,32820,4.00,24,10608
"LamiaLoveless",2.81,4.20,4.30,7.90,4,3,0,2,1,50,17, 35, 162, 7, 2, 12,4,2,49, 141055, 188280, 49394, 79.88, 111855,1830.4,6806,0,5343,3905,2250,39922,32165,52.50,392,5154,0,0,0,0,0,63187,65560,56.75,679,13476,32281,70060,3.00,181,24098,5665,20495,2.00,9,6666
