"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Zellgius",3.06,3.4,3.3,6.7,5,0,0,5,0,40,9,11,15,5,4,49,170.63
"Spylexlol",2.05,3.10,5.90,9.00,2,1,0,1,6,60,29,5,13,3,2,54,31.97
"1ExtraChromosome",2.90,5.50,4.80,8.40,0,5,3,0,2,40,22,3,11,3,3,58,84.87
"magicalpen",4.38,3.10,3.40,11.80,0,1,0,4,5,60,19,4,23,4,4,56,52.75
"Hyphy 7o7",2.70,2.30,4.30,9.30,2,3,1,0,4,50,36,5,13,4,3,53,84.75
"7 5",2.62,4.60,4.20,6.40,1,4,3,2,0,40,17,10,15,5,4,51,123.82
"Most1td",1.56,0.60,5.90,8.60,0,0,0,2,8,20,31,3,6,4,3,51,24.55
"Shallow Dream XD",2.16,5.80,6.10,7.40,2,1,5,0,2,60,30,8,13,4,3,47,80.85
"Heartlock",1.24,1.40,7.20,7.50,2,1,1,0,6,20,20,9,8,4,3,42,57.82
"roons11",3.08,4.80,3.90,7.20,0,1,4,5,0,30,11,19,21,3,5,53,50.25
"Momo God",1.33,3.10,6.30,5.30,7,0,3,0,0,30,4,8,16,2,4,35,116.88
"GzLong",1.21,2.90,5.70,4.00,4,3,0,2,1,10,23,7,8,3,1,40,92.78
"Yezzun",1.92,8.10,7.30,5.90,0,3,0,7,0,40,2,13,5,2,7,54,84.83
"Bodied",2.13,3.40,3.80,4.70,0,6,1,3,0,40,8,5,7,0,3,42,72.55
"GR8U",4.31,3.60,3.20,10.20,1,0,0,6,3,50,14,9,12,3,4,55,24.20
"Prototype Bot",2.03,4.50,7.00,9.70,1,3,2,0,4,40,15,8,13,3,2,53,81.42
"papapaaaa",2.54,7.50,5.40,6.20,0,2,1,7,0,70,25,22,21,4,8,50,62.98
"team tsm mid",1.72,4.60,7.10,7.60,1,2,3,3,1,40,4,7,13,4,4,54,71.83
"Mahad",5.72,7.30,2.50,7.00,0,0,2,8,0,70,3,15,15,3,4,64,67.03
"Captcha",1.98,6.20,8.00,9.60,0,6,0,4,0,50,1,8,9,5,3,53,115.22
"Rincon",1.71,3.60,5.80,6.30,0,5,1,4,0,30,29,7,7,5,2,47,75.43
"Exclusive Thot",2.59,5.30,5.10,7.90,0,0,3,5,2,50,8,12,17,2,5,52,161.47
"NeWPreT10",2.96,7.40,5.50,8.90,0,7,1,2,0,60,0,10,16,1,2,48,88.97
"Dabit420",1.80,6.60,6.10,4.40,1,8,0,1,0,20,2,3,8,1,1,55,71.42
"GundayMonday",3.89,3.70,3.60,10.30,0,4,4,1,1,70,33,12,22,11,6,48,95.77
"Ni ma zha 1e ba",2.33,6.30,5.70,7.00,0,7,1,2,0,30,11,8,12,3,2,52,85.87
"JOHN CENA",3.81,7.40,4.30,9.00,0,7,2,0,1,60,41,2,11,2,5,57,108.28
"Clyote",1.91,7.00,6.50,5.40,4,3,0,3,0,30,11,10,14,4,2,53,46.03
"MwWillyson",2.09,4.50,5.70,7.40,0,0,1,9,0,50,31,7,15,2,3,52,102.28
"Respected Panda",2.36,4.40,5.00,7.40,7,0,2,1,0,50,0,9,12,2,6,46,154.53
"me Blob",2.51,3.20,5.50,10.60,0,1,3,1,5,40,32,6,12,6,4,53,81.42
"iBaymax",2.61,0.70,4.10,10.00,0,0,1,1,8,40,16,2,6,4,3,54,30.87
"UltraZ",1.69,5.60,6.70,5.70,4,3,3,0,0,40,16,15,14,6,2,45,37.53
"Coach Koko",2.08,2.80,7.70,13.20,0,1,0,0,9,70,37,1,20,5,6,55,48.18
"zCrimzon",2.17,5.00,4.60,5.00,0,1,5,4,0,20,15,9,13,5,2,47,26.83
"Imagine Badgers",2.53,8.60,5.80,6.10,1,1,8,0,0,40,16,12,12,5,1,51,34.97
"Slyth3r",2.29,8.00,5.90,5.50,0,6,4,0,0,50,5,2,11,1,3,51,73.35
"Sexybubba",1.67,5.00,6.30,5.50,0,0,3,7,0,30,0,6,11,2,4,49,40.90
