"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Zellgius",3.86,5.6,3.6,8.3,7,1,0,1,1,60,14,5,14,2,6,52,75.97,1884.7
"Spylexlol",1.84,6.00,6.40,5.80,1,5,2,2,0,50,19,6,13,2,5,46,119.08,1825.4
"1ExtraChromosome",4.00,7.00,4.20,9.80,0,8,2,0,0,30,27,7,15,2,6,70,93.92,1996
"magicalpen",4.38,3.10,3.40,11.80,0,1,0,4,5,60,19,4,23,4,4,56,52.75,1849.9
"Hyphy 7o7",2.33,2.80,4.60,7.90,0,6,1,0,3,40,32,7,15,2,2,50,86.70,1858.2
"7 5",3.00,5.40,4.40,7.80,0,1,3,6,0,50,7,15,10,0,4,53,87.67,1921.6
"Most1td",1.48,0.80,6.60,9.00,0,0,0,2,8,20,30,2,4,5,3,54,24.98,1676.8
"Heartlock",2.26,3.10,6.80,12.30,2,0,0,0,8,50,17,8,11,3,5,56,34.23,1869.1
"roons11",3.08,4.80,3.90,7.20,0,1,4,5,0,30,11,19,21,3,5,53,50.25,1907.2
"Momo God",1.06,1.70,5.30,3.90,7,0,3,0,0,20,5,3,5,2,1,41,70.10,1403.3
"GzLong",1.05,2.70,6.30,3.90,5,2,0,2,1,10,23,5,10,3,2,37,83.88,1801.5
"Yezzun",2.28,5.70,5.70,7.30,0,3,0,7,0,50,5,9,13,8,10,59,96.90,1954.9
"Bodied",2.93,5.10,4.50,8.10,0,6,0,4,0,40,7,9,18,4,7,51,97.87,2048.1
"GR8U",4.07,2.40,4.20,14.70,0,1,0,2,7,30,44,5,14,0,4,63,50.17,2319.9
"Prototype Bot",2.31,4.60,6.10,9.50,0,1,8,0,1,60,8,7,11,5,2,52,75.22,1700.2
"papapaaaa",2.39,6.20,5.70,7.40,1,3,5,0,1,50,25,10,13,1,2,61,71.87,1754.2
"team tsm mid",2.35,5.20,6.00,8.90,1,2,0,7,0,60,2,16,15,5,6,54,49.75,1853.5
"Mahad",2.79,6.60,6.10,10.40,0,0,5,5,0,40,5,14,15,1,4,59,99.63,2091.8
"Captcha",1.80,3.00,7.40,10.30,2,1,1,0,6,80,5,10,21,3,6,44,111.18,1849.5
"Rincon",1.93,3.90,5.50,6.70,0,5,1,4,0,40,28,7,10,4,3,46,78.32,1758.1
"Exclusive Thot",1.91,4.30,6.70,8.50,0,0,5,2,3,30,10,4,16,0,3,54,157.43,1991.2
"NeWPreT10",3.58,6.40,3.80,7.20,1,6,3,0,0,60,0,10,8,4,1,57,170.40,1770.6
"Dabit420",1.72,6.80,6.70,4.70,0,9,0,1,0,30,5,2,7,1,1,54,67.67,1754.6
"Ni ma zha 1e ba",3.08,6.30,4.80,8.50,0,4,1,5,0,50,12,10,9,1,5,58,60.02,1843.4
"JOHN CENA",2.07,7.80,8.50,9.80,1,3,5,0,1,40,57,3,16,2,3,56,88.83,2334.5
"StateOfSerenity",1.65,3.70,5.70,5.70,8,0,2,0,0,40,13,7,14,3,2,43,63.77,1706.5
"MwWillyson",2.09,4.50,5.70,7.40,0,0,1,9,0,50,31,7,15,2,3,52,102.28,1859.4
"Respected Panda",3.47,8.10,5.30,10.30,1,0,1,8,0,40,1,6,15,2,4,60,41.92,1973.5
"me Blob",2.51,3.20,5.50,10.60,0,1,3,1,5,40,32,6,12,6,4,53,81.42,1886.9
"iBaymax",2.61,0.70,4.10,10.00,0,0,1,1,8,40,16,2,6,4,3,54,30.87,1619.5
"UltraZ",2.22,4.60,4.10,4.50,0,0,7,3,0,40,14,8,12,1,2,54,39.12,1624.7
"Coach Koko",1.55,3.40,5.80,5.60,7,0,3,0,0,30,30,9,10,0,2,43,91.90,1656.4
"zCrimzon",2.17,5.00,4.60,5.00,0,1,5,4,0,20,15,9,13,5,2,47,26.83,1713.8
"Imagine Badgers",3.14,7.80,5.10,8.20,0,10,0,0,0,60,14,9,17,1,2,61,118.87,1722.9
"Slyth3r",3.14,6.10,4.40,7.70,6,3,1,0,0,60,4,15,19,1,5,51,68.97,1965
"Sexybubba",1.82,5.00,6.50,6.80,0,0,4,6,0,40,2,6,13,2,5,46,50.63,1836.6
"Antrix",2.09,6.50,5.60,5.20,7,0,1,2,0,50,15,11,6,1,4,50,31.90,1597.4
"XiaoDingDong",3.82,8.10,4.50,9.10,3,6,1,0,0,70,2,13,20,3,2,55,132.40,1814.2
"Vyzual",2.93,1.60,4.60,11.90,1,0,0,1,8,40,12,5,13,1,2,58,24.22,1860.7
