"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Zellgius",3.07,6.8,4.4,6.7,6,3,0,1,0,50,13,29,162,8,0,19,4,7,68,192325,274959,63429,14539,130109,1943.5,10381,0,6918,2136,0,31650,14420,80,281,3153,0,0,0,0,0,101313,151027,71,1309,24913,59362,109512,2,281,35363,0,0,0,0,0
"Spylexlol",1.72,5.90,7.50,7.00,1,6,1,2,0,40,23, 43, 162, 3, 1, 16,3,5,48, 164239, 310061, 97773, 142.98, 121141,1940,2516,1766,11820,3298,0,37328,44096,53.00,332,4597,15333,18402,55.00,193,761,27303,39799,50.00,234,5687,84275,207764,6.00,473,86728,0,0,0,0,0
"1ExtraChromosome",3.87,6.30,3.80,8.40,0,8,2,0,0,50,22, 65, 168, 4, 4, 16,2,4,67, 167033, 270098, 83875, 84.47, 121037,1865.3,0,2670,15983,0,0,0,0,0,0,0,16627,29179,47.00,205,5000,0,0,0,0,0,150406,240919,8.00,630,78875,0,0,0,0,0
"magicalpen",5.00,2.60,2.90,11.90,0,0,0,3,7,60,18, 29, 160, 4, 1, 20,3,3,57, 107855, 180727, 55162, 38.62, 91915,1721,0,0,0,5536,11674,62062,49785,73.00,509,8062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45793,130942,7.00,169,47100
"Hyphy 7o7",1.53,3.30,6.80,7.10,0,4,3,1,2,20,32, 38, 228, 6, 1, 17,1,3,46, 149333, 292999, 65072, 97.13, 104206,1871.7,0,5074,7985,1167,4491,6536,11424,52.00,90,916,53264,63719,52.00,437,4816,0,0,0,0,0,72748,133195,6.75,296,41381,16785,84661,12.00,142,17959
"7 5",3.53,7.50,4.70,9.10,1,0,3,6,0,60,8, 31, 162, 19, 7, 19,3,6,58, 285008, 188818, 33767, 180.28, 137807,2044.1,1885,6789,0,11767,0,162728,104887,66.67,1236,21688,99614,67206,57.33,673,10684,22666,16725,63.00,209,1395,0,0,0,0,0,0,0,0,0,0
"Most1td",1.68,0.60,6.20,9.80,0,0,0,0,10,30,29, 52, 187, 4, 0, 5,3,3,54, 48775, 175665, 40515, 23.00, 75420,1679.6,0,0,0,0,16796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48775,175665,5.70,227,40515
"Shallow Dr3am",5.24,2.30,2.90,12.90,1,0,1,0,8,50,20, 53, 156, 5, 1, 15,5,4,61, 83256, 120714, 30507, 41.00, 96872,1835.1,1232,1691,0,0,15428,0,0,0,0,0,12839,9889,73.00,156,0,8735,7728,76.00,131,45,0,0,0,0,0,61682,103097,1.00,142,30462
"Heartlock",2.43,3.50,4.20,6.70,2,2,3,0,3,40,12, 20, 145, 7, 1, 9,0,2,52, 104343, 185053, 46661, 57.43, 93419,1727,3160,4222,3552,0,6336,0,0,0,0,0,31495,35100,53.00,406,1555,30398,48190,60.50,361,13365,11102,39205,0.50,89,10834,31348,62558,3.67,74,20907
"roons11",2.12,1.10,6.00,11.60,0,0,1,1,8,50,21, 80, 235, 6, 2, 15,3,5,52, 63096, 213667, 80726, 31.22, 96706,1856.6,0,1729,0,2010,14827,5801,32604,19.00,46,3549,16537,27390,49.00,145,5794,0,0,0,0,0,0,0,0,0,0,40758,153673,5.75,288,71383
