"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Zellgius",2100,2.9,6.7,5.1,8.1,4,3,0,3,0,50,11,27,166,7,1,17,1,6,64,224935,272893,60706,14469,138917,2092.2,7208,0,6918,6796,0,105707,53904,73.67,877,10929,54403,32,14,32,3,12,44,0.65,4.57,100,1005,0,1.67,7,-0.08,311.17,1257.53,-25.18,35.05,68.52,0.24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59866,109477,69.25,892,14414,42711,15,22,14,4,4,49,0.54,1.32,25,11317,25,1.5,2.5,-0.23,414.35,2400.7,-62.47,5.4,-51.25,0.22,0.25,59362,109512,2,281,35363,41803,20,15,35,4,11,73,0.71,3.67,33.33,2147,0,1.67,3,-0.83,376.27,1783.6,-31.33,47.83,-5,0.2,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Spylexlol",2029,1.59,5.30,7.30,6.30,1,6,1,2,0,40,25, 41, 159, 2, 1, 17,3,4,47, 152574, 307277, 97796, 139.45, 117104,1912.2,2516,1766,11542,3298,0,37328,44096,53.00,332,4597,21490,14,19,10,2,3,21,0.53,1.26,0.00,171,0.00,2.50,2.50,-0.85,305.85,0,14.52,-95.40,0,0.22,0.27,15333,18402,55.00,193,761,12041,5,5,4,2,2,14,0.33,1.80,100.00,166,0.00,1.00,2.00,-1.10,420.70,0,-17.10,-68.60,0,0.20,0.18,27303,39799,50.00,234,5687,13928,6,9,7,5,7,17,0.37,1.44,0.00,4137,0.00,1.00,3.00,-1.70,388.10,1362.70,-83.10,-59.10,-51.20,0.18,0.18,72610,204980,5.00,465,86751,69645,28,40,42,16,29,107,0.49,1.75,50.00,3893,0.00,0.83,1.67,-0.17,346.55,1632.85,-23.02,-6.88,-104.08,0.19,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"1ExtraChromosome",2121,3.44,7.40,4.10,6.70,0,9,1,0,0,70,16, 44, 163, 8, 3, 18,2,4,59, 175673, 285966, 101630, 82.33, 119966,1797.2,0,1007,16965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3606,9623,27.00,46,3588,5192,1,2,1,0,0,3,0.25,1.00,0.00,177,0.00,0.00,0.00,0.00,435.60,0,0.00,0,0,0.22,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172067,276343,7.67,709,98042,114774,73,39,66,16,44,160,0.60,3.56,77.78,4763,11.11,1.89,4.00,0.57,386.32,1773.30,36.73,7.41,63.50,0.21,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"magicalpen",2014,5.00,2.60,2.90,11.90,0,0,0,3,7,60,18, 29, 160, 4, 1, 20,3,3,57, 107855, 180727, 55162, 38.62, 91915,1721,0,0,0,5536,11674,62062,49785,73.00,509,8062,35188,20,11,16,1,8,25,0.49,3.27,33.33,671,33.33,2.00,3.67,0.00,292.27,1508.25,-2.78,-23.77,93.85,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45793,130942,7.00,169,47100,56727,6,18,103,17,21,135,0.61,6.06,71.43,1646,14.29,0.00,0.00,0.56,287.87,2658.75,42.77,2.58,145.68,0.16,0.08,
"Hyphy 7o7",1916,3.13,2.60,4.70,12.10,1,3,1,1,4,40,56, 48, 275, 4, 1, 17,2,6,55, 117121, 305263, 78418, 99.17, 102745,1934.2,1723,2118,4654,1838,9009,4390,19489,14.00,40,1453,6231,0,5,2,7,3,31,0.29,0.40,0.00,317,0.00,0.00,0.00,1.00,187.90,642.60,0.00,0.00,0.00,0.15,0.09,33510,31908,62.00,224,3190,13129,6,7,6,4,2,20,0.46,1.71,0.00,1050,0.00,2.00,2.00,-2.40,420.10,1425.10,-57.80,139.50,-47.90,0.21,0.42,16318,24087,58.00,155,2833,11677,3,4,15,1,0,13,0.40,4.50,100.00,198,0.00,1.00,2.00,1.00,398.40,0,76.90,-266.40,0,0.18,0.15,28434,99398,5.67,104,31385,26544,12,13,20,10,9,27,0.50,2.46,33.33,1182,33.33,1.00,2.67,0.10,310.77,1999.00,-37.90,-73.80,-21.20,0.20,0.15,34469,130381,10.25,194,39557,45164,5,18,78,34,34,184,0.66,4.61,50.00,3203,0.00,0.00,0.00,0.61,287.63,1120.30,34.25,-11.19,141.32,0.16,0.08,
"7 5",2200,4.24,2.00,3.40,12.40,0,1,1,1,7,70,53, 88, 293, 4, 2, 17,4,6,56, 94258, 247508, 91872, 60.98, 98063,1800.1,0,2266,2420,1257,12058,2997,15281,19.00,45,6345,6352,0,2,9,6,4,20,0.50,4.50,100.00,227,0.00,0.00,0.00,0.00,278.90,0,-55.75,235.80,0,0.15,0.07,27191,24854,82.00,205,2951,14878,9,6,21,4,6,18,0.73,5.00,100.00,596,100.00,2.00,4.00,1.00,475.90,1359.00,52.10,-58.10,88.60,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27415,35006,1.00,72,21337,15649,5,6,21,3,16,10,0.60,4.33,100.00,356,0.00,1.00,2.00,-0.90,259.30,1099.20,-26.40,66.80,-84.50,0.20,0.16,36655,172367,14.57,401,61239,61184,6,20,73,40,62,245,0.50,3.95,57.14,2480,14.29,0.00,0.00,0.88,290.76,2252.35,35.56,-71.98,95.15,0.16,0.07,
"Most1td",2065,1.98,0.80,6.00,11.10,0,0,0,0,10,50,29, 61, 222, 4, 0, 6,3,4,54, 46561, 170860, 40963, 23.08, 79851,1718.3,0,0,0,0,17183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46561,170860,4.50,210,40963,79851,8,60,111,29,61,222,0.54,1.98,50.00,1385,0.00,0.20,0.40,0.49,277.86,2249.90,4.71,-10.82,-54.48,0.15,0.07,
"Shallow Dr3am",2400,2.06,8.40,7.80,7.70,6,4,0,0,0,40,12, 32, 97, 14, 2, 15,0,4,60, 287101, 294430, 57318, 44.47, 124158,1809.5,9969,0,8126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,170062,158392,60.50,839,26082,66618,45,46,40,4,13,53,0.53,1.85,66.67,569,0.00,1.50,3.17,0.68,427.23,3007.85,34.13,-84.95,118.30,0.20,0.33,117039,136038,11.00,380,31236,57540,39,32,37,8,19,44,0.70,2.38,0.00,2099,25.00,2.75,4.00,0.38,433.43,1855.10,69.57,100.55,131.10,0.23,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Heartlock",1800,2.58,6.90,6.40,9.60,0,1,5,0,4,40,11, 34, 217, 6, 2, 18,4,8,58, 227233, 313181, 80561, 67.83, 129962,2170.4,0,11946,2620,0,7138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,175894,169871,61.60,1119,55065,83753,56,26,51,1,15,81,0.63,4.12,80.00,3167,0.00,2.60,6.40,0.32,404.08,1455.96,-12.42,81.46,123.58,0.22,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13306,52410,21.00,0,11248,13039,4,7,16,2,6,41,0.56,2.86,0.00,191,100.00,1.00,2.00,0.00,282.70,825.10,0.00,0.00,0.00,0.16,0.09,38033,90900,7.25,112,14248,33170,9,31,29,8,13,95,0.48,1.23,0.00,712,25.00,0.50,1.00,-0.70,240.70,1383.45,-78.90,-7.90,-264.80,0.17,0.14,
"roons11",2018,2.12,1.10,6.00,11.60,0,0,1,1,8,50,21, 80, 235, 6, 2, 15,3,5,52, 63096, 213667, 80726, 31.22, 96706,1856.6,0,1729,0,2010,14827,5801,32604,19.00,46,3549,8236,1,11,9,2,10,27,0.71,0.91,0.00,174,0.00,0.00,0.00,0.00,267.20,722.50,-22.45,-43.90,-169.70,0.16,0.07,16537,27390,49.00,145,5794,11313,6,6,12,2,0,11,0.60,3.00,100.00,316,0.00,1.00,2.00,1.20,418.30,0,68.10,25.80,0,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40758,153673,5.75,288,71383,77157,4,43,95,17,70,197,0.50,2.30,50.00,1383,0.00,0.00,0.00,0.66,262.55,1441.58,22.43,-1.53,-107.88,0.16,0.06,
