"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Myroh",1.41,1,3.9,4.5,0,1,0,0,5,33,9,0,5,2,1,40,45.4
"sliverwings1",2.71,4.80,5.10,9.00,9,1,0,0,0,70,10,8,15,2,4,51,45.55
"Talon96825",3.30,6.90,4.70,8.60,0,6,0,4,0,60,5,7,17,1,5,53,108.20
"Flareons",3.22,3.80,4.10,9.40,3,0,6,0,1,50,33,7,23,2,7,44,100.50
"FurNate",2.40,5.50,5.80,8.40,5,1,4,0,0,50,0,11,26,0,5,57,80.52
"ItsBrittxo",2.88,1.60,4.10,10.20,0,0,0,1,9,60,37,5,14,2,3,48,38.43
"Kevin Is Broken",2.30,6.50,5.70,6.60,0,10,0,0,0,50,0,8,13,2,3,49,105.27
"WangWong",3.00,8.20,5.70,8.90,0,0,2,8,0,50,4,16,18,2,1,61,47.00
"Rex the Billy",3.10,5.70,4.90,9.50,5,1,3,1,0,60,0,9,16,3,4,53,64.23
"GoldieHYX",2.70,8.00,6.60,9.80,4,1,5,0,0,50,11,6,19,0,2,53,264.13
"Ccaulder",3.77,3.00,4.40,13.60,0,0,2,2,6,70,2,13,16,2,3,54,111.68
"Mewber",2.26,4.40,5.40,7.80,4,0,0,4,2,40,8,6,14,2,3,53,27.92
"WasItSafe",2.03,5.10,8.70,12.60,1,0,2,1,6,40,13,6,15,1,3,57,64.55
"Tromo",1.75,5.30,6.70,6.40,1,1,0,6,2,20,9,8,13,2,2,48,39.37
"Phyzl",2.56,7.40,6.20,8.50,0,6,3,0,1,30,18,9,15,1,2,56,105.12
"BK Whoppers",2.40,5.30,5.20,7.20,0,0,6,4,0,40,2,12,14,3,3,50,60.08
"shub shawn",2.09,9.60,6.90,4.80,2,8,0,0,0,70,5,31,18,18,11,45,172.87
"Catcy",2.62,5.00,5.20,8.60,0,1,4,3,2,30,12,9,10,4,3,57,130.28
"I Love All Of U",4.26,6.70,3.80,9.50,4,5,0,0,1,30,5,7,15,4,2,57,404.37
"oGinGo",2.84,5.30,4.50,7.50,1,8,0,0,1,50,22,14,16,3,6,52,102.68
"Phleet Pheet",2.31,7.90,6.80,7.80,2,6,2,0,0,60,2,6,19,1,0,56,82.43
"SexyBoyBulbasaur",3.16,5.90,5.80,12.40,0,6,3,0,1,70,16,6,19,1,4,60,87.82
"Acrux",3.25,2.90,5.20,14.00,1,1,0,0,8,50,39,6,16,5,7,60,74.50
"SunJianROTK",1.58,4.20,8.60,9.40,2,3,3,1,1,30,5,4,11,6,3,50,53.37
"Ells",1.10,4.00,6.20,2.80,4,0,4,0,0,25,10,10,11,0,3,38,25.12
"ganzinam",1.06,4.20,6.80,3.00,0,6,0,3,1,30,11,7,11,3,0,39,75.18
"Jessica Tata",3.87,7.20,3.90,7.90,0,0,0,10,0,40,5,27,17,4,3,56,56.33
"Caligmus",2.33,5.60,4.80,5.60,8,1,1,0,0,40,14,15,17,5,5,45,27.08
"Whorehay",2.05,7.20,7.60,8.40,1,7,0,2,0,40,24,10,16,0,4,53,82.48
"scthesheep",3.30,7.20,5.00,9.30,1,7,1,1,0,60,6,18,23,0,4,66,182.80
"Chxiong",1.69,3.80,6.40,7.00,0,4,2,3,1,40,10,5,15,5,5,50,60.40
"EmmanuelElfd",2.75,4.50,6.10,12.30,2,3,0,3,2,40,16,10,9,2,2,59,62.15
"Peter worldeater",2.65,4.30,5.40,10.00,2,2,1,5,0,60,18,10,25,0,4,57,91.77
"auchenai",2.85,7.20,4.80,6.50,0,3,0,7,0,60,3,15,17,12,7,58,63.42
"Boner4StevieD",2.57,6.50,4.70,5.60,2,6,2,0,0,60,9,15,17,4,3,49,84.18
"EvilFaraDisE",3.61,1.70,2.30,6.60,0,0,2,2,2,33,14,5,10,1,3,58,42.50
"Lee",4.09,1.00,3.50,13.30,1,1,0,0,8,50,15,1,15,4,3,57,28.07
"dBeast",3.54,7.50,5.60,12.30,1,7,0,1,1,40,15,9,14,1,4,62,178.18
"Solace In Pepes",3.57,5.90,5.30,13.00,2,0,5,2,1,70,11,13,25,3,6,55,93.85
"btch i might be",3.14,5.20,5.10,10.80,0,5,0,1,4,50,0,3,12,4,2,59,126.63
"Getyourfb",2.61,6.80,5.70,8.10,0,6,0,3,1,60,7,9,16,2,7,50,72.90
