"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Myroh",1.41,1,3.9,4.5,0,1,0,0,5,33,9,17,99,0,0,5,2,1,40,35768,120522,30692,2724,50526,1848.5,0,0,1727,0,9364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14641,21361,2,59,5577,21127,99161,7.6,145,25115
"sliverwings1",2.29,4.10,4.90,7.10,4,1,1,1,3,30,15, 25, 140, 4, 0, 11,3,2,46, 124335, 199839, 29504, 38.28, 94472,1697.1,7262,1946,1217,1834,4712,24518,16661,42.00,172,2900,21819,17574,56.00,168,469,57285,105450,52.25,611,16158,3737,16097,0.00,58,3720,16976,44057,6.67,80,6257
"Talon96825",2.14,4.40,5.10,6.50,0,7,0,3,0,40,2, 26, 98, 17, 4, 15,5,2,44, 145597, 221279, 57547, 77.13, 111162,1806.1,0,0,12757,5304,0,34907,40841,57.33,509,6570,0,0,0,0,0,0,0,0,0,0,110690,180438,6.29,512,50977,0,0,0,0,0
"Flareons",3.22,3.80,4.10,9.40,3,0,6,0,1,50,33, 73, 159, 7, 4, 23,2,7,44, 182169, 182776, 30249, 100.50, 121467,2130.6,7013,12663,0,0,1630,0,0,0,0,0,111651,102808,56.50,992,10264,68086,68932,50.33,682,8236,0,0,0,0,0,2432,11036,0.00,3,11749
"FurNate",2.62,5.10,4.70,7.20,5,0,5,0,0,60,1, 19, 78, 11, 1, 13,2,2,49, 160183, 191944, 22716, 70.52, 111509,1769.7,7993,9704,0,0,0,0,0,0,0,0,104229,103776,62.00,915,15570,55954,88168,61.80,863,7146,0,0,0,0,0,0,0,0,0,0
"ItsBrittxo",2.20,3.10,5.50,9.00,0,0,0,3,7,30,43, 58, 232, 6, 3, 12,1,0,50, 143241, 191130, 52526, 48.23, 99035,1931.9,0,0,0,6158,13161,84892,60618,63.67,612,9149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58349,130512,7.57,183,43377
"Kevin Is Broken",2.40,6.30,5.80,7.60,3,6,0,1,0,40,0, 11, 118, 6, 1, 18,1,3,52, 175325, 325090, 94900, 109.18, 120986,1929.1,5628,0,11298,2365,0,6531,37398,14.00,116,12619,0,0,0,0,0,62673,103181,55.00,481,17227,106121,184511,2.83,578,65054,0,0,0,0,0
"WangWong",4.27,11.80,4.80,8.70,0,0,1,9,0,80,7, 29, 126, 22, 6, 25,5,5,63, 302314, 209312, 35603, 43.05, 151709,1933.9,0,1734,0,17605,0,264056,187463,69.11,1855,31095,38258,21849,60.00,150,4508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Rex the Billy",1.87,4.30,6.10,7.10,2,1,1,5,1,30,1, 35, 72, 9, 1, 11,1,2,54, 157391, 213204, 40663, 59.22, 110548,1839,4107,3176,2035,7460,1612,65078,65153,67.00,872,9410,28460,36601,76.00,372,2927,31308,63963,53.50,316,13428,25666,30350,0.00,86,12628,6879,17137,14.00,37,2270
"GoldieHYX",2.42,7.90,6.20,7.10,1,0,9,0,0,20,10, 19, 122, 3, 0, 9,0,2,60, 222657, 202197, 26001, 111.97, 115948,1853.2,1787,16745,0,0,0,0,0,0,0,0,198896,164373,55.00,1468,17842,23761,37824,62.00,207,8159,0,0,0,0,0,0,0,0,0,0
"Ccaulder",2.03,3.70,6.00,8.50,0,0,3,3,4,30,0, 36, 82, 12, 4, 14,3,5,53, 145326, 161631, 22070, 103.88, 106094,1929.6,0,6187,0,5631,7478,49750,42077,75.00,568,4334,66833,46623,51.67,493,3310,0,0,0,0,0,0,0,0,0,0,28743,72931,4.25,81,14426
"Mewber",3.17,5.90,4.20,7.40,4,0,2,4,0,50,5, 21, 103, 13, 2, 14,5,6,56, 209812, 171607, 28953, 40.02, 119889,1864.7,6793,3898,0,7956,0,92303,73163,67.75,816,13498,51416,25054,60.50,358,4052,66093,73390,66.25,716,11403,0,0,0,0,0,0,0,0,0,0
"WasItSafe",2.15,4.40,6.80,10.20,0,8,2,0,0,40,17, 45, 139, 1, 2, 14,1,3,52, 195154, 304998, 136107, 97.13, 111581,2068.3,0,3718,16965,0,0,0,0,0,0,0,40715,36452,41.50,225,2272,0,0,0,0,0,154439,268546,9.25,438,133835,0,0,0,0,0
"Tromo",3.15,7.50,5.30,9.20,8,0,0,2,0,70,6, 16, 129, 21, 3, 17,3,7,51, 228114, 276440, 63845, 112.45, 136203,2013.9,15065,0,0,5074,0,81017,58647,55.50,498,16318,0,0,0,0,0,147097,217793,47.25,1408,47527,0,0,0,0,0,0,0,0,0,0
"Phyzl",3.56,5.90,4.80,11.20,0,8,2,0,0,80,9, 39, 109, 11, 4, 20,0,5,59, 192062, 307211, 87670, 114.22, 120863,1928.2,0,4601,14681,0,0,0,0,0,0,0,58468,66595,66.00,367,13443,0,0,0,0,0,133594,240616,3.37,600,74227,0,0,0,0,0
"BK Whoppers",2.52,8.30,6.00,6.80,0,1,5,4,0,40,3, 13, 49, 12, 1, 15,2,4,52, 216111, 182033, 19249, 64.27, 137893,1986.8,0,10218,1259,8391,0,90987,83465,70.00,903,9376,114578,92166,71.00,1125,9556,0,0,0,0,0,10546,6402,61.00,3,317,0,0,0,0,0
"shub shawn",3.72,2.10,3.90,12.40,0,3,0,0,7,80,6, 34, 166, 5, 1, 15,1,5,53, 109335, 200733, 38791, 45.93, 99631,1820.2,0,0,5806,0,12396,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49798,89639,1.00,231,24528,59537,111094,6.43,203,14263
"Catcy",3.35,5.40,4.90,11.00,0,4,1,2,3,40,27, 62, 175, 4, 3, 13,5,3,58, 152482, 251270, 56678, 80.78, 118367,2050.9,0,2320,8755,3706,5728,41312,34461,63.50,357,4954,15423,14158,52.00,193,996,0,0,0,0,0,70372,139316,6.00,356,35620,25375,63335,5.67,81,15108
"I Love All Of U",4.91,6.60,3.40,10.10,4,4,0,0,2,40,6, 46, 124, 8, 2, 19,4,3,58, 159856, 288078, 68677, 411.08, 122008,2007,7769,0,8176,0,4125,0,0,0,0,0,0,0,0,0,0,67605,110573,55.75,684,21493,75996,136508,4.75,310,39810,16255,40997,9.50,77,7374
