"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"Myroh",1.41,1,3.9,4.5,0,1,0,0,5,33,9,17,99,0,0,5,2,1,40,35768,120522,30692,2724,50526,1848.5,0,0,1727,0,9364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14641,21361,2,59,5577,10179,6,6,6,1,1,5,0.63,2,0,364,21127,99161,7.6,145,25115,40347,4,33,39,8,16,94,0.36,1.3,40,2360
"sliverwings1",3.17,6.60,5.20,9.90,4,2,0,4,0,40,10, 30, 126, 11, 2, 19,3,5,57, 223329, 271133, 52860, 65.18, 122975,1953.9,7920,0,3338,8281,0,108703,69353,57.50,713,15254,56886,31,17,48,4,14,47,0.65,4.65,75.00,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83879,142424,44.50,565,24876,45564,23,26,34,3,12,55,0.51,2.19,0.00,2417,30747,59356,5.50,123,12730,20525,12,9,17,3,4,24,0.51,3.22,50.00,710,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Talon96825",2.12,4.30,6.00,8.40,0,7,0,3,0,40,2, 29, 108, 16, 3, 15,4,4,49, 160831, 237979, 54784, 82.03, 117519,1944.3,0,0,14139,5304,0,34907,40841,57.33,509,6570,30270,8,11,19,2,6,24,0.47,2.45,33.33,261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125924,197138,9.14,473,48214,87249,35,49,65,0,23,84,0.50,2.04,42.86,4661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"FurNate",2.62,5.10,4.70,7.20,5,0,5,0,0,60,1, 19, 78, 11, 1, 13,2,2,49, 160183, 191944, 22716, 70.52, 111509,1769.7,7993,9704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104229,103776,62.00,915,15570,61210,36,31,33,0,14,42,0.53,0.00,60.00,820,55954,88168,61.80,863,7146,50299,15,16,39,1,5,36,0.44,3.38,60.00,3411,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ItsBrittxo",2.30,4.70,5.60,8.20,1,0,0,5,4,50,34, 46, 185, 13, 5, 16,2,2,49, 182200, 202110, 38170, 75.13, 115180,1946.2,1272,0,0,11491,6699,149319,123011,56.00,1108,23059,78868,44,33,39,12,22,79,0.56,2.52,60.00,3208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4826,11601,61.00,127,230,7264,1,2,5,2,0,9,0.24,3.00,100.00,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28055,67498,9.25,115,14881,29048,2,21,38,20,24,97,0.45,1.90,25.00,893,
"WangWong",4.27,11.80,4.80,8.70,0,0,1,9,0,80,7, 29, 126, 22, 6, 25,5,5,63, 302314, 209312, 35603, 43.05, 151709,1933.9,0,1734,0,17605,0,264056,187463,69.11,1855,31095,138207,104,44,72,7,27,116,0.62,4.00,77.78,2382,38258,21849,60.00,150,4508,13502,14,4,15,0,2,10,0.67,0.00,100.00,201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rex the Billy",1.87,4.30,6.10,7.10,2,1,1,5,1,30,1, 35, 72, 9, 1, 11,1,2,54, 157391, 213204, 40663, 59.22, 110548,1839,4107,3176,2035,7460,1612,65078,65153,67.00,872,9410,45820,19,24,22,0,7,13,0.54,1.71,20.00,764,28460,36601,76.00,372,2927,21237,9,11,12,0,4,13,0.68,0.00,0.00,271,31308,63963,53.50,316,13428,21531,4,18,14,1,9,20,0.35,1.00,0.00,1610,25666,30350,0.00,86,12628,13613,10,4,10,0,13,13,0.77,5.00,100.00,583,6879,17137,14.00,37,2270,8347,1,4,13,0,2,13,0.56,3.50,100.00,325,
"GoldieHYX",2.48,8.70,6.50,7.40,1,0,9,0,0,20,11, 24, 131, 3, 0, 9,0,2,63, 244711, 217320, 27749, 122.58, 121559,1924.8,1787,17461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,220950,179496,57.67,1551,19590,110766,81,59,72,11,23,120,0.62,0.00,22.22,7062,23761,37824,62.00,207,8159,10793,6,6,2,0,1,11,0.73,1.33,0.00,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ccaulder",2.03,3.70,6.00,8.50,0,0,3,3,4,30,0, 36, 82, 12, 4, 14,3,5,53, 145326, 161631, 22070, 103.88, 106094,1929.6,0,6187,0,5631,7478,49750,42077,75.00,568,4334,37943,18,14,22,0,8,19,0.56,2.86,66.67,4275,66833,46623,51.67,493,3310,34897,16,23,31,0,7,16,0.56,0.00,33.33,866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28743,72931,4.25,81,14426,33254,3,23,32,0,21,47,0.46,1.52,0.00,1092,
"Mewber",3.17,5.90,4.20,7.40,4,0,2,4,0,50,5, 21, 103, 13, 2, 14,5,6,56, 209812, 171607, 28953, 40.02, 119889,1864.7,6793,3898,0,7956,0,92303,73163,67.75,816,13498,50635,24,24,30,0,6,39,0.51,2.25,25.00,485,51416,25054,60.50,358,4052,27316,18,6,28,3,8,24,0.75,0.00,100.00,276,66093,73390,66.25,716,11403,41938,17,12,16,2,7,40,0.47,2.75,50.00,1640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
