"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Myroh",1419,1.41,1,3.9,4.5,0,1,0,0,5,33,9,17,99,0,0,5,2,1,40,35768,120522,30692,2724,50526,1848.5,0,0,1727,0,9364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14641,21361,2,59,5577,10179,6,6,6,1,1,5,0.63,2,0,364,0,1,3,0.1,341,0,-20.3,10.2,0,0.21,0.24,21127,99161,7.6,145,25115,40347,4,33,39,8,16,94,0.36,1.3,40,2360,0,0,0,0.12,291.34,1151.8,8.6,-64.41,-108.32,0.15,0.06
"sliverwings1",1384,3.25,7.60,5.30,9.60,5,2,0,3,0,40,8, 26, 130, 9, 0, 19,2,3,56, 227236, 275873, 55307, 93.87, 120929,1941.3,9890,0,3338,6185,0,83901,55165,58.33,506,11962,40900,29,15,29,2,10,39,0.65,3.87,33.33,683,0.00,3.00,4.00,-0.38,311.47,1522.80,9.00,-2.90,-7.92,0.22,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112588,161352,44.20,676,30615,59504,35,29,50,3,12,67,0.52,2.93,40.00,4239,0.00,1.60,3.40,-1.14,423.46,2866.70,29.28,139.82,44.35,0.20,0.24,30747,59356,5.50,123,12730,20525,12,9,17,3,4,24,0.51,3.22,50.00,710,0.00,2.00,3.00,0.55,327.00,0,37.85,-21.95,0,0.20,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Talon96825",1500,2.08,4.70,6.00,7.80,0,7,0,3,0,40,2, 31, 112, 15, 3, 17,3,5,47, 168463, 249668, 59759, 89.33, 121961,1992.1,0,0,14617,5304,0,34907,40841,57.33,509,6570,30270,8,11,19,2,6,24,0.47,2.45,33.33,261,0.00,0.67,1.00,0.00,282.20,2228.70,-1.08,-13.80,-99.35,0.20,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133556,208827,7.14,489,53189,91691,39,49,59,0,25,88,0.47,2.00,42.86,5099,14.29,1.29,2.14,0.27,352.03,1580.96,-6.99,-64.34,38.34,0.20,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Flareons",1421,3.22,3.80,4.10,9.40,3,0,6,0,1,50,33, 73, 159, 7, 4, 23,2,7,44, 182169, 182776, 30249, 100.50, 121467,2130.6,7013,12663,0,0,1630,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111651,102808,56.50,992,10264,71039,22,27,62,18,13,87,0.47,3.11,33.33,2637,16.67,0.83,1.67,-0.55,439.02,1274.65,22.78,2.02,-153.70,0.18,0.19,68086,68932,50.33,682,8236,44221,16,7,29,14,59,58,0.42,6.43,100.00,3327,0.00,1.67,3.00,-2.30,459.43,1446.73,3.17,31.20,-84.60,0.19,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2432,11036,0.00,3,11749,6207,0,7,3,1,1,14,0.27,0.43,0.00,66,0.00,0.00,0.00,-2.15,98.40,0,-128.70,42.45,0,0.16,0.04,
"ItsBrittxo",1582,3.10,7.20,6.00,11.40,1,1,0,6,2,70,28, 34, 169, 22, 4, 22,1,5,57, 220750, 236154, 46819, 84.03, 133106,2056.9,1272,0,1505,13869,3923,192408,153781,52.33,1280,33310,99321,64,43,64,14,20,87,0.60,2.98,83.33,3134,0.00,2.33,5.33,0.05,286.72,1559.05,-20.74,-36.36,114.38,0.22,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4826,11601,61.00,127,230,7264,1,2,5,2,0,9,0.24,3.00,100.00,407,0.00,0.00,0.00,0.30,416.00,0,-4.30,-77.20,0,0.17,0.11,6339,18574,2.00,49,2654,7168,1,7,4,4,1,19,0.42,0.71,0.00,606,0.00,0.00,0.00,-0.80,297.10,0,-60.70,-111.30,0,0.18,0.13,17177,52198,13.50,63,10625,19353,6,8,41,8,13,54,0.64,5.88,50.00,895,0.00,0.50,2.50,0.93,294.85,1641.90,36.22,-10.72,81.40,0.16,0.08,
"Kevin Is Broken",1372,2.63,7.60,6.00,8.20,4,5,0,1,0,40,0, 11, 112, 6, 1, 17,1,3,56, 204374, 326622, 86501, 105.90, 125767,1931.1,7473,0,9473,2365,0,6531,37398,14.00,116,12619,12373,2,7,13,0,5,27,0.52,2.14,0.00,701,0.00,0.00,0.00,-0.38,253.10,951.80,20.70,-73.10,8.90,0.18,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81785,135330,52.00,651,23443,43902,22,30,29,0,4,35,0.55,1.70,0.00,1992,0.00,1.25,2.75,-0.38,415.65,1711.03,-27.33,-90.08,-9.87,0.21,0.26,116058,153894,2.60,519,50439,69492,52,23,40,0,2,50,0.57,4.00,80.00,3661,0.00,2.20,4.60,0.00,361.80,1785.23,22.28,193.90,35.45,0.23,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"WangWong",1527,4.81,12.30,4.30,8.40,0,0,1,9,0,90,7, 26, 123, 21, 6, 22,6,6,66, 299764, 202311, 36682, 50.58, 152766,1920.5,0,1734,0,17471,0,261506,180462,72.89,1884,32174,139264,109,39,69,7,24,113,0.65,4.56,88.89,2834,33.33,2.89,5.44,0.00,318.37,1654.48,31.55,13.04,23.73,0.24,0.32,38258,21849,60.00,150,4508,13502,14,4,15,0,2,10,0.67,7.25,100.00,201,0.00,2.00,7.00,-0.40,438.80,0,34.50,254.30,0,0.23,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rex the Billy",1469,2.43,6.00,5.40,7.10,1,3,1,4,1,40,3, 33, 89, 8, 2, 14,2,2,58, 177873, 245793, 60741, 53.53, 117170,1886.1,2036,3176,6537,5500,1612,49115,43974,69.00,637,6324,33767,15,15,14,0,5,9,0.59,1.93,25.00,368,25.00,1.00,1.75,0.55,315.75,0,-6.74,-59.22,0,0.23,0.28,28460,36601,76.00,372,2927,21237,9,11,12,0,4,13,0.68,1.91,0.00,271,0.00,2.00,3.00,2.90,457.70,1291.60,56.40,16.90,-67.50,0.22,0.16,23564,33132,70.00,184,7827,11097,4,10,6,1,5,12,0.45,1.00,0.00,93,0.00,1.00,2.00,2.20,422.80,1315.50,-14.80,-154.00,214.90,0.20,0.23,69855,114949,0.00,255,41393,42722,31,14,26,2,17,42,0.59,4.07,66.67,2155,66.67,2.33,5.00,-0.10,285.00,1394.60,-7.97,77.37,135.97,0.21,0.23,6879,17137,14.00,37,2270,8347,1,4,13,0,2,13,0.56,3.50,100.00,325,0.00,0.00,0.00,1.80,284.70,0,3.05,45.55,0,0.15,0.10,
"GoldieHYX",1706,2.36,8.80,7.00,7.70,0,0,10,0,0,40,9, 19, 133, 6, 0, 11,1,3,63, 243286, 197395, 21835, 164.02, 123466,1892.7,0,18927,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,243286,197395,57.20,1704,21835,123466,88,70,77,9,19,133,0.63,2.36,40.00,9841,0.00,2.10,3.50,0.00,429.93,1662.39,12.10,-5.99,36.13,0.22,0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ccaulder",1475,2.03,3.70,6.00,8.50,0,0,3,3,4,30,0, 36, 82, 12, 4, 14,3,5,53, 145326, 161631, 22070, 103.88, 106094,1929.6,0,6187,0,5631,7478,49750,42077,75.00,568,4334,37943,18,14,22,0,8,19,0.56,2.86,66.67,4275,0.00,1.33,3.33,0.00,309.97,2484.40,39.73,-31.83,139.70,0.22,0.22,66833,46623,51.67,493,3310,34897,16,23,31,0,7,16,0.56,2.04,33.33,866,0.00,1.33,2.67,-1.37,362.00,1186.80,-94.57,-155.27,-71.90,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28743,72931,4.25,81,14426,33254,3,23,32,0,21,47,0.46,1.52,0.00,1092,0.00,0.25,0.50,-0.35,265.52,2663.50,-51.44,-53.00,-45.40,0.16,0.10,
