"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Lord Zaint",2.76,9.5,6.3,7.9,0,0,2,8,0,60,23,15,14,2,5,60,40.68
"Hiep The God",1.88,7.20,7.20,6.30,5,2,2,1,0,40,17,2,11,2,7,48,54.78
"ArchonRevenant",2.54,5.20,5.20,8.00,0,0,4,5,1,50,4,14,23,10,5,48,38.73
"fealx",2.29,3.90,6.30,10.50,0,2,0,5,3,40,17,6,11,3,2,56,44.17
"Schleep",2.09,4.00,5.40,7.30,4,1,2,0,3,40,23,7,9,1,4,55,41.38
"This is Why",2.72,3.80,5.30,10.60,1,1,2,3,3,30,12,6,16,5,4,58,102.32
"the boy never wo",3.19,8.50,6.20,11.30,0,0,4,6,0,50,4,12,20,5,7,55,129.22
"Adouphoof",2.51,9.10,6.30,6.70,3,0,1,6,0,70,11,24,14,0,3,56,46.15
"Kim Jong Kanye",2.29,6.50,5.60,6.30,7,3,0,0,0,50,15,7,18,5,7,47,401.52
"Kidd Klash",3.07,6.40,4.50,7.40,0,1,0,9,0,50,10,11,17,2,6,53,116.27
"KING SMALLEY",1.98,5.10,6.10,7.00,0,6,4,0,0,30,0,5,12,0,4,55,49.95
"Dmagex",4.17,7.20,3.00,5.30,2,0,0,8,0,60,0,15,22,0,8,63,55.07
"I AM PJ SALT",4.26,9.20,3.40,5.30,0,5,5,0,0,80,1,9,18,3,6,58,93.80
"InTheFall",2.17,4.70,4.60,5.30,1,3,3,3,0,60,7,10,21,3,5,41,38.02
"ChallengerBronze",2.35,5.70,4.00,3.70,1,3,3,3,0,50,2,8,19,3,2,41,74.07
"SkeeterLord",2.06,4.00,4.70,5.70,0,0,0,10,0,40,0,11,18,4,4,46,18.12
"ObeseKittenX",2.03,8.10,6.80,5.70,1,1,8,0,0,30,7,5,14,1,5,49,58.63
"Iskurr2qt4me",2.61,8.00,5.60,6.60,1,9,0,0,0,60,17,13,17,5,7,56,110.85
"SquidsDayOff",2.48,3.60,6.20,11.80,0,1,0,5,4,60,17,6,19,5,3,56,51.95
"rafflesz",2.21,4.90,5.20,6.60,0,0,2,8,0,40,5,17,15,1,2,49,32.37
"TehNumberSeven",2.80,5.30,4.60,7.60,0,4,4,2,0,50,8,15,14,1,5,51,127.37
"RustyBEW",2.41,6.10,6.10,8.60,3,4,0,1,2,60,12,4,20,1,8,44,26.45
"SKT T1 Maki",3.08,4.90,3.60,6.20,2,5,1,2,0,40,16,10,13,1,5,50,114.23
"Balugaa",3.64,5.50,4.20,9.80,0,7,2,1,0,70,3,6,13,2,3,58,197.50
"OK OK OK OK",2.43,2.90,4.40,7.80,6,2,1,0,1,30,19,11,9,6,2,45,184.92
"McNabi",2.07,3.30,4.40,5.80,0,5,1,3,1,10,3,6,14,6,0,48,131.80
"MrMalinis",2.59,5.60,5.60,8.90,1,0,2,7,0,40,0,12,17,1,3,56,65.65
"Call Me Douglas",2.06,3.80,5.30,7.10,6,4,0,0,0,40,13,17,17,3,8,38,78.35
"Alzharaii",3.10,9.60,6.10,9.30,1,3,6,0,0,40,5,17,20,1,4,58,61.03
