"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Lord Zaint",3.25,8.3,5.1,8.3,1,0,3,6,0,70,21,22,101,10,2,20,7,2,51,199910,169992,23691,4198,119580,1775.7
"Hiep The God",2.66,10.40,7.00,8.20,4,0,2,4,0,60,10, 17, 136, 12, 1, 17,1,5,56, 307323, 309266, 41273, 50.92, 145689,2092.9
"ArchonRevenant",2.54,5.20,5.20,8.00,0,0,4,5,1,50,4, 24, 123, 14, 2, 23,10,5,48, 175409, 203247, 61413, 38.73, 114311,1922.9
"fealx",2.67,4.70,4.30,6.80,1,8,1,0,0,40,21, 20, 124, 3, 0, 12,4,1,50, 141677, 226537, 50129, 178.08, 94676,1651.4
"Schleep",2.40,5.10,5.20,7.40,3,3,2,2,0,60,5, 29, 90, 9, 5, 15,1,7,48, 186625, 234530, 41748, 93.48, 122713,1836.1
"This is Why",2.06,4.20,5.20,6.50,0,2,3,3,2,20,16, 25, 141, 6, 1, 14,8,2,51, 130902, 193572, 42852, 131.25, 93938,1750.7
"the boy never wo",3.19,8.50,6.20,11.30,0,0,4,6,0,50,4, 33, 132, 12, 3, 20,5,7,55, 316553, 230117, 41513, 129.22, 147597,2311.4
"Adouphoof",1.99,7.60,7.00,6.30,0,2,1,7,0,40,5, 31, 77, 11, 0, 7,4,2,59, 194384, 235623, 35552, 66.77, 120384,1718
"Kim Jong Kanye",1.89,5.60,6.60,6.90,1,3,4,2,0,30,10, 23, 120, 12, 2, 12,4,3,52, 203412, 250600, 47594, 107.83, 123768,1981
"Kidd Klash",4.25,7.70,3.60,7.60,0,2,0,8,0,70,10, 23, 88, 11, 4, 19,5,2,55, 219844, 142362, 22863, 50.95, 119377,1753.3
"KING SMALLEY",2.70,8.00,5.60,7.10,3,6,0,1,0,40,0, 20, 61, 10, 2, 16,2,3,60, 228217, 236705, 52761, 89.55, 128176,1919.9
"Dmagex",5.20,7.80,3.00,7.80,2,0,0,8,0,80,0, 16, 71, 21, 1, 13,3,4,55, 218108, 164102, 27637, 57.30, 114486,1686.4
"InTheFall",2.22,6.40,6.00,6.90,1,2,5,2,0,50,6, 45, 139, 13, 6, 22,3,3,48, 240813, 231651, 34312, 70.97, 137943,2190
"ChallengerBronze",2.62,5.10,3.90,5.10,1,3,2,4,0,30,0, 26, 80, 8, 4, 8,2,2,50, 156786, 163100, 35818, 60.23, 101651,1650.4
"SkeeterLord",1.45,5.30,8.40,6.90,0,1,2,7,0,40,2, 11, 100, 14, 0, 17,2,2,44, 172901, 202145, 37601, 23.37, 109023,1842.9
"ObeseKittenX",2.03,8.10,6.80,5.70,1,1,8,0,0,30,7, 44, 115, 5, 1, 14,1,5,49, 210200, 229019, 21040, 58.63, 124212,1900.8
"Iskurr2qt4me",2.61,8.00,5.60,6.60,1,9,0,0,0,60,17, 36, 148, 13, 3, 17,5,7,56, 192991, 283290, 69086, 110.85, 141378,1902.7
"SquidsDayOff",4.03,1.80,4.00,14.30,0,0,0,1,9,70,25, 60, 231, 3, 0, 17,5,4,59, 102252, 213296, 106367, 35.17, 103982,2052.9
"rafflesz",2.56,3.30,5.20,10.00,5,0,3,0,2,60,15, 37, 164, 16, 2, 19,2,3,48, 148995, 245929, 84745, 82.38, 122118,1975.3
"TehNumberSeven",4.70,4.90,2.70,7.80,1,1,4,3,1,60,13, 22, 105, 9, 3, 17,5,4,49, 175030, 156211, 23990, 127.70, 115378,1868.2
"RustyBEW",2.76,7.30,6.20,9.80,0,4,6,0,0,70,11, 36, 106, 11, 1, 21,4,7,54, 178881, 259177, 68025, 73.30, 122738,1991.2
"SKT T1 Maki",3.08,4.90,3.60,6.20,2,5,1,2,0,40,16, 76, 128, 10, 1, 13,1,5,50, 157469, 250348, 82320, 114.23, 115348,1935.6
"Balugaa",2.79,5.50,3.90,5.40,4,1,5,0,0,50,5, 15, 96, 8, 2, 11,4,3,53, 541609, 481389, 44004, 73.80, 105693,1689.9
"OK OK OK OK",2.43,2.90,4.40,7.80,6,2,1,0,1,30,19, 23, 118, 11, 0, 9,6,2,45, 129536, 242865, 41418, 184.92, 101471,1856.7
"McNabi",3.51,4.40,3.70,8.60,0,0,1,7,2,60,1, 18, 97, 18, 2, 14,2,3,53, 183607, 158482, 35746, 38.02, 109280,1784.9
"MrMalinis",2.52,3.70,5.00,8.90,1,0,4,3,2,40,2, 20, 71, 9, 2, 16,1,1,55, 159932, 186570, 20267, 195.18, 108878,1903.1
"Call Me Douglas",3.39,5.40,4.90,11.20,2,0,2,1,5,60,17, 36, 218, 16, 3, 16,3,5,58, 187786, 237527, 30054, 67.98, 121362,1974.8
"Alzharaii",3.53,6.50,4.30,8.70,0,5,5,0,0,60,8, 24, 107, 4, 2, 17,0,6,53, 167073, 198702, 40246, 58.38, 113295,1812.1
