"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"Lord Zaint",3.79,7.7,4.8,10.5,0,0,2,8,0,70,15,40,114,20,4,20,4,8,59,323612,232261,60904,10292,150332,2191.4,0,6059,0,15855,0,222292,130304,60.13,1645,25757,110945,58,32,70,10,32,80,0.59,4,75,8557,101320,101957,61,615,35147,39387,19,16,35,5,8,34,0.59,0,50,1735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hiep The God",2.36,8.00,5.80,5.70,9,1,0,0,0,60,19, 22, 107, 8, 3, 14,4,4,49, 178744, 273174, 53878, 64.95, 118831,1734.4,15740,0,1604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,172733,253387,60.11,1511,49931,109976,75,51,54,18,18,105,0.49,2.53,66.67,3113,6011,19787,0.00,71,3947,8855,5,7,3,1,4,2,0.62,1.14,0.00,784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ArchonRevenant",1.48,4.90,6.70,5.00,1,0,5,4,0,40,10, 24, 99, 14, 0, 14,3,4,44, 183593, 205634, 58216, 118.65, 104202,1760.2,1569,8689,0,7344,0,78656,68455,51.50,630,9895,46791,23,32,26,4,8,43,0.40,1.53,50.00,5953,90516,117922,53.40,700,43496,49698,24,28,20,5,15,50,0.47,0.00,40.00,1008,14421,19257,45.00,103,4825,7713,2,7,4,1,1,6,0.55,0.86,0.00,158,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"fealx",2.35,4.50,4.90,7.00,1,3,0,6,0,60,8, 54, 121, 16, 0, 19,3,5,49, 160732, 193857, 28909, 76.90, 112747,1796,1466,0,5210,11284,0,118814,109272,70.17,1260,12081,77431,35,35,50,3,39,74,0.55,2.43,66.67,381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10153,16119,55.00,139,2862,9258,1,2,4,0,2,8,0.15,2.50,100.00,485,31765,68466,3.67,170,13966,26058,9,12,16,5,13,39,0.51,2.08,33.33,3748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Schleep",3.19,4.70,4.30,9.00,8,1,0,0,1,70,17, 37, 143, 10, 1, 23,4,4,53, 174600, 260401, 48182, 163.10, 114717,1832.1,13975,0,2533,0,1813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,146784,184170,64.50,1495,30098,90935,38,28,66,11,22,88,0.53,3.71,75.00,8283,19744,55207,0.00,89,13889,14748,7,10,12,1,12,32,0.63,1.90,0.00,1431,8072,21024,10.00,39,4195,9034,2,5,12,5,3,23,0.47,2.80,100.00,72,
"This is Why",2.31,4.30,4.90,7.00,0,2,2,3,3,20,18, 27, 159, 6, 1, 14,7,2,53, 129336, 196518, 43777, 109.13, 96551,1811.9,0,4270,3195,4736,5918,43478,42742,29.33,256,4303,24104,9,18,21,3,3,29,0.49,1.67,33.33,235,47071,44934,48.00,375,11388,27602,18,8,15,4,9,31,0.51,0.00,50.00,5425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21651,44300,1.00,108,10636,17892,10,12,9,4,3,10,0.59,1.58,0.00,543,17136,64542,13.67,147,17450,26953,6,11,25,7,12,89,0.54,2.82,0.00,345,
"the boy never wo",3.19,8.50,6.20,11.30,0,0,4,6,0,50,4, 33, 132, 12, 3, 20,5,7,55, 316553, 230117, 41513, 129.22, 147597,2311.4,0,9349,0,13765,0,198328,114737,57.67,1205,21104,90712,52,34,68,1,27,74,0.56,3.53,66.67,5218,118225,115380,56.50,694,20409,56885,33,28,45,3,6,58,0.55,0.00,25.00,2535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Adouphoof",2.70,10.40,6.90,8.20,0,4,0,6,0,60,15, 35, 74, 19, 4, 14,4,3,58, 261420, 278633, 74907, 80.52, 141828,1863.3,0,0,7973,10660,0,176895,134767,71.50,1128,16076,85821,68,41,50,4,10,38,0.56,2.88,66.67,2392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84525,143866,7.75,362,58831,56007,36,28,32,11,25,36,0.63,2.43,50.00,2439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Kim Jong Kanye",2.56,6.30,5.40,7.50,6,0,4,0,0,50,15, 7, 114, 12, 1, 17,2,3,56, 211525, 255958, 51420, 55.17, 128429,1891.2,11685,7227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91875,99150,64.00,767,20828,50856,27,21,33,5,2,43,0.54,0.00,75.00,860,119650,156808,60.67,1239,30592,77573,36,33,42,10,5,71,0.58,2.36,33.33,2450,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Kidd Klash",2.03,5.10,6.10,7.30,0,3,0,7,0,40,9, 32, 99, 11, 4, 13,4,6,50, 192563, 214598, 42125, 50.48, 122472,1950.9,0,0,5026,14483,0,152433,133435,64.43,1373,22640,93704,37,42,54,6,26,71,0.48,2.17,57.14,1805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40130,81163,0.67,204,19485,28768,14,19,19,3,6,28,0.56,1.74,0.00,1224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
