"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Lord Zaint",1645,3.79,7.7,4.8,10.5,0,0,2,8,0,70,15,40,114,20,4,20,4,8,59,323612,232261,60904,10292,150332,2191.4,0,6059,0,15855,0,222292,130304,60.13,1645,25757,110945,58,32,70,10,32,80,0.59,4,75,8557,12.5,2.25,3.63,0,284.96,1477.03,4.95,60.75,91.45,0.22,0.29,101320,101957,61,615,35147,39387,19,16,35,5,8,34,0.59,3.38,50,1735,0,3,3,0.15,428.65,1374.95,-16.7,88.6,-54.85,0.2,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Hiep The God",1193,1.80,6.10,6.10,4.90,5,3,1,1,0,10,17, 21, 92, 3, 0, 9,1,3,48, 178390, 256974, 64759, 51.20, 115679,1905.4,10330,1274,5964,1486,0,3116,11252,62.00,126,1276,6534,0,4,3,1,1,6,0.33,0.75,0.00,5,0.00,0.00,0.00,1.88,330.20,0,-79.85,-50.30,0,0.19,0.09,0,0,0.00,0,0,3314,0,0,0,0,0,0,0.00,0.00,0.00,0,0.00,0.00,0.00,0.00,0.00,0,0.00,0.00,0,0.13,0.00,120960,145759,61.80,968,20004,67233,39,42,28,10,12,74,0.53,1.60,0.00,1505,60.00,1.60,3.20,1.88,425.80,2500.25,26.00,-57.34,-51.55,0.22,0.23,54314,99963,5.33,289,43479,38598,22,15,18,6,8,12,0.45,2.67,33.33,1562,33.33,2.00,3.67,-0.60,347.13,1758.70,22.03,-95.10,22.95,0.21,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ArchonRevenant",1373,1.48,2.90,6.70,7.00,3,0,3,2,2,40,18, 30, 129, 8, 0, 11,4,5,41, 136977, 208484, 61148, 64.53, 95513,1754.6,5069,4445,0,3770,4262,30562,34343,55.00,295,5628,21626,3,16,12,3,7,23,0.28,0.94,50.00,2113,0.00,0.50,1.00,-0.09,247.10,1763.00,-84.35,-91.25,27.90,0.18,0.17,39170,56673,53.67,330,21013,24685,14,13,11,6,2,33,0.49,1.92,33.33,673,0.00,0.67,2.33,0.67,435.90,0,59.53,-103.00,0,0.20,0.25,49680,76128,46.67,371,23461,26502,8,22,13,5,8,30,0.36,0.95,33.33,674,0.00,0.67,1.00,-0.17,459.77,0,50.27,-102.17,0,0.19,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17565,41340,2.50,40,11046,22700,4,16,34,4,13,43,0.49,2.38,50.00,412,0.00,0.50,1.00,-0.05,256.15,973.80,-2.22,84.02,29.85,0.16,0.08,
"fealx",1400,2.72,5.50,5.00,8.10,1,2,0,7,0,60,8, 43, 117, 13, 0, 16,2,4,49, 186215, 189824, 28073, 34.85, 114643,1834.4,1466,0,3880,12998,0,145472,122884,63.86,1284,16185,83944,41,36,62,3,30,81,0.58,2.86,57.14,767,14.29,1.29,3.29,-0.36,272.46,1519.36,-35.61,-0.64,96.90,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10153,16119,55.00,139,2862,9258,1,2,4,0,2,8,0.15,2.50,100.00,485,0.00,0.00,0.00,-2.50,406.00,0,-42.90,201.50,0,0.17,0.14,30590,50821,5.00,95,9026,21441,13,12,15,5,11,28,0.44,2.33,50.00,839,0.00,2.00,2.50,-0.60,343.65,1701.90,0.05,-148.05,-115.50,0.18,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Schleep",1921,3.10,4.40,6.10,14.50,3,5,0,0,2,50,24, 46, 222, 7, 3, 15,0,8,56, 166945, 354620, 71790, 171.52, 127925,2206.4,7927,0,9845,0,4292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63065,143584,54.00,685,27999,49159,15,25,51,5,11,54,0.54,2.64,33.33,3885,0.00,1.00,2.33,-0.33,384.50,1331.40,-73.17,36.27,-8.03,0.19,0.15,79842,144964,23.60,240,31648,57726,24,23,53,12,22,101,0.58,3.35,60.00,5128,20.00,1.00,2.60,0.06,342.64,1362.52,-4.08,-8.04,-34.20,0.19,0.17,24038,66072,12.00,78,12143,21040,5,13,41,7,13,67,0.58,3.54,50.00,1278,50.00,0.00,0.00,0.50,288.15,1730.70,12.52,-37.13,224.25,0.15,0.09,
"This is Why",1241,2.25,4.40,4.80,6.40,0,3,2,3,2,20,18, 23, 145, 6, 1, 14,6,2,53, 129742, 186848, 38164, 111.98, 95932,1763.8,0,4270,4454,4736,4178,43478,42742,29.33,256,4303,24104,9,18,21,3,3,29,0.49,1.67,33.33,235,0.00,1.00,1.67,0.00,232.40,1881.80,-51.77,-8.18,-22.05,0.18,0.23,47071,44934,48.00,375,11388,27602,18,8,15,4,9,31,0.51,4.13,50.00,5425,50.00,3.00,3.50,-1.20,463.80,1292.60,58.75,27.65,-152.35,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27439,57926,3.00,166,14482,24188,11,16,10,6,3,18,0.54,1.31,0.00,873,33.33,1.33,1.33,-0.57,291.73,2829.10,-98.90,-160.93,-53.10,0.21,0.18,11754,41246,13.00,103,7991,20038,6,6,18,5,8,67,0.60,4.00,0.00,186,0.00,1.00,2.00,0.70,333.10,977.60,34.52,-3.65,-8.35,0.17,0.08,
"the boy never wo",1400,3.19,8.50,6.20,11.30,0,0,4,6,0,50,4, 33, 132, 12, 3, 20,5,7,55, 316553, 230117, 41513, 129.22, 147597,2311.4,0,9349,0,13765,0,198328,114737,57.67,1205,21104,90712,52,34,68,1,27,74,0.56,3.53,66.67,5218,0.00,2.67,3.50,0.00,291.95,1233.07,-10.02,15.08,50.06,0.21,0.27,118225,115380,56.50,694,20409,56885,33,28,45,3,6,58,0.55,2.79,25.00,2535,0.00,1.50,3.50,-0.60,435.55,1585.23,18.10,-39.62,-139.07,0.20,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Adouphoof",1650,2.20,8.90,7.10,6.70,0,0,2,8,0,50,6, 27, 51, 25, 4, 11,0,3,55, 308262, 249509, 29388, 83.43, 143645,1947,0,4703,0,14767,0,243163,194995,64.25,1812,21568,111545,69,52,55,6,21,43,0.57,2.38,50.00,3480,12.50,2.00,3.88,0.00,307.56,1605.72,2.61,-33.99,34.17,0.25,0.34,65099,54514,70.50,470,7820,32100,20,19,12,0,6,8,0.46,1.68,50.00,1526,50.00,2.50,3.50,0.70,483.80,1359.35,37.55,-85.95,-137.60,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Kim Jong Kanye",1345,2.55,5.50,4.70,6.50,5,1,1,3,0,20,13, 26, 116, 6, 0, 11,2,1,55, 182820, 254085, 48978, 70.58, 117581,1959.4,8392,1983,1910,7309,0,87123,90766,61.00,892,15724,48320,23,20,25,0,15,48,0.56,2.40,0.00,363,0.00,1.33,3.33,-0.66,305.83,1189.67,10.23,-77.42,-68.38,0.23,0.27,17729,15193,63.00,160,1198,11077,7,5,2,2,3,13,0.47,1.80,0.00,49,100.00,2.00,4.00,3.60,430.40,1123.90,99.20,-111.20,-23.90,0.21,0.25,62839,113462,45.20,700,16215,47781,23,18,24,8,5,44,0.51,2.61,40.00,3141,20.00,0.60,3.00,-1.98,411.74,2537.80,-54.28,-48.38,59.40,0.21,0.19,15129,34664,1.00,96,15841,10403,2,4,14,3,3,11,0.73,4.00,0.00,682,0.00,1.00,2.00,0.00,333.80,1236.60,-67.70,-49.70,-31.80,0.20,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Kidd Klash",1673,2.35,9.10,7.10,7.60,0,0,3,7,0,60,12, 28, 92, 21, 6, 21,4,6,56, 280152, 213165, 22500, 29.62, 140888,1950.2,0,6374,0,13128,0,191444,136159,58.57,1139,19337,97434,66,47,54,8,15,56,0.58,2.55,71.43,966,14.29,2.57,3.57,0.00,280.29,1716.72,-25.61,16.76,-26.24,0.23,0.28,88708,77006,69.33,517,3163,43454,25,24,22,4,13,36,0.52,1.96,33.33,811,0.00,2.00,3.00,1.90,444.97,1243.33,64.97,48.37,-47.37,0.21,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
