"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Shubh",2.15,7.6,7.2,7.9,7,0,3,0,0,70,11,7,17,1,7,47,64.75,2389.6
"xXSmallPenisXx",3.03,10.10,6.10,8.40,0,0,4,6,0,80,6,22,26,3,6,53,39.85,1981.9
"OpDTichi",2.24,9.30,8.00,8.60,0,1,0,9,0,40,0,11,22,0,6,57,125.57,2177.2
"Dis Lemon",2.66,3.20,4.10,7.70,1,7,1,0,1,60,2,4,9,2,6,48,131.88,1753.5
"Hostage Sausage",1.56,4.40,4.80,3.10,1,9,0,0,0,30,0,4,15,2,1,34,113.63,1714
"Dark Wristband",3.00,4.90,4.80,9.50,0,4,2,1,3,50,30,6,17,4,2,53,125.00,2082.9
"Your True Love",2.25,4.70,5.10,6.80,6,3,1,0,0,70,16,14,18,1,2,40,70.65,1873.9
"KT Rory",2.15,5.30,6.10,7.80,1,2,1,4,2,40,7,10,17,2,1,48,64.30,2113.9
"ONE KICK GUY",3.79,3.20,3.90,11.60,5,0,0,0,5,40,27,6,13,1,6,52,47.63,1923.5
"Good DirecTor",3.11,9.70,5.30,6.80,1,5,3,1,0,40,10,8,16,9,3,64,113.25,1888.3
"SteinsGatelol",4.91,11.10,4.50,11.00,0,1,0,9,0,100,2,15,25,3,7,64,39.27,1865.1
"xIMUDIx",2.50,6.60,6.20,8.90,9,0,0,1,0,70,4,14,19,6,4,52,203.83,2298
"Risdom",1.88,8.50,7.50,5.60,0,3,3,4,0,20,9,5,11,1,5,50,74.55,2177.7
"Lone Assassin",1.29,5.60,10.60,8.10,0,0,2,6,2,20,1,9,12,1,4,54,25.77,1939.9
"phillip ondeez",1.43,4.00,6.00,4.60,1,4,0,5,0,50,18,8,14,5,1,38,46.90,1622.3
"ProxyID",1.38,2.70,3.90,2.70,0,3,2,0,0,20,12,2,7,1,1,47,33.52,1981.4
"unperfected32",2.05,5.20,6.00,7.10,5,5,0,0,0,50,12,12,13,2,3,45,111.73,1729.3
"Jz52019",3.35,4.20,3.40,7.20,0,3,7,0,0,90,15,13,15,6,8,50,60.77,1586
"FunnyMemesTBHFam",2.54,5.10,5.00,7.60,6,1,3,0,0,30,0,12,10,2,4,47,129.77,1967.9
"Twist of Fate",3.14,6.80,4.90,8.60,1,0,7,0,2,60,12,15,17,1,4,57,82.38,1889.8
"UrinatingTurtle",2.82,4.30,3.40,5.30,0,0,0,10,0,50,6,12,12,4,4,46,55.97,1841
"Skankiasaurus",2.91,1.50,4.40,11.30,1,0,0,1,8,60,12,5,18,5,3,52,73.62,1842.3
"DeathByNinjas",1.32,4.90,7.80,5.40,0,2,0,8,0,30,0,11,13,2,2,49,35.82,1758.8
"Rauh W Begriff",1.62,1.60,6.80,9.40,2,2,2,1,3,40,12,2,10,1,3,47,64.90,1776
"H8ED Ace",2.81,6.60,6.20,10.80,3,3,1,0,3,70,9,8,17,5,8,58,79.72,2095.4
"SexyDonnie",1.34,4.90,7.70,5.40,1,0,8,0,1,40,11,11,10,2,3,45,62.23,1857.4
"PharmerT",2.04,4.40,5.30,6.40,10,0,0,0,0,70,18,17,16,3,5,42,51.45,1682.3
"DedChixCantSayNo",2.80,7.50,5.00,6.50,0,5,3,2,0,50,0,9,13,2,2,49,160.90,1919.3
"Greeener",2.94,6.60,4.80,7.50,0,4,3,0,3,40,18,5,19,4,5,52,50.42,1924.7
"TheB1ackninja",4.09,5.80,3.20,7.30,1,0,2,7,0,70,4,17,18,4,4,52,86.52,1988.5
"3LChrist",2.22,6.80,6.50,7.60,0,2,3,5,0,80,5,17,22,4,9,50,57.82,1948.7
"boxlord",2.61,6.00,5.90,9.40,8,1,0,0,1,50,34,10,14,4,4,51,170.42,2082.2
"6666666666",2.53,3.00,5.10,9.90,0,6,1,1,2,40,12,1,11,2,3,56,141.07,1706.6
"Omnipotent Lord",2.00,5.90,6.40,6.90,0,3,3,1,3,30,11,7,16,2,2,51,69.53,1909.7
"Silver Trash Can",2.87,6.30,6.00,10.90,0,3,0,7,0,40,2,20,24,3,6,48,79.03,2276.7
"MagicJelly",3.02,10.90,6.00,7.20,1,2,0,7,0,90,12,31,20,2,4,58,50.65,1948.1
"PlzKillADCFirst",4.41,7.20,3.40,7.80,4,0,2,4,0,70,3,13,13,2,6,62,103.63,1805.6
