"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"xXSmallPenisXx",2.35,8.5,6.5,6.8,0,1,7,2,0,40,4,15,123,5,2,24,4,3,48,221330,207099,35410,2688,129975,1978.2,0,13939,2365,3478,0,37042,32862,62,367,4562,23589,13,13,17,2,1,20,0.51,2.31,50,527,161314,123645,57.86,1311,12286,92585,65,38,40,2,10,89,0.49,0,42.86,1566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22974,50592,7,75,18562,13801,7,14,11,0,4,14,0.4,1.29,0,595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OpDTichi",5.05,10.00,4.30,11.70,2,0,0,5,3,100,15, 20, 118, 14, 5, 20,5,5,57, 261250, 173225, 24476, 77.50, 132421,1833.9,3950,0,0,8877,5512,141820,93626,71.00,884,15977,70858,63,17,51,1,7,45,0.59,6.71,100.00,1871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44325,46807,43.00,344,5729,27402,20,11,29,1,1,24,0.56,4.45,100.00,2122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75105,32792,4.67,120,2770,34161,17,15,37,13,12,49,0.53,3.60,100.00,657,
"Dis Lemon",1.42,4.40,6.60,5.00,4,4,0,0,2,10,3, 21, 156, 5, 2, 8,1,1,47, 168115, 337236, 77385, 99.25, 110057,1989,8374,0,8813,0,2703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93833,151598,60.25,888,43871,50327,19,27,19,0,6,58,0.38,1.41,25.00,2557,67866,157071,2.50,286,27992,49584,24,28,24,3,13,70,0.56,1.71,0.00,2958,6416,28567,9.00,59,5522,10146,1,11,7,0,2,28,0.67,0.73,0.00,440,
"Hostage Sausage",2.23,7.30,6.40,7.00,3,7,0,0,0,50,0, 11, 100, 6, 1, 15,2,4,57, 177687, 310179, 69296, 111.92, 123412,1916.1,6260,0,12901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76732,77733,55.67,751,19240,44847,26,18,20,0,2,34,0.50,2.56,33.33,221,100955,232446,1.57,505,50056,78565,47,46,50,0,9,66,0.61,2.11,57.14,6494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Dark Wristband",2.14,2.80,5.80,9.60,3,3,0,0,4,30,28, 40, 225, 5, 0, 7,1,2,51, 123606, 227922, 39848, 54.27, 107300,1965.6,5954,0,5145,0,8557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51558,80501,65.00,588,10817,35263,12,21,19,7,3,45,0.41,1.48,33.33,315,37151,60204,4.33,232,17463,30859,14,11,22,6,9,66,0.75,3.27,0.00,1921,34897,87217,6.00,153,11568,41178,2,26,55,15,28,114,0.47,2.19,50.00,1020,
"Your True Love",1.90,6.10,8.20,9.50,3,1,6,0,0,40,3, 32, 110, 14, 1, 17,3,5,51, 203457, 302307, 57315, 85.98, 132266,2166.3,6000,12425,3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110525,163305,52.83,1038,9650,73068,31,69,42,0,15,64,0.47,0.00,16.67,837,58636,73307,49.67,504,18512,38879,22,8,36,2,11,39,0.56,7.25,66.67,2834,34296,65695,2.00,111,29153,20319,8,5,17,1,6,7,0.58,5.00,100.00,1488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Shalltear",3.00,6.20,5.20,9.40,3,0,3,4,0,50,8, 17, 143, 10, 3, 20,1,3,48, 234246, 222820, 38319, 160.65, 128662,2065.8,6892,5349,0,8417,0,81710,77746,68.25,904,15919,52506,15,19,40,3,5,56,0.45,2.89,50.00,659,63922,52786,52.67,450,9840,34403,24,13,23,2,2,40,0.54,0.00,66.67,410,88614,92288,50.33,526,12560,41753,23,20,31,3,10,47,0.48,2.70,33.33,8570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ONE KICK GUY",2.86,6.60,4.90,7.40,7,0,2,1,0,30,22, 26, 112, 9, 1, 16,1,6,53, 237256, 271833, 32822, 79.57, 125328,1997,14150,4363,0,1457,0,24070,12867,52.00,118,1830,10895,11,3,9,1,0,5,0.65,6.67,100.00,44,67642,41568,61.00,398,3953,29267,23,14,9,8,4,28,0.52,0.00,50.00,348,145544,217398,61.71,1440,27039,85166,32,32,56,13,22,79,0.51,2.75,14.29,4382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Good DirecTor",3.11,9.70,5.30,6.80,1,5,3,1,0,40,10, 13, 117, 8, 2, 16,9,3,64, 235866, 265400, 93352, 113.25, 141864,1888.3,2157,6300,8648,1778,0,19691,12794,63.00,178,2177,9554,3,6,7,0,0,7,0.63,1.67,0.00,210,66761,75218,73.00,779,14790,47122,23,16,26,2,4,33,0.64,0.00,33.33,2095,21547,38442,72.00,250,8563,13850,7,9,5,2,2,12,0.46,1.33,0.00,120,127867,138946,8.40,436,67822,71338,64,22,30,6,7,65,0.69,4.27,60.00,4370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SteinsGatelol",1.94,3.70,4.90,5.80,5,1,0,3,1,60,7, 13, 99, 8, 4, 10,1,3,43, 144511, 188223, 30724, 63.20, 93186,1561.8,7459,0,1436,5469,1254,72794,57457,61.33,463,8464,35862,22,18,21,0,4,32,0.51,2.39,66.67,586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62355,92997,66.40,796,17593,45804,12,17,29,4,5,43,0.34,2.41,80.00,2646,5888,21764,4.00,49,4109,6918,2,6,5,3,0,12,0.70,1.17,0.00,501,3474,16005,10.00,15,558,4602,1,8,3,0,4,12,0.57,0.50,0.00,59,
