"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"xXSmallPenisXx",1151,3,8.3,5.7,8.8,4,0,3,3,0,50,3,11,121,11,1,21,5,6,50,236317,256013,36900,2364,137916,1971.8,8025,6365,0,5328,0,64599,54686,57,562,8845,38563,27,14,26,1,5,32,0.59,3.79,66.67,546,33.33,2,4.67,0.28,346.2,1737.5,-18.05,83.58,120.03,0.22,0.27,68748,54657,62,662,5363,40252,16,20,17,0,5,42,0.4,1.65,33.33,546,0,2,2.33,0.47,403.57,1330.07,-23.87,-73.37,49.17,0.21,0.21,102970,146670,57.25,811,22692,59101,40,23,45,2,1,47,0.5,3.7,50,1272,0,2.75,3.25,0.85,432.38,1880.27,15.73,50.53,93.2,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"OpDTichi",1236,2.97,5.00,6.10,13.10,0,1,0,0,9,60,22, 42, 181, 7, 3, 20,3,6,64, 175559, 203586, 37597, 44.08, 112374,1927.2,0,0,1902,0,17370,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17068,27309,8.00,59,12586,10196,6,10,4,1,11,16,0.71,1.00,0.00,314,0.00,2.00,4.00,0.80,356.00,1148.60,-3.50,-43.90,-127.40,0.21,0.37,158491,176277,9.56,440,25011,102178,44,51,127,21,31,165,0.63,3.35,66.67,2331,33.33,1.33,2.22,1.05,298.02,1285.20,48.15,61.78,52.86,0.19,0.20,
"Dis Lemon",1255,2.53,2.80,6.00,12.40,1,3,0,0,6,50,5, 56, 227, 4, 1, 19,1,7,51, 140271, 285710, 52012, 117.00, 122133,2216.4,1906,0,7168,0,13090,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11348,39636,40.00,181,14418,9644,1,2,3,0,0,11,0.22,2.00,0.00,387,0.00,0.00,0.00,-3.20,377.70,1338.50,-77.10,-105.10,49.10,0.19,0.17,48709,117876,3.67,250,20339,42406,19,20,27,4,16,54,0.54,2.30,33.33,4478,0.00,1.00,3.00,0.17,279.97,1212.57,-60.60,-30.53,-24.40,0.20,0.14,80214,128198,7.50,326,17255,70083,8,38,94,1,40,162,0.52,2.68,66.67,2155,0.00,0.00,0.00,-0.18,285.48,1127.46,8.17,-29.24,7.84,0.17,0.12,
"Hostage Sausage",1100,2.13,9.00,7.80,7.60,8,2,0,0,0,50,1, 16, 104, 11, 3, 14,3,4,47, 257497, 308194, 78142, 90.28, 134386,2090.4,16334,0,4570,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201924,221445,61.75,1404,29729,104964,69,67,47,0,8,74,0.41,1.73,50.00,3220,0.00,2.13,3.50,1.16,444.96,1365.48,56.55,-68.47,-22.20,0.21,0.23,55573,86749,2.50,176,48413,29422,21,11,29,1,8,30,0.68,4.55,50.00,2197,0.00,3.50,3.50,-0.10,320.15,1243.25,24.00,29.30,119.85,0.20,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Dark Wristband",1342,2.70,4.50,5.70,10.90,1,2,1,1,5,20,31, 57, 263, 2, 0, 11,3,5,52, 147052, 249638, 43342, 57.02, 122160,2142.8,1615,2111,3085,2526,12091,39400,30573,72.00,246,2640,16753,12,9,11,1,7,17,0.68,2.56,0.00,339,0.00,3.00,6.00,0.90,302.70,1159.70,-9.55,-105.35,-58.40,0.23,0.23,24563,17001,74.00,249,950,16371,11,6,11,1,5,14,0.47,3.67,100.00,542,0.00,2.00,5.00,1.60,430.90,1491.60,66.60,17.30,83.10,0.22,0.16,14065,24700,62.00,189,6074,10578,5,4,2,3,1,13,0.33,1.75,0.00,75,0.00,2.00,2.00,0.90,448.50,0,31.60,-49.50,0,0.22,0.22,19877,32551,0.50,148,10313,17517,5,6,13,4,3,40,0.75,3.00,0.00,1337,0.00,0.50,1.00,-0.30,316.20,2334.20,-41.95,-4.90,2.80,0.21,0.20,49147,144813,9.80,260,23365,60941,12,32,72,22,41,179,0.50,2.63,20.00,1128,0.00,0.20,0.60,0.43,269.16,931.88,28.15,-10.37,-34.56,0.16,0.08,
"Your True Love",1475,1.90,6.10,8.20,9.50,3,1,6,0,0,40,3, 32, 110, 14, 1, 17,3,5,51, 203457, 302307, 57315, 85.98, 132266,2166.3,6000,12425,3238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110525,163305,52.83,1038,9650,73068,31,69,42,0,15,64,0.47,1.06,16.67,837,0.00,0.83,1.17,-0.55,369.80,1563.80,-66.42,-85.04,15.28,0.20,0.20,58636,73307,49.67,504,18512,38879,22,8,36,2,11,39,0.56,7.25,66.67,2834,0.00,2.33,4.00,-0.63,442.87,1859.70,1.03,97.40,51.10,0.20,0.21,34296,65695,2.00,111,29153,20319,8,5,17,1,6,7,0.58,5.00,100.00,1488,0.00,3.00,2.00,0.10,312.70,1393.70,37.00,134.10,233.70,0.21,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Shalltear",1057,2.71,6.50,5.50,8.40,7,0,2,1,0,60,9, 19, 154, 10, 2, 23,1,7,52, 244555, 245723, 40583, 184.98, 131465,2095.8,14739,3770,0,2449,0,27468,26091,60.00,225,3353,15312,3,10,8,1,2,17,0.33,1.10,100.00,0,0.00,1.00,2.00,0.30,274.60,1012.80,0.95,-47.75,60.15,0.19,0.18,47832,43464,47.50,292,12263,23958,17,6,11,2,2,29,0.54,4.67,50.00,767,50.00,1.50,6.00,-1.40,438.15,2402.50,20.70,34.45,17.40,0.21,0.28,169255,176168,45.43,1271,24967,92195,45,39,65,6,15,108,0.54,2.82,57.14,10332,0.00,1.71,3.00,0.30,401.36,1682.78,11.86,-77.90,-19.30,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ONE KICK GUY",1226,2.86,6.60,4.90,7.40,7,0,2,1,0,30,22, 26, 112, 9, 1, 16,1,6,53, 237256, 271833, 32822, 79.57, 125328,1997,14150,4363,0,1457,0,24070,12867,52.00,118,1830,10895,11,3,9,1,0,5,0.65,6.67,100.00,44,100.00,2.00,7.00,0.43,295.30,0,25.65,117.55,0,0.22,0.27,67642,41568,61.00,398,3953,29267,23,14,9,8,4,28,0.52,2.29,50.00,348,0.00,2.50,5.00,-0.65,457.25,1393.80,-10.05,72.00,66.55,0.22,0.29,145544,217398,61.71,1440,27039,85166,32,32,56,13,22,79,0.51,2.75,14.29,4382,0.00,1.00,2.86,0.43,429.93,2905.37,-9.37,27.16,141.87,0.21,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Good DirecTor",1215,3.32,9.10,4.70,6.50,0,5,3,2,0,40,8, 13, 112, 8, 2, 15,8,3,66, 221592, 236450, 86523, 111.25, 135814,1795.7,0,6300,8648,3009,0,26964,22286,70.50,356,3911,17354,4,9,9,0,2,14,0.57,1.44,0.00,210,0.00,0.50,1.00,0.00,265.95,0,-55.30,-12.20,0,0.23,0.27,66761,75218,73.00,779,14790,47122,23,16,26,2,4,33,0.64,3.06,33.33,2095,0.00,1.67,4.33,1.53,431.73,1898.65,7.87,113.83,-116.15,0.25,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,127867,138946,8.40,436,67822,71338,64,22,30,6,7,65,0.69,4.27,60.00,4370,40.00,2.80,6.40,0.26,374.70,2935.10,9.46,88.86,-30.35,0.25,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SteinsGatelol",1590,1.94,3.70,4.90,5.80,5,1,0,3,1,60,7, 13, 99, 8, 4, 10,1,3,43, 144511, 188223, 30724, 63.20, 93186,1561.8,7459,0,1436,5469,1254,72794,57457,61.33,463,8464,35862,22,18,21,0,4,32,0.51,2.39,66.67,586,33.33,1.67,3.33,-0.06,283.17,1523.25,-18.82,-63.12,122.25,0.21,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62355,92997,66.40,796,17593,45804,12,17,29,4,5,43,0.34,2.41,80.00,2646,20.00,0.60,1.60,-0.18,445.52,0,2.34,0.42,0,0.19,0.21,5888,21764,4.00,49,4109,6918,2,6,5,3,0,12,0.70,1.17,0.00,501,0.00,0.00,0.00,-0.60,288.20,0,-42.20,-41.60,0,0.20,0.12,3474,16005,10.00,15,558,4602,1,8,3,0,4,12,0.57,0.50,0.00,59,0.00,0.00,0.00,0.05,285.50,0,9.75,-221.50,0,0.16,0.11,
"xIMUDIx",1374,2.11,3.90,5.70,8.10,2,0,2,0,6,60,3, 24, 137, 11, 2, 17,7,5,47, 146645, 145845, 17085, 37.83, 104956,1714.8,2471,3502,0,0,11175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35727,26522,50.00,271,2202,22787,18,12,11,1,1,25,0.46,2.42,50.00,116,0.00,2.50,3.00,-2.25,375.80,0,-65.60,-172.60,0,0.20,0.21,16447,19158,57.50,286,918,13782,4,7,1,1,2,13,0.33,0.71,0.00,216,0.00,0.00,0.00,0.25,429.85,0,67.70,-114.65,0,0.23,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94471,100165,7.67,390,13965,68387,17,38,69,1,21,99,0.49,2.26,83.33,1938,16.67,0.67,1.50,-0.22,272.27,1322.25,-1.16,39.49,-70.32,0.18,0.18,
