"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"FascistMoose",2.53,6.4,5.7,8,1,3,6,0,0,50,0,7,13,3,3,53,54.98
"ADmid is god",3.65,2.50,3.40,9.90,1,0,1,0,8,60,7,2,9,1,4,51,44.48
"lnsinuate",3.40,6.90,5.20,10.80,0,2,0,7,1,80,9,16,22,3,8,52,67.72
"Mazerus",2.70,6.50,5.70,8.90,2,0,2,6,0,60,10,17,17,4,5,49,66.58
"Damn Devin",1.89,8.90,8.40,7.00,1,3,1,3,2,60,3,15,16,4,2,56,106.00
"Rootarete",3.04,2.00,4.90,12.90,0,1,0,1,8,30,28,5,18,3,4,63,93.93
"Vichiina",3.33,6.30,4.00,7.00,7,3,0,0,0,60,6,10,9,2,4,57,47.12
"Zcuz",2.44,5.50,5.90,8.90,5,3,1,0,1,20,6,9,13,2,4,50,115.92
"Nuking",2.74,8.40,5.80,7.50,2,2,1,5,0,60,14,14,22,7,3,59,97.50
"Hadok3n",4.35,8.00,4.30,10.70,1,0,2,7,0,70,0,15,25,2,5,59,111.35
"Riven Jenner",2.28,8.50,6.70,6.80,0,1,1,8,0,50,2,13,11,2,6,58,66.22
"Nambo Clears",2.54,3.80,4.60,7.90,3,2,1,2,2,40,18,4,15,0,7,48,67.42
"YouJustGotRaked",1.85,4.90,8.10,10.10,1,0,4,2,3,50,13,7,19,4,4,54,89.63
"Vyvy",2.21,6.60,6.70,8.20,0,5,1,2,2,40,13,11,17,0,3,52,181.35
"ryutheilliterate",2.70,4.20,6.40,13.10,2,0,1,3,4,80,12,15,20,0,8,53,30.97
"Big Champs",2.42,2.60,6.70,13.60,0,0,0,2,8,60,0,5,23,1,4,54,21.13
"EDG AIpaca",2.63,7.20,5.60,7.50,0,0,0,10,0,50,0,12,14,4,4,55,63.52
"Sergioislord",1.98,5.90,5.40,4.80,4,1,5,0,0,30,3,6,12,2,5,41,45.40
"BEGlNNERS LUCK",2.28,5.60,6.70,9.70,0,8,2,0,0,50,36,8,22,2,1,52,61.62
"BrunoMa",2.31,10.80,7.80,7.20,7,2,0,1,0,50,18,14,16,4,3,53,118.20
"OrangeChickenss",2.59,6.00,6.40,10.60,6,0,4,0,0,70,11,7,15,2,5,50,86.03
"BeastoftheYear",1.65,5.20,6.50,5.50,5,1,4,0,0,50,8,4,16,7,3,44,94.83
"Splure",2.40,8.90,6.70,7.20,0,1,9,0,0,50,2,12,15,2,5,56,39.22
"LeviathanDuo",2.17,3.30,4.00,5.40,0,6,0,4,0,40,4,4,9,1,1,54,88.58
"lm a weeaboo",2.19,8.90,7.00,6.40,0,0,2,8,0,30,3,10,13,1,4,50,41.95
"GrAvEyArD gLiCh",3.00,10.00,7.10,11.30,0,0,2,7,1,30,2,7,17,2,2,64,170.95
"Call Me Noona",4.38,8.30,4.00,9.20,0,0,1,9,0,70,0,18,12,0,3,55,50.47
"Xiaobaichai",2.80,8.80,7.60,12.50,1,1,8,0,0,50,27,7,16,0,10,63,100.57
"KpuC",2.48,5.90,6.20,9.50,1,7,0,0,2,50,10,12,22,1,9,52,116.93
"DuckDuckis",1.73,5.90,8.20,8.30,1,3,6,0,0,50,28,5,17,0,1,48,120.80
"Shadrolics",2.75,2.00,5.90,14.20,0,0,2,0,8,50,24,3,15,1,6,58,69.47
"Khoozie",2.21,3.40,3.90,5.20,3,0,3,3,1,50,2,6,8,1,2,41,57.80
"STARCALNOO",2.89,2.10,4.60,11.20,0,3,0,0,7,50,37,5,15,1,1,55,25.00
"Tristarn",4.15,9.90,4.10,7.10,5,0,5,0,0,60,4,11,19,3,8,49,82.38
