"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"FascistMoose",2.12,4.4,6,8.3,0,0,3,3,4,40,2,10,15,0,3,43,37.72,2095.2
"ADmid is god",3.65,2.50,3.40,9.90,1,0,1,0,8,60,7,2,9,1,4,51,44.48,1696.1
"lnsinuate",2.19,3.70,6.20,9.90,3,1,3,1,2,50,8,6,15,1,5,52,86.02,1922.5
"Mazerus",2.51,6.00,5.30,7.30,0,0,1,9,0,50,4,13,19,2,5,46,31.88,1963.4
"Damn Devin",1.83,8.40,7.70,5.70,3,3,1,2,1,30,0,5,13,2,1,59,159.43,1706.3
"Rootarete",3.04,2.00,4.90,12.90,0,1,0,1,8,30,28,5,18,3,4,63,93.93,1949.2
"Vichiina",3.33,6.30,4.00,7.00,7,3,0,0,0,60,6,10,9,2,4,57,47.12,1731.4
"Zcuz",3.53,4.60,3.60,8.10,7,0,0,3,0,50,10,15,14,0,2,53,68.45,1831.4
"Nuking",3.08,7.30,5.00,8.10,1,2,1,2,4,60,22,11,13,4,1,55,68.10,1645.8
"Hadok3n",5.69,10.50,3.60,10.00,0,0,0,10,0,80,0,17,26,0,8,57,155.07,2330.5
"Riven Jenner",2.39,7.20,6.20,7.60,1,3,2,4,0,40,4,3,14,3,3,56,73.23,1817.8
"Nambo Clears",4.31,4.30,2.60,6.90,1,3,3,3,0,30,13,10,11,2,1,47,107.20,1956.7
"YouJustGotRaked",2.25,7.70,7.10,8.30,4,2,1,2,1,50,14,13,19,4,3,54,76.15,2092.9
"Vyvy",3.20,8.60,5.50,9.00,3,0,0,7,0,70,8,30,21,2,5,57,73.80,1920
"ryutheilliterate",2.65,1.90,5.40,12.40,1,0,1,0,8,40,16,3,16,1,4,55,29.32,1921.7
"Big Champs",2.47,2.00,6.60,14.30,0,0,0,3,7,60,1,6,26,1,7,53,20.42,2282.7
"EDG AIpaca",2.63,7.20,5.60,7.50,0,0,0,10,0,50,0,12,14,4,4,55,63.52,1925
"Sergioislord",3.16,6.90,4.90,8.60,2,8,0,0,0,60,9,14,17,0,7,53,72.42,1924.3
"I Started That",1.68,4.20,7.50,8.40,0,7,3,0,0,40,36,5,7,3,3,47,36.45,1917.1
"OrangeChickenss",2.00,9.00,7.50,6.00,1,0,0,9,0,30,16,13,10,4,4,61,67.93,1694.8
"BeastoftheYear",1.65,5.20,6.50,5.50,5,1,4,0,0,50,8,4,16,7,3,44,94.83,1727.2
"Splure",2.40,8.90,6.70,7.20,0,1,9,0,0,50,2,12,15,2,5,56,39.22,1966.7
"LeviathanDuo",2.47,5.90,5.70,8.20,0,7,0,3,0,40,8,9,10,2,4,55,106.70,1920.6
"lm a weeaboo",2.12,6.00,5.70,6.10,0,2,3,5,0,40,7,14,16,1,2,47,41.63,1918.8
"WeReWoLf LiCh",2.40,7.50,8.10,11.90,1,2,7,0,0,90,3,11,21,1,8,56,82.73,2117.2
"Call Me Noona",3.61,9.40,5.10,9.00,0,0,2,8,0,70,0,13,15,5,7,61,29.65,1923.4
"Xiaobaichai",2.01,6.70,7.20,7.80,0,3,3,4,0,40,25,9,13,3,6,58,102.25,2120
"KpuC",2.48,5.90,6.20,9.50,1,7,0,0,2,50,10,12,22,1,9,52,116.93,2091
"DuckDuckis",1.73,5.90,8.20,8.30,1,3,6,0,0,50,28,5,17,0,1,48,120.80,1931.3
"Shadrolics",3.51,1.40,4.50,14.40,0,0,1,0,9,70,26,6,18,3,4,57,69.23,1724.2
"Khoozie",2.63,4.50,4.60,7.60,2,0,1,5,2,50,1,7,7,1,2,48,66.87,1777.6
"STARCALNOO",2.89,2.10,4.60,11.20,0,3,0,0,7,50,37,5,15,1,1,55,25.00,1866.6
"Tristarn",3.78,7.30,3.70,6.70,5,0,3,1,1,40,3,9,13,2,5,50,64.33,1991.6
