"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"FascistMoose",3.39,6.6,4.1,7.3,0,1,4,3,2,60,3,20,125,12,5,18,2,3,49,213182,144110,28831,909,113639,1865.5,0,7520,1605,5974,3556,77324,49372,65.67,664,7797,90192,60508,53.5,539,6562,0,0,0,0,0,20784,10519,33,0,893,24882,23711,4,45,13579
"ADmid is god",2.05,4.80,6.20,7.90,1,5,1,1,2,40,10, 45, 145, 2, 1, 16,3,5,46, 153097, 263441, 70897, 89.12, 114039,2037,1495,2048,10816,1950,4061,25290,14851,56.00,206,2205,28316,24775,59.00,128,1065,8436,22058,46.00,104,2357,77840,164657,2.20,467,60366,13215,37100,14.00,70,4904
"lnsinuate",2.21,5.90,5.30,5.80,3,0,4,3,0,30,3, 13, 88, 5, 0, 18,2,2,46, 181828, 201077, 54900, 45.65, 116836,1870.5,5539,7702,0,5464,0,42904,52001,53.67,580,9443,73935,57231,44.50,657,3947,64989,91845,64.33,611,41510,0,0,0,0,0,0,0,0,0,0
"Mazerus",2.98,7.30,5.50,9.10,0,0,3,7,0,60,0, 31, 118, 18, 6, 23,5,4,55, 248585, 175271, 29777, 164.83, 128676,2009.2,0,5399,0,14693,0,183239,131398,64.29,1357,22942,65346,43873,58.33,370,6835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Damn Devin",2.14,9.00,9.10,10.50,0,5,1,2,2,60,2, 25, 114, 15, 3, 25,4,5,60, 235797, 328579, 97639, 167.95, 142963,2094.3,0,2950,9402,4565,4026,66756,54146,57.50,442,5718,32732,51747,49.00,237,1549,0,0,0,0,0,106453,168006,3.00,408,62966,29856,54680,10.50,90,27406
"Rootarete",3.61,1.90,4.40,14.00,0,1,0,0,9,30,34, 39, 196, 3, 1, 18,6,4,60, 76134, 214536, 112469, 70.23, 93965,1970.8,0,0,1679,0,18029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12874,17483,3.00,70,5514,63260,197053,6.44,273,106955
"Vichiina",3.33,6.30,4.00,7.00,7,3,0,0,0,60,6, 68, 101, 10, 3, 9,2,4,57, 188202, 183439, 44733, 47.12, 102118,1731.4,12034,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,158070,110739,55.71,847,11053,30132,72700,0.33,188,33680,0,0,0,0,0
"Zcuz",2.20,4.30,5.40,7.60,3,7,0,0,0,40,8, 37, 70, 7, 0, 11,1,3,57, 136787, 267548, 81144, 93.98, 108497,1815.7,5010,0,13147,0,0,0,0,0,0,0,0,0,0,0,0,41172,63290,55.67,451,8530,95615,204258,5.57,601,72614,0,0,0,0,0
"Nuking",2.34,6.30,6.50,8.90,4,1,0,3,2,70,18, 59, 138, 18, 2, 22,5,9,50, 172202, 286095, 88784, 113.50, 133434,2040.7,8655,0,2752,5313,3687,64951,49930,62.67,496,7323,0,0,0,0,0,73746,151363,55.75,890,51736,14098,54843,5.00,82,26376,19407,29959,5.00,89,3349
"Hadok3n",3.49,6.10,4.50,9.60,1,0,0,9,0,70,0, 32, 98, 16, 2, 25,2,4,57, 239833, 167695, 29717, 86.18, 127691,2030.4,2063,0,0,18241,0,220525,150339,62.89,1722,27925,0,0,0,0,0,19308,17356,63.00,154,1792,0,0,0,0,0,0,0,0,0,0
