"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"FascistMoose",3.05,5.6,4.1,6.9,0,1,3,3,3,60,5,14,136,17,5,16,3,4,50,182250,139535,28153,910,106139,1783.1,0,5004,1605,5974,5248,77324,49372,65.67,664,7797,38396,20,12,13,0,7,36,0.49,2.75,66.67,636,57469,37335,54.67,382,4380,32360,19,8,22,0,1,30,0.48,0,100,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20784,10519,33,0,893,9746,9,3,9,0,3,10,0.75,6,0,0,26673,42309,7.33,98,15083,25637,8,18,25,5,3,60,0.44,1.83,33.33,188
"ADmid is god",2.05,4.80,6.20,7.90,1,5,1,1,2,40,10, 45, 145, 2, 1, 16,3,5,46, 153097, 263441, 70897, 89.12, 114039,2037,1495,2048,10816,1950,4061,25290,14851,56.00,206,2205,10684,2,4,9,2,3,12,0.58,2.75,0.00,742,28316,24775,59.00,128,1065,13032,12,11,9,3,4,9,0.58,0.00,100.00,141,8436,22058,46.00,104,2357,7263,3,8,4,0,0,9,0.39,0.88,0.00,71,77840,164657,2.20,467,60366,64972,28,29,35,4,26,63,0.43,2.17,40.00,3475,13215,37100,14.00,70,4904,18088,3,10,22,1,12,52,0.45,2.50,50.00,918,
"lnsinuate",2.21,5.90,5.30,5.80,3,0,4,3,0,30,3, 13, 88, 5, 0, 18,2,2,46, 181828, 201077, 54900, 45.65, 116836,1870.5,5539,7702,0,5464,0,42904,52001,53.67,580,9443,34779,14,13,19,1,4,23,0.45,2.54,66.67,2082,73935,57231,44.50,657,3947,45929,26,20,23,2,7,39,0.48,0.00,0.00,397,64989,91845,64.33,611,41510,36128,19,20,16,0,2,26,0.45,1.75,33.33,260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mazerus",2.98,7.30,5.50,9.10,0,0,3,7,0,60,0, 31, 118, 18, 6, 23,5,4,55, 248585, 175271, 29777, 164.83, 128676,2009.2,0,5399,0,14693,0,183239,131398,64.29,1357,22942,94411,49,46,70,0,29,85,0.60,2.59,42.86,8333,65346,43873,58.33,370,6835,34265,24,9,21,0,2,33,0.45,0.00,100.00,1557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Damn Devin",2.17,8.50,10.20,13.60,1,2,1,4,2,40,2, 20, 106, 14, 3, 20,2,4,65, 265371, 312463, 70695, 154.67, 140907,2132.9,1451,2950,4344,8558,4026,133465,100701,33.75,636,10041,58421,42,43,48,0,10,46,0.66,2.09,25.00,5026,32732,51747,49.00,237,1549,17941,7,15,19,0,5,10,0.58,0.00,0.00,185,20318,23342,39.00,108,6286,9410,6,11,8,0,1,4,0.78,1.27,0.00,42,49000,81993,2.50,166,25413,28946,17,23,20,0,4,28,0.59,1.61,50.00,1376,29856,54680,10.50,90,27406,26189,13,10,41,2,0,18,0.71,5.40,100.00,2651,
"Rootarete",3.61,1.90,4.40,14.00,0,1,0,0,9,30,34, 39, 196, 3, 1, 18,6,4,60, 76134, 214536, 112469, 70.23, 93965,1970.8,0,0,1679,0,18029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12874,17483,3.00,70,5514,11245,10,1,7,2,4,4,0.63,17.00,100.00,448,63260,197053,6.44,273,106955,82720,9,43,133,32,35,192,0.60,3.30,22.22,3766,
"Vichiina",3.33,6.30,4.00,7.00,7,3,0,0,0,60,6, 68, 101, 10, 3, 9,2,4,57, 188202, 183439, 44733, 47.12, 102118,1731.4,12034,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158070,110739,55.71,847,11053,73502,53,30,46,3,59,65,0.54,3.30,71.43,1302,30132,72700,0.33,188,33680,28616,10,10,24,3,9,36,0.68,3.40,33.33,1525,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Zcuz",2.62,4.20,4.70,8.10,6,3,0,1,0,60,7, 17, 68, 8, 0, 14,1,7,51, 150308, 232937, 48796, 111.85, 112445,1828.3,10532,0,5307,2444,0,21588,19772,53.00,207,4688,12477,1,5,6,0,2,4,0.39,1.40,0.00,1012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82895,128820,60.33,1059,12850,67126,26,31,56,5,9,41,0.49,2.65,83.33,3784,45825,84345,5.00,236,31258,32842,15,11,19,2,6,23,0.60,3.09,33.33,1915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Nuking",2.34,6.30,6.50,8.90,4,1,0,3,2,70,18, 59, 138, 18, 2, 22,5,9,50, 172202, 286095, 88784, 113.50, 133434,2040.7,8655,0,2752,5313,3687,64951,49930,62.67,496,7323,38676,31,22,21,5,10,39,0.55,2.36,66.67,680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73746,151363,55.75,890,51736,59427,24,28,33,7,30,42,0.48,2.04,75.00,2607,14098,54843,5.00,82,26376,14944,2,5,21,2,9,21,0.53,4.60,0.00,2915,19407,29959,5.00,89,3349,20387,6,10,14,4,10,36,0.40,2.00,100.00,608,
"Hadok3n",3.38,5.90,4.50,9.30,0,0,0,10,0,60,0, 35, 93, 14, 2, 22,2,3,58, 233271, 165399, 29844, 91.03, 124606,1989.1,0,0,0,19891,0,233271,165399,63.40,1881,29844,124606,59,45,93,0,35,93,0.58,3.38,60.00,5462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
