"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"FascistMoose",1621,1.9,4.4,6.2,7.4,0,0,4,4,2,50,0,15,119,11,0,15,3,3,44,204363,194166,35310,5715,112298,1988,0,8166,0,7915,3799,98159,79832,59.5,711,11988,48634,22,19,33,0,4,43,0.44,2.89,75,948,0,1,3,0,288.8,1004.02,12.6,-4.36,-34.81,0.2,0.22,79746,88102,65.75,729,14262,45982,18,32,21,0,10,44,0.44,1.22,25,4386,25,1,1.75,0.6,429.3,1369.57,-17.9,-137.88,-108.17,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26458,26232,2,19,9060,17682,4,11,20,0,1,32,0.43,2.18,50,381,0,0.5,1,0.25,317.8,1446,17.82,-3.85,-15.75,0.15,0.12
"ADmid is god",1100,2.00,5.70,6.30,6.90,1,6,2,1,0,30,11, 39, 117, 2, 1, 16,2,4,47, 170887, 276177, 76044, 98.12, 116774,2023,1495,4051,12734,1950,0,25290,14851,56.00,206,2205,10684,2,4,9,2,3,12,0.58,2.75,0.00,742,0.00,1.00,2.00,0.60,249.40,1015.30,5.05,84.75,-115.10,0.20,0.27,48459,48964,53.00,272,5302,24320,19,15,18,4,8,21,0.60,2.47,50.00,963,0.00,2.50,4.00,1.60,419.25,1251.10,78.45,29.70,71.35,0.20,0.24,8436,22058,46.00,104,2357,7263,3,8,4,0,0,9,0.39,0.88,0.00,71,0.00,1.00,2.00,0.60,286.60,0,-115.70,-28.70,0,0.19,0.22,88702,190304,2.33,532,66180,74507,33,36,38,5,28,75,0.42,1.97,33.33,4111,16.67,1.50,1.83,-0.27,299.58,1656.75,-60.07,-85.67,-85.97,0.20,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"lnsinuate",1165,2.13,5.80,4.80,4.40,4,1,3,2,0,30,0, 15, 76, 3, 0, 15,2,1,44, 172442, 207616, 61424, 46.10, 107300,1739.2,6835,5373,2052,3132,0,27614,31433,56.50,311,6266,18660,5,9,12,0,3,13,0.40,1.89,50.00,1601,0.00,1.00,2.50,0.21,283.20,1980.10,-5.72,51.95,94.75,0.21,0.22,47559,34830,39.33,401,2208,31040,19,13,13,0,5,27,0.48,2.46,0.00,229,33.33,0.67,3.00,0.67,289.10,2340.70,-3.00,-8.07,92.50,0.21,0.23,73521,106054,64.50,729,42715,42102,20,23,17,0,3,31,0.45,1.61,25.00,324,25.00,1.00,2.75,0.42,429.90,4181.10,-8.43,68.92,9.00,0.21,0.24,23748,35299,0.00,120,10235,15498,14,3,2,0,4,5,0.40,5.33,100.00,612,0.00,2.00,10.00,-0.40,347.70,1583.40,49.30,31.10,266.90,0.22,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mazerus",1283,3.02,7.20,4.90,7.60,0,0,2,8,0,60,0, 27, 108, 17, 5, 21,3,4,52, 231343, 158942, 30236, 121.68, 120353,1827.2,0,3045,0,15227,0,198085,132522,62.50,1434,25199,99677,55,45,69,0,25,89,0.56,2.76,50.00,6836,12.50,1.63,3.25,0.00,297.11,2256.03,2.04,-43.45,-28.45,0.21,0.26,33258,26420,61.00,250,5037,20676,17,4,7,0,2,19,0.37,6.00,100.00,465,0.00,2.00,5.00,1.05,420.20,2351.40,9.25,142.75,265.00,0.19,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Damn Devin",1341,2.24,8.40,7.80,9.10,0,3,1,6,0,70,0, 17, 105, 25, 3, 20,2,7,53, 258542, 274304, 52384, 216.45, 147599,1996.6,0,2491,6902,10573,0,147036,118995,60.83,1099,22843,81786,53,45,41,0,6,53,0.49,2.09,66.67,6687,0.00,2.33,3.00,0.00,295.45,3010.70,21.77,45.53,179.45,0.23,0.27,36943,38064,58.00,193,3547,13751,6,12,7,0,0,11,0.50,1.08,0.00,2323,0.00,2.00,2.00,0.90,430.60,1125.30,-25.10,-24.30,-37.90,0.21,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74563,117245,5.00,278,25994,52062,25,21,43,0,11,41,0.59,3.24,100.00,3977,0.00,2.00,3.33,0.13,333.13,1844.45,31.57,133.13,129.60,0.22,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Vichiina",1100,3.33,6.30,4.00,7.00,7,3,0,0,0,60,6, 68, 101, 10, 3, 9,2,4,57, 188202, 183439, 44733, 47.12, 102118,1731.4,12034,0,5280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158070,110739,55.71,847,11053,73502,53,30,46,3,59,65,0.54,3.30,71.43,1302,0.00,1.71,3.71,0.47,449.80,2404.17,46.71,22.73,51.23,0.20,0.30,30132,72700,0.33,188,33680,28616,10,10,24,3,9,36,0.68,3.40,33.33,1525,33.33,0.33,0.67,-0.67,300.10,2490.10,-65.47,-192.00,149.40,0.19,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rootarete",1144,3.61,1.90,4.40,14.00,0,1,0,0,9,30,34, 39, 196, 3, 1, 18,6,4,60, 76134, 214536, 112469, 70.23, 93965,1970.8,0,0,1679,0,18029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12874,17483,3.00,70,5514,11245,10,1,7,2,4,4,0.63,17.00,100.00,448,100.00,2.00,7.00,0.20,365.80,0,117.00,-80.00,0,0.21,0.14,63260,197053,6.44,273,106955,82720,9,43,133,32,35,192,0.60,3.30,22.22,3766,0.00,0.33,0.44,0.29,266.56,1221.80,-0.81,-31.45,11.80,0.15,0.08,
"Nuking",1500,2.38,6.90,6.80,9.30,4,1,1,2,2,70,19, 57, 137, 18, 2, 23,5,9,50, 190921, 297973, 90546, 139.75, 141485,2121.2,8655,2274,2752,3844,3687,54192,36885,58.00,337,6077,30072,27,16,16,3,6,27,0.53,2.69,100.00,584,0.00,4.00,4.00,-0.49,350.75,2095.60,-12.10,-7.93,19.30,0.23,0.26,29478,24923,58.00,275,3008,16655,10,9,9,3,2,11,0.56,2.11,0.00,1671,100.00,2.00,3.00,1.40,425.20,1505.60,62.70,209.10,-8.20,0.24,0.27,73746,151363,55.75,890,51736,59427,24,28,33,7,30,42,0.48,2.04,75.00,2607,0.00,1.25,4.00,-0.98,396.08,1829.30,-53.60,193.45,-125.77,0.21,0.17,14098,54843,5.00,82,26376,14944,2,5,21,2,9,21,0.53,4.60,0.00,2915,0.00,0.00,0.00,0.40,351.80,1256.00,22.10,-210.50,-106.80,0.17,0.11,19407,29959,5.00,89,3349,20387,6,10,14,4,10,36,0.40,2.00,100.00,608,0.00,0.50,1.50,0.25,263.00,1592.30,6.02,4.43,127.15,0.17,0.12,
"Zcuz",1538,3.32,4.00,3.80,8.60,3,5,2,0,0,50,8, 13, 62, 13, 4, 15,5,4,48, 173211, 232478, 67036, 118.47, 123640,1936.7,5362,4211,9794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33339,33277,67.00,418,1660,24231,2,10,18,2,2,15,0.48,2.00,50.00,1737,0.00,0.00,0.00,0.15,428.60,1255.85,5.65,17.90,10.10,0.20,0.20,50907,65001,47.67,519,15871,34550,14,8,29,4,3,10,0.51,5.38,66.67,2052,33.33,1.00,4.00,-1.23,352.67,2984.20,-53.93,69.10,-51.50,0.21,0.21,88965,134200,6.60,451,49505,64859,24,20,39,2,8,37,0.45,3.15,40.00,3319,0.00,1.20,2.20,0.40,350.26,1969.40,19.88,30.86,84.00,0.22,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Riven Jenner",1300,2.79,7.70,5.20,6.80,1,0,3,6,0,60,7, 16, 98, 15, 2, 19,3,7,48, 202596, 222710, 51029, 58.30, 127871,1873.6,1288,6010,0,11438,0,123321,136260,61.50,1078,27172,76889,37,32,38,2,8,54,0.43,2.34,50.00,1966,0.00,1.67,2.50,-0.28,301.78,2032.23,-8.68,27.91,34.40,0.22,0.21,71852,75329,59.33,488,23857,42923,36,18,26,4,8,35,0.60,3.44,66.67,1478,0.00,2.67,5.00,-0.37,398.77,1393.53,-54.03,-54.27,120.70,0.22,0.26,7423,11121,53.00,133,0,8059,4,2,4,1,0,9,0.35,4.00,100.00,54,0.00,1.00,2.00,-1.70,372.60,0,-96.90,86.50,0,0.20,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
