"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Reckoning Night",2.58,7.7,7.8,12.4,0,5,5,0,0,40,2,7,10,2,2,58,133.52
"2fkingez",1.58,1.20,6.90,9.70,0,0,0,0,10,40,41,1,9,3,4,44,161.27
"iamjordaddy",2.77,8.70,6.00,7.90,0,5,1,4,0,50,2,18,14,1,6,60,115.52
"ToqsiK",3.74,4.60,3.10,7.00,5,0,0,5,0,30,16,12,16,5,3,45,244.62
"7 Cities",2.35,5.40,4.80,5.90,3,1,0,6,0,40,7,16,14,2,2,51,73.15
"LoLoYo",2.68,6.60,6.20,10.00,0,3,7,0,0,60,1,10,17,0,4,50,60.15
"frolicky72",4.74,9.60,3.50,7.00,0,2,0,8,0,60,0,7,10,1,2,57,95.97
"hystrinn",2.06,2.00,5.00,8.30,0,0,1,5,4,40,17,7,11,3,0,46,69.35
"littlefatsome",2.63,2.80,4.10,8.00,1,0,0,7,2,50,0,13,16,4,4,42,42.57
"SurvivorD",1.76,2.40,5.90,8.00,2,2,0,0,6,20,0,5,13,2,3,46,76.20
"PuffyRice",3.31,1.80,5.40,16.10,0,0,0,0,10,30,1,3,17,1,2,62,117.23
"Drunk Tank",6.63,7.80,2.70,10.10,0,1,8,0,1,20,8,8,14,2,5,70,58.87
"D1 ZC",3.84,7.70,3.80,6.90,5,0,4,1,0,80,17,19,17,2,4,54,140.95
"DASH ABSOLUCASLY",1.42,2.70,6.60,6.70,0,6,0,3,1,20,7,0,14,0,1,42,41.40
"CaraMojada",4.03,3.50,3.70,11.40,5,0,5,0,0,40,35,10,18,3,3,54,260.22
"Akú",3.33,10.80,6.00,9.20,0,3,0,7,0,60,8,17,18,1,5,58,117.93
"Mister Pugglez",2.02,6.30,6.40,6.60,3,0,3,4,0,40,1,15,18,2,5,45,40.72
"Cotton Kandee",2.22,1.30,4.50,8.70,5,0,1,0,4,30,17,2,14,3,4,46,124.87
"Samster25",1.68,7.30,9.60,8.80,4,0,3,0,3,40,1,6,11,1,3,47,67.85
"Annie Hathaway",3.00,4.90,4.10,7.40,3,7,0,0,0,50,1,5,17,3,4,52,93.27
"Likasumboooty",2.10,6.10,6.20,6.90,0,2,0,8,0,40,2,12,16,1,3,53,54.55
"lego my ekk0",1.53,5.80,9.50,8.70,1,4,5,0,0,20,0,13,16,0,3,50,87.22
"Pale blue wall",3.11,3.00,5.30,13.50,0,1,3,0,6,50,6,3,12,0,2,57,50.35
"dino suar",2.19,2.80,4.20,6.40,1,4,1,0,4,40,12,0,13,1,2,44,66.12
"New Day New Ayyy",2.37,8.30,7.60,9.70,0,8,2,0,0,50,37,7,16,1,4,57,42.48
"bk kids club",2.92,0.90,1.30,2.90,1,0,1,0,1,33,3,0,5,0,1,48,2.88
"KillerXrelliK",3.24,5.60,4.50,9.00,1,0,1,7,1,60,19,10,14,3,2,57,45.02
"Meek MiIl",2.52,4.90,6.30,11.00,6,2,0,2,0,30,7,8,17,2,6,56,102.98
"Logical Syntax",0.78,2.10,9.20,5.10,0,2,1,6,1,10,0,3,7,1,0,34,26.78
"Lutang",3.72,8.80,4.30,7.20,0,0,0,10,0,60,11,17,10,2,4,56,52.92
"ItchyBadger",2.30,6.10,6.60,9.10,0,7,1,1,1,40,12,3,13,1,7,62,94.22
"HI Limitless",2.80,7.90,5.60,7.80,2,4,0,4,0,40,9,10,14,2,2,46,49.75
"LoliAshe",3.19,1.40,4.20,12.00,1,0,0,0,9,40,12,3,18,3,3,51,140.65
"Master Litchi",3.67,6.20,4.20,9.20,1,7,0,2,0,70,11,8,20,12,6,54,102.97
"faivre",2.11,3.80,7.40,11.80,0,1,1,2,6,40,26,5,13,3,2,48,61.48
"Artorias and Sif",2.87,4.50,5.50,11.30,0,0,1,3,6,60,19,10,26,4,6,54,85.83
"MoonTickles",7.60,8.10,2.50,10.90,0,6,2,1,1,80,13,15,24,3,4,65,94.88
"Spamdinie",1.50,4.20,7.00,6.30,5,2,1,1,1,50,7,14,11,3,2,40,97.97
"Hybernian",2.16,3.30,4.90,7.30,1,2,0,6,1,40,0,7,16,4,3,45,39.12
"Kadeo18",2.15,3.50,6.00,9.40,0,0,0,2,8,50,22,2,20,4,3,50,28.10
"6695",4.47,10.10,4.30,9.10,2,0,8,0,0,50,9,8,24,3,9,58,78.78
"Indukti",2.55,3.10,5.50,10.90,2,0,2,2,4,30,18,9,12,4,5,51,88.55
"iDislikeYou2",3.27,5.80,4.40,8.60,4,0,3,3,0,60,23,19,18,5,2,47,97.45
"Kadok",1.72,4.70,5.40,4.60,0,7,0,1,2,50,34,4,17,7,3,44,98.77
"TTTTika",3.20,3.50,4.60,11.20,0,0,2,0,8,70,15,5,17,3,4,50,131.43
"ComeBackCat",1.58,4.90,7.30,6.60,7,1,2,0,0,20,3,8,15,2,3,46,48.22
"Swaag Champ",3.02,7.80,5.70,9.40,2,7,0,1,0,60,15,8,22,7,2,54,101.58
