"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Reckoning Night",2.58,7.7,7.8,12.4,0,5,5,0,0,40,2,16,118,7,1,10,2,2,58,278182,262312,34407,8011,128622,2099.3
"KismyS",3.05,3.20,6.20,15.70,0,0,0,0,10,60,45, 50, 245, 2, 1, 20,1,4,56, 186188, 232471, 73116, 54.88, 118712,2066.3
"iamjordaddy",3.93,8.30,4.10,7.80,0,0,1,9,0,70,1, 6, 52, 17, 3, 14,0,4,59, 224487, 163276, 27068, 59.02, 132493,1835.1
"ToqsiK",4.33,4.90,2.40,5.50,5,1,1,3,0,50,14, 16, 113, 14, 3, 13,4,3,42, 145610, 176899, 25349, 156.60, 113228,1916.1
"7 Cities",0.98,3.70,8.80,4.90,4,0,0,6,0,40,9, 11, 72, 5, 0, 15,4,4,33, 155757, 221296, 32952, 48.68, 110151,1831.8
"LoLoYo",3.13,6.40,6.40,13.60,0,3,0,0,7,80,11, 37, 171, 4, 3, 23,1,6,49, 207193, 313145, 86705, 108.85, 138020,2270.1
"frolicky72",2.65,9.90,6.30,6.80,2,4,0,4,0,20,1, 61, 128, 9, 1, 12,4,5,58, 305392, 301501, 126758, 68.32, 138660,2100.3
"hystrinn",2.06,2.00,5.00,8.30,0,0,1,5,4,40,17, 40, 162, 7, 1, 11,3,0,46, 97577, 165197, 26585, 69.35, 98905,1942.1
"littlefatsome",2.98,5.10,4.20,7.40,0,5,1,1,3,60,11, 34, 160, 8, 1, 21,5,4,53, 121492, 197399, 51076, 65.78, 105534,1716.4
"SurvivorD",1.85,1.80,6.00,9.30,1,1,0,1,7,40,6, 51, 172, 2, 0, 7,1,1,48, 85569, 230337, 45783, 78.60, 91251,1816.3
"PuffyRice",3.31,1.80,5.40,16.10,0,0,0,0,10,30,1, 26, 228, 3, 0, 17,1,2,62, 101615, 308204, 35069, 117.23, 107433,2337.3
"Drunk Tank",3.19,5.30,3.60,6.20,0,0,10,0,0,40,7, 26, 137, 7, 0, 12,1,5,54, 224165, 175087, 29272, 73.43, 116706,1785.8
"D1 ZC",1.49,3.30,5.50,4.90,0,7,1,2,0,40,0, 18, 83, 6, 2, 11,2,1,46, 83329, 178215, 46643, 53.50, 81521,1491.2
"DASH ABSOLUCASLY",1.42,2.70,6.60,6.70,0,6,0,3,1,20,7, 12, 102, 0, 0, 14,0,1,42, 83157, 188355, 44065, 41.40, 92311,1814.8
"CaraMojada",3.61,4.10,3.10,7.10,4,0,6,0,0,40,32, 22, 139, 6, 2, 12,1,2,48, 131504, 169633, 43873, 148.42, 99035,1661.8
"Akú",4.70,6.80,2.70,5.90,0,0,1,9,0,70,4, 33, 109, 28, 2, 14,2,1,54, 191647, 168068, 33732, 30.57, 138718,1793.5
"Mister Pugglez",2.02,6.30,6.40,6.60,3,0,3,4,0,40,1, 16, 44, 15, 0, 18,2,5,45, 206449, 232693, 34421, 40.72, 136258,2192.1
"Cotton Kandee",2.22,1.30,4.50,8.70,5,0,1,0,4,30,17, 36, 144, 2, 1, 14,3,4,46, 87343, 230221, 31634, 124.87, 100882,2055.4
"Samster25",1.22,3.40,6.50,4.50,0,3,6,0,1,20,1, 19, 83, 3, 0, 10,3,2,48, 121544, 235157, 43880, 72.75, 85629,1668.7
"Annie Hathaway",2.42,2.40,4.30,8.00,0,8,0,0,2,60,2, 29, 56, 7, 2, 15,3,5,50, 87491, 199820, 39639, 88.63, 91200,1665.4
"Likasumboooty",2.17,5.80,6.50,8.30,0,4,0,5,1,30,3, 40, 89, 9, 1, 15,0,2,51, 192234, 244163, 52558, 67.43, 122056,1984.6
"lego my ekk0",1.79,6.00,7.50,7.40,4,1,2,3,0,50,0, 9, 72, 13, 1, 12,4,3,52, 198720, 245707, 32448, 111.35, 107824,1788.5
"Evbot",2.08,7.10,8.30,10.20,0,4,5,1,0,30,2, 38, 63, 3, 0, 13,1,1,59, 184328, 268605, 58903, 67.75, 122386,2057.3
"dino suar",2.23,3.80,5.30,8.00,5,0,2,1,2,20,19, 25, 122, 6, 0, 15,3,3,43, 155319, 202784, 24358, 57.63, 113062,2064.6
"New Day New Ayyy",2.54,6.10,5.40,7.60,0,7,0,3,0,60,10, 29, 111, 12, 5, 22,4,3,47, 145107, 210343, 81388, 65.07, 118737,1798.1
"bk kids club",2.92,0.90,1.30,2.90,1,0,1,0,1,33,3, 10, 63, 0, 0, 5,0,1,48, 32495, 74491, 35048, 2.88, 33788,2129.3333333333335
"KillerXrelliK",2.22,5.80,6.90,9.50,2,0,4,2,2,30,25, 31, 212, 6, 2, 20,1,7,53, 253429, 300608, 64744, 65.37, 134296,2226.2
"Meek MiIl",3.51,5.70,3.90,8.00,6,1,0,3,0,60,3, 13, 102, 7, 0, 16,4,2,48, 166267, 228219, 54738, 119.72, 114309,1807.6
"Logical Syntax",0.94,3.70,8.60,4.40,0,1,1,7,1,20,0, 10, 16, 7, 1, 11,1,1,36, 121435, 197760, 21578, 24.60, 99587,1816.3
"Lutang",3.72,8.80,4.30,7.20,0,0,0,10,0,60,11, 35, 126, 17, 4, 10,2,4,56, 283091, 192184, 31145, 52.92, 142537,1994.7
"ItchyBadger",1.61,4.60,6.90,6.50,4,5,1,0,0,40,8, 20, 136, 6, 3, 8,2,3,49, 120066, 280011, 45513, 62.12, 112026,1840.5
"HI Limitless",2.71,5.50,4.80,7.50,0,8,0,2,0,50,12, 32, 112, 6, 1, 12,2,1,44, 159930, 246172, 79709, 85.48, 121769,1991.6
"LoliAshe",3.04,4.50,4.50,9.20,5,0,0,5,0,60,4, 38, 111, 17, 5, 20,6,6,53, 211518, 250673, 36615, 169.55, 130056,2081.3
"FYL Jacky",2.46,5.20,4.60,6.10,2,2,4,1,1,40,17, 28, 115, 6, 0, 13,1,3,50, 186613, 248714, 64468, 138.07, 124731,1800
"faivre",2.80,3.70,5.00,10.30,0,3,2,2,3,70,17, 26, 138, 7, 2, 17,3,3,50, 103705, 192036, 69381, 98.37, 98583,1768.2
"Artorias and Sif",2.36,3.20,5.30,9.30,0,0,2,3,5,60,22, 48, 166, 7, 2, 19,1,7,52, 125143, 163901, 20261, 73.58, 110978,1898.1
"MoonTickles",3.88,4.50,3.40,8.70,0,4,2,2,2,60,10, 24, 138, 4, 1, 18,2,3,55, 130347, 181309, 40680, 138.62, 102761,1742.5
"Spamdinie",2.63,6.10,5.90,9.40,3,4,0,3,0,70,4, 40, 123, 15, 5, 18,5,3,54, 203545, 297536, 91265, 81.87, 127799,1932.6
"Hybernian",3.38,5.30,4.50,9.90,0,1,3,4,2,60,0, 24, 118, 18, 1, 17,2,1,57, 216099, 168937, 26252, 76.95, 115284,1860.5
"Kadeo18",2.02,4.60,5.20,5.90,1,4,1,4,0,40,11, 19, 99, 11, 0, 15,3,1,47, 139873, 236015, 43637, 101.77, 101740,1736.7
"6695",4.47,10.10,4.30,9.10,2,0,8,0,0,50,9, 27, 127, 8, 2, 24,3,9,58, 292141, 178001, 21272, 78.78, 147410,2197
"Indukti",1.55,2.80,6.50,7.30,2,1,2,1,4,20,6, 25, 124, 6, 1, 14,1,2,42, 147069, 273284, 42644, 113.33, 107760,2030.7
"iDislikeYou2",2.88,3.70,4.80,10.10,0,2,1,5,2,60,23, 41, 193, 14, 3, 19,2,1,49, 148225, 177532, 46820, 81.05, 107348,1816.2
"Kadok",1.72,4.70,5.40,4.60,0,7,0,1,2,50,34, 68, 104, 4, 0, 17,7,3,44, 136813, 236754, 72743, 98.77, 106418,1747.4
"TTTTika",2.51,1.70,4.50,9.60,0,0,2,0,8,50,12, 24, 193, 7, 1, 14,0,6,42, 83396, 191677, 22621, 98.82, 93887,1899
"ComeBackCat",1.58,4.90,7.30,6.60,7,1,2,0,0,20,3, 48, 88, 8, 1, 15,2,3,46, 208563, 328115, 55728, 48.22, 130386,2179.1
"Swaag Champ",3.02,7.80,5.70,9.40,2,7,0,1,0,60,15, 40, 163, 8, 4, 22,7,2,54, 207648, 322220, 79229, 101.58, 129307,1996.1
