"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"Reckoning Night",2.33,8,8.5,11.8,0,4,4,1,1,50,5,18,142,9,3,14,0,2,55,267176,270576,34716,7302,133324,2165.5,0,8382,8901,2202,2170,21546,23907,56,216,3532,15311,9,9,5,1,0,14,0.35,1.56,100,0,117992,78569,52.5,666,5411,50025,34,30,28,1,4,54,0.56,0,25,3581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119656,142285,5.25,209,22583,55710,33,39,71,0,7,48,0.61,2.67,50,3166,7982,25815,19,63,3190,12278,4,7,14,3,7,26,0.47,2.57,100,555
"KismyS",2.74,2.50,6.10,14.20,0,0,0,0,10,50,43, 46, 229, 3, 1, 16,1,2,55, 157248, 213748, 67156, 46.62, 105723,1943.2,0,0,0,0,19432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157248,213748,7.30,538,67156,105723,25,61,142,43,46,229,0.55,2.74,50.00,2797,
"iamjordaddy",3.87,7.20,4.50,10.20,0,1,2,7,0,60,6, 12, 78, 21, 5, 12,4,2,57, 238811, 207785, 32459, 44.95, 137507,2093.2,0,4549,2026,14357,0,153702,102806,72.71,1557,21459,96192,48,21,69,4,7,49,0.60,5.57,71.43,1288,67782,75940,48.50,366,2094,26970,17,19,16,1,5,17,0.45,0.00,0.00,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17327,29039,4.00,85,8906,14345,7,5,17,1,0,12,0.63,4.80,100.00,646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ToqsiK",2.77,5.60,4.40,6.60,5,0,0,5,0,60,15, 12, 114, 14, 5, 13,3,3,49, 171955, 158314, 21942, 190.37, 108221,1753.5,8977,0,0,8558,0,92651,79561,50.80,769,13683,53855,32,28,39,7,6,50,0.55,2.54,40.00,6552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79304,78753,56.60,819,8259,54366,24,16,27,8,6,64,0.42,3.19,80.00,4870,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"7 Cities",1.31,4.80,8.50,6.30,1,1,0,7,1,30,6, 15, 58, 10, 0, 8,0,4,44, 161948, 234061, 25496, 270.57, 114824,1869.3,3271,0,1522,12565,1335,114953,141811,55.86,1242,16726,77914,30,58,45,1,8,33,0.46,1.29,28.57,378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35281,49177,49.00,413,3150,24038,16,6,11,0,2,9,0.46,4.50,100.00,15594,7384,25648,2.00,44,3559,7214,0,9,3,2,3,9,0.19,0.33,0.00,234,4330,17425,4.00,8,2061,5658,2,12,4,3,2,7,0.40,0.50,0.00,28,
"LoLoYo",2.28,7.70,6.00,6.00,0,6,0,3,1,40,3, 18, 124, 6, 2, 12,0,4,46, 153388, 237473, 61371, 65.52, 126133,1937.1,0,0,11165,6338,1868,52448,66408,50.33,569,5860,39593,21,26,18,0,2,36,0.46,1.50,33.33,336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87174,150001,3.67,526,48485,78022,55,27,34,0,14,75,0.45,3.30,50.00,3559,13766,21064,2.00,31,7026,8518,1,7,8,3,2,13,0.56,1.29,0.00,36,
"frolicky72",3.93,12.10,4.50,5.60,1,8,0,1,0,60,1, 43, 101, 7, 2, 13,3,5,52, 246011, 266057, 105135, 85.85, 135097,1841.9,2481,0,13990,1948,0,14390,21933,49.00,213,2284,11587,2,8,4,0,2,12,0.24,0.75,0.00,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53190,45520,44.00,144,19956,17752,20,9,9,0,6,15,0.63,3.22,0.00,128,178431,198604,11.75,590,82895,105758,99,28,43,1,35,74,0.52,5.07,75.00,4746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"hystrinn",2.06,2.00,5.00,8.30,0,0,1,5,4,40,17, 40, 162, 7, 1, 11,3,0,46, 97577, 165197, 26585, 69.35, 98905,1942.1,0,1771,0,9306,8344,63754,83498,61.20,819,12176,53884,16,30,44,5,10,48,0.48,2.00,60.00,1685,12224,15053,43.00,147,2614,8915,2,3,3,2,3,11,0.50,0.00,0.00,327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21599,66646,6.50,152,11795,36106,2,17,36,10,27,103,0.43,2.24,25.00,2149,
"littlefatsome",2.44,7.30,6.60,8.80,3,0,3,4,0,40,10, 26, 153, 15, 3, 20,3,5,55, 274879, 320890, 58660, 56.12, 144451,2218.9,7528,7038,0,7623,0,81876,83994,64.50,718,13553,48459,26,19,29,4,11,52,0.58,2.89,50.00,1248,87930,97194,66.33,803,12883,49217,28,19,30,4,6,53,0.54,0.00,66.67,900,105073,139702,59.33,760,32224,46775,19,28,29,2,9,48,0.52,1.71,0.00,1219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SurvivorD",2.40,1.90,6.30,13.20,1,1,0,0,8,50,5, 54, 225, 1, 0, 18,4,5,57, 84544, 251776, 40185, 58.70, 99409,1999.5,1596,0,1670,0,16729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11563,16438,57.00,164,6200,10309,5,3,9,0,3,9,0.48,4.67,100.00,81,8546,26646,2.00,49,6740,7886,2,6,6,0,3,28,0.73,1.33,0.00,425,64435,208692,9.13,325,27245,81214,12,54,117,5,48,188,0.57,2.39,50.00,3016,
