"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"KismyS",1164,2.74,2.5,6.1,14.2,0,0,0,0,10,50,43,46,229,3,1,16,1,2,55,157248,213748,67156,2797,105723,1943.2,0,0,0,0,19432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,157248,213748,7.3,538,67156,105723,25,61,142,43,46,229,0.55,2.74,50,2797,0,0.6,1.2,-0.22,270.47,1438.43,7.5,6.95,42.87,0.18,0.16
"ToqsiK",1015,4.05,7.90,4.10,8.70,5,4,0,1,0,70,19, 16, 85, 11, 1, 16,2,3,49, 200958, 226635, 67829, 208.47, 125807,1885.9,9562,0,7366,1931,0,16250,20791,46.00,186,3566,12383,5,7,6,2,0,12,0.38,1.57,0.00,56,0.00,1.00,2.00,0.18,268.10,1182.80,-85.00,-211.50,-50.20,0.22,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97183,117756,47.40,804,17018,63035,37,19,49,8,3,58,0.47,4.53,80.00,11359,0.00,1.80,3.40,0.18,414.62,1997.67,43.46,-47.98,144.07,0.21,0.20,87525,88088,8.00,224,47245,50389,37,15,32,9,13,15,0.53,4.60,75.00,1093,25.00,2.25,5.50,0.17,303.02,1469.50,-18.70,46.98,-55.10,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"LoLoYo",849,3.04,7.50,5.10,8.00,0,6,0,4,0,70,1, 19, 100, 12, 4, 19,3,6,47, 183528, 224228, 43383, 60.95, 130014,1800.5,0,0,10878,7127,0,78401,73838,50.50,741,10216,52344,28,21,32,1,10,34,0.50,2.86,75.00,405,0.00,2.50,2.50,0.00,306.90,3345.00,20.61,-24.45,-57.25,0.23,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105127,150390,5.33,565,33167,77670,47,30,48,0,9,66,0.45,3.17,66.67,3252,0.00,2.17,4.33,0.33,338.25,2326.10,50.75,157.38,70.20,0.22,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"hystrinn",1048,2.06,2.00,5.00,8.30,0,0,1,5,4,40,17, 40, 162, 7, 1, 11,3,0,46, 97577, 165197, 26585, 69.35, 98905,1942.1,0,1771,0,9306,8344,63754,83498,61.20,819,12176,53884,16,30,44,5,10,48,0.48,2.00,60.00,1685,20.00,0.60,1.20,0.00,315.22,1305.50,-3.48,-21.05,-48.07,0.19,0.16,12224,15053,43.00,147,2614,8915,2,3,3,2,3,11,0.50,1.67,0.00,327,0.00,1.00,2.00,-4.60,428.80,0,-25.00,62.20,0,0.19,0.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21599,66646,6.50,152,11795,36106,2,17,36,10,27,103,0.43,2.24,25.00,2149,0.00,0.00,0.00,-0.08,266.78,983.90,-8.76,-57.92,33.33,0.16,0.06,
"littlefatsome",1447,2.44,7.30,6.60,8.80,3,0,3,4,0,40,10, 26, 153, 15, 3, 20,3,5,55, 274879, 320890, 58660, 56.12, 144451,2218.9,7528,7038,0,7623,0,81876,83994,64.50,718,13553,48459,26,19,29,4,11,52,0.58,2.89,50.00,1248,0.00,1.50,3.25,-0.04,305.50,1381.23,2.91,-7.65,-66.42,0.21,0.27,87930,97194,66.33,803,12883,49217,28,19,30,4,6,53,0.54,3.05,66.67,900,33.33,2.00,6.33,1.43,449.97,1910.90,62.77,114.73,162.10,0.22,0.23,105073,139702,59.33,760,32224,46775,19,28,29,2,9,48,0.52,1.71,0.00,1219,0.00,2.00,3.33,-0.17,402.80,1272.83,-19.73,2.80,-2.93,0.21,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SurvivorD",1200,2.90,2.80,6.10,14.90,1,1,0,1,7,40,11, 55, 215, 4, 1, 19,1,4,51, 110316, 337489, 89173, 79.07, 110473,2199.5,2036,0,2250,2386,15323,7303,37528,22.00,70,3297,11044,1,11,17,1,6,28,0.56,1.64,0.00,452,0.00,0.00,0.00,-1.90,280.20,1006.50,-26.80,-57.35,-50.30,0.17,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19482,37721,43.00,122,12408,12446,9,2,12,0,2,12,0.39,10.50,100.00,664,100.00,1.00,7.00,-1.90,372.30,1373.80,-120.00,31.50,122.00,0.18,0.16,16170,38640,13.00,80,7891,11827,3,4,11,1,7,17,0.58,3.50,0.00,638,0.00,1.00,2.00,1.20,374.30,1153.10,80.60,-53.00,73.50,0.20,0.20,67361,223600,12.14,356,65577,75156,15,44,109,9,40,158,0.53,2.82,42.86,2990,0.00,0.43,0.86,0.25,261.36,1144.24,-20.39,-33.12,-0.11,0.16,0.08,
"D1 ZC",1000,1.82,4.30,6.10,6.80,0,6,2,1,1,20,0, 33, 124, 4, 0, 15,2,2,51, 126965, 224296, 50304, 65.42, 98986,1870.2,0,4318,11346,1261,1777,7629,7891,55.00,103,1046,6326,2,3,5,0,0,6,0.88,2.33,0.00,27,0.00,1.00,2.00,0.00,308.20,0,30.45,-85.80,0,0.22,0.24,39067,29811,50.00,254,4675,21678,11,8,15,0,5,28,0.53,3.25,0.00,550,0.00,1.50,2.50,-1.40,427.55,1141.00,-28.95,-99.30,-96.30,0.18,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67742,171819,4.17,424,42942,63705,28,44,40,0,23,70,0.48,1.55,33.33,2561,16.67,1.33,2.00,-0.30,341.70,1997.97,-15.05,-65.20,-109.20,0.20,0.15,12527,14775,8.00,33,1641,7277,2,6,8,0,5,20,0.53,1.67,0.00,787,0.00,0.00,0.00,-1.45,288.30,0,-40.40,-6.70,0,0.16,0.20,
"CaraMojada",1000,1.68,3.40,6.00,6.70,4,0,3,0,3,10,36, 36, 155, 2, 1, 7,1,1,50, 122007, 206030, 35536, 88.07, 95214,1726.7,6901,5002,0,0,5364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38644,63692,56.00,428,9126,27712,15,23,18,11,6,39,0.51,1.43,0.00,179,0.00,1.00,2.33,-1.07,394.67,0,-84.13,-42.90,0,0.20,0.21,57014,100300,61.00,648,24399,41599,15,15,35,12,12,54,0.58,3.33,25.00,4690,25.00,1.00,1.75,-0.50,395.00,2290.15,-39.85,-20.88,163.35,0.21,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26349,42038,3.67,109,2011,25903,4,22,14,13,18,62,0.35,0.82,0.00,415,0.00,0.33,0.67,0.10,234.27,1071.00,-23.47,-66.95,63.10,0.19,0.11,
"Samster25",1128,2.54,6.10,7.80,13.70,4,2,2,0,2,40,8, 32, 149, 7, 0, 22,4,7,59, 244603, 392735, 98390, 152.62, 138904,2361.8,10403,4235,3816,0,5164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49072,46378,57.50,294,3282,24251,17,16,18,2,5,23,0.73,2.19,0.00,1397,50.00,1.00,5.00,0.80,375.95,1090.15,-24.60,11.55,-93.05,0.21,0.25,126887,217669,51.00,819,66350,63351,24,38,73,3,7,58,0.60,2.55,50.00,4001,25.00,1.50,3.25,-0.33,423.90,1335.03,22.07,105.43,-0.55,0.20,0.22,23441,54701,2.50,119,17362,24651,12,5,20,0,11,21,0.52,6.40,100.00,2773,50.00,2.00,3.00,0.15,303.65,1956.50,12.25,-7.35,5.20,0.20,0.12,45203,73987,7.50,126,11396,26651,8,19,26,3,9,47,0.51,1.79,0.00,986,0.00,1.00,2.00,0.05,240.90,992.40,-4.25,3.70,9.60,0.18,0.17,
"Likasumboooty",1036,2.57,5.80,5.30,7.80,0,3,1,3,3,40,2, 12, 91, 10, 3, 9,1,2,53, 141607, 179536, 36645, 42.60, 104572,1728.9,0,1585,5453,5415,4836,56761,53052,58.33,568,6936,37907,23,17,26,0,4,19,0.51,2.88,66.67,304,33.33,2.00,2.67,0.00,269.70,1586.30,29.48,14.22,103.05,0.22,0.21,16882,15128,39.00,111,187,7622,3,11,3,0,0,4,0.40,0.55,0.00,369,0.00,0.00,0.00,-2.20,333.90,0,-100.80,75.20,0,0.18,0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53189,72273,1.67,193,20546,36499,29,15,18,0,4,23,0.64,3.13,33.33,1605,33.33,1.67,7.33,-0.57,304.90,1798.20,-48.83,-96.63,190.00,0.23,0.23,14775,39083,9.67,60,8976,22544,3,10,31,2,4,45,0.47,3.40,33.33,278,0.00,0.00,0.00,0.32,308.13,2136.00,18.00,-12.45,-277.65,0.16,0.08,
