"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"nobody good",2.81,5.5,5.4,9.7,4,0,1,4,1,50,4,11,18,4,7,54,144.25
"July9",2.11,5.90,5.70,6.10,3,6,0,1,0,40,16,7,10,0,4,59,85.73
"Lutano",2.30,5.90,4.70,4.90,0,0,1,9,0,20,12,9,12,1,3,55,28.88
"BJNA",2.24,4.70,4.50,5.40,6,0,4,0,0,40,15,6,9,7,4,45,28.23
"Bambie",3.00,6.20,5.10,9.10,6,1,2,1,0,50,24,12,15,4,4,58,129.67
"2016",3.80,4.70,3.00,6.70,0,10,0,0,0,20,2,9,11,4,4,63,67.80
"Indian Mama",2.68,2.80,3.70,7.10,3,3,0,1,3,30,14,6,7,6,2,52,81.60
"Rikiimaru",1.94,4.00,4.70,5.10,4,5,1,0,0,60,2,9,11,7,2,42,83.55
"sickosquats",2.48,5.50,5.00,6.90,2,8,0,0,0,80,13,9,11,6,6,51,99.27
"bobababo",3.80,11.70,4.60,5.80,1,1,5,3,0,80,9,8,16,1,4,61,65.82
"neilcheng66",2.69,6.10,5.50,8.70,0,3,7,0,0,50,36,12,13,2,7,57,74.08
"NCS  Social Dog",2.54,3.50,4.80,8.70,7,0,3,0,0,40,20,4,11,3,2,48,188.30
"deps",3.72,8.20,4.70,9.30,0,9,1,0,0,80,20,10,21,2,8,59,101.18
"Aconda",3.95,8.70,3.70,5.90,0,0,0,10,0,70,18,20,15,7,5,54,29.88
"Aluminum Kiwi",2.43,8.60,7.40,9.40,0,0,3,7,0,80,24,14,18,5,7,57,36.78
"YaThatWasABanana",1.95,1.60,6.40,10.90,0,0,1,0,9,30,25,5,7,2,6,66,70.37
"let me out",2.23,4.00,6.20,9.80,7,0,0,1,2,30,26,1,6,3,1,54,74.82
"cant believe",2.79,6.30,4.30,5.70,2,0,6,1,1,40,8,8,11,6,6,52,60.40
"Jummychu",2.46,5.30,4.80,6.50,0,0,0,10,0,30,10,12,15,1,3,53,27.90
"TaIkPlayLove",3.00,5.70,4.80,8.70,0,7,3,0,0,40,13,6,6,9,5,67,85.45
"hcore",2.60,2.80,5.00,10.20,0,0,2,5,3,60,9,14,16,4,2,51,13.53
"Aporia Pat",2.48,4.90,5.00,7.50,6,2,1,1,0,40,15,12,13,4,5,58,75.85
"DoToT",1.42,4.00,7.80,7.10,6,3,0,1,0,40,4,9,12,2,3,45,77.23
"Tp Diana",2.48,5.50,6.30,10.10,5,0,0,5,0,70,6,20,10,3,6,54,174.13
"Demnis",2.80,5.00,5.00,9.00,3,0,7,0,0,70,20,7,13,3,4,52,81.12
"Herald 0f Death",2.90,5.10,4.00,6.50,1,0,5,3,1,50,12,11,18,5,3,52,200.83
