SummonerName,KDA,AvgKills,AvgDeaths,AvgAssists,TOP_played,JUNGLE_played,MID_played,ADC_played,SUPPORT_played,WinRate,VisionWards,WardsKilled,WardsPlaced,TowersKilled,InhibitorKills,DragonsKilled,RiftHeraldKilled,BaronKilled,KillContribution,TotalDamageDealtToChampions,TotalDamageTaken,TotalHeal,CCDuration,GoldEarned,AvgGameLength,topPlayedLength,midPlayedLength,junglePlayedLength,adcPlayedLength,supportPlayedLength,D_ADC,DT_ADC,CS_zeroToTen_ADC,CS_ADC,H_ADC,D_MID,DT_MID,CS_zeroToTen_MID,CS_MID,H_MID,D_TOP,DT_TOP,CS_zeroToTen_TOP,CS_TOP,H_TOP,D_JG,DT_JG,CS_zeroToTen_JG,CS_JG,H_JG,D_SUP,DT_SUP,CS_zeroToTen_SUP,CS_SUP,H_SUP
nobody good,1.96,3.3,5.3,7.1,1,0,0,8,1,40,1,27,86,12,0,13,4,5,45,174060,162331,43536,1965,113561,1775.9,1838,0,0,14336,1585,156084,133382,62.5,1505,20868,0,0,0,0,0,15550,20734,84,187,20994,0,0,0,0,0,2426,8215,3,12,1674
Daejeon,2.43,7.2,5.6,6.4,1,6,0,2,1,10,24,70,146,11,0,17,3,4,59,225505,275179,84678,77.45,132659,1934.5,2369,0,11298,3905,1773,60935,42859,72.5,440,7539,0,0,0,0,0,27368,24076,63,288,4187,133837,191414,4.83,651,67268,3365,16830,5,32,5684
Lutano,2.38,6.1,5.5,7,0,0,0,10,0,50,7,29,84,14,5,9,6,3,56,218132,160040,28658,56.07,121600,1736.8,0,0,0,17368,0,218132,160040,61,1919,28658,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJNA,2.18,4,4.4,5.6,9,0,1,0,0,40,13,22,136,8,1,9,3,4,51,186019,188226,15595,67.77,103281,1617.4,15266,908,0,0,0,0,0,0,0,0,6737,7194,86,127,547,179282,181032,61.11,1722,15048,0,0,0,0,0,0,0,0,0,0
Bambie,5,5.7,2.9,8.8,10,0,0,0,0,70,15,31,128,19,1,13,3,3,61,218503,284470,57822,139.98,120365,1656.1,16561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218503,284470,73.4,2058,57822,0,0,0,0,0,0,0,0,0,0
2016,3.21,9.1,4.8,6.3,0,10,0,0,0,60,1,16,129,18,4,13,6,3,57,222229,248425,90118,95.77,131478,1842.8,0,0,18428,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222229,248425,11.3,822,90118,0,0,0,0,0
Indian Mama,2.8,4.3,4.1,7.2,2,7,1,0,0,40,4,44,112,7,1,9,2,3,57,139563,258511,92418,95.62,108071,1649.6,2729,1212,12555,0,0,0,0,0,0,0,3120,9479,51,127,1080,22220,43572,75,307,12489,114223,205460,3.29,615,78849,0,0,0,0,0
Rikiimaru,2.96,7.1,4.6,6.5,1,9,0,0,0,70,0,43,88,12,4,16,6,4,53,166208,200630,56821,91.05,112097,1720.6,938,0,16268,0,0,0,0,0,0,0,0,0,0,0,0,3130,5021,63,103,1022,163078,195609,4.78,565,55799,0,0,0,0,0
sickosquats,2.51,2,4.3,8.8,0,2,0,1,7,40,19,41,153,3,1,7,4,6,55,62420,148684,43798,25.2,79583,1574.7,0,0,2791,2006,10950,12483,22528,19,60,2611,0,0,0,0,0,0,0,0,0,0,23086,33277,4,102,7579,26851,92879,6.29,121,33608
bobababo,4.35,12.7,4.6,7.3,0,2,6,2,0,80,9,12,81,10,6,17,1,5,65,343673,260595,48701,79.7,149257,1802.1,0,10601,3628,3792,0,72623,46211,78.5,428,7864,220943,140916,73.83,1310,16539,0,0,0,0,0,50107,73468,1.5,194,24298,0,0,0,0,0
neilcheng66,1.49,5.2,6.8,4.9,2,1,6,1,0,20,15,33,101,6,1,7,3,3,49,163306,193065,27486,47.07,101474,1544.6,2800,8602,2126,1918,0,18946,22456,51,214,3710,104566,109473,58.5,830,15897,23050,31966,55.5,234,640,16744,29170,0,92,7239,0,0,0,0,0
NCS  Social Dog,2.76,4.6,4.2,7,4,0,2,4,0,50,18,12,106,4,0,11,1,3,51,189108,229225,54940,96.53,110797,1751.6,7610,3055,0,6851,0,83357,61554,60,594,9354,40519,43621,67.5,329,9864,65232,124050,62.5,719,35722,0,0,0,0,0,0,0,0,0,0
deps,1.97,3.3,3.5,3.6,0,5,2,0,3,10,14,25,94,2,0,4,3,0,59,80169,138348,41506,60.1,73643,1332.2,0,2078,7423,0,3821,0,0,0,0,0,6774,12393,52,214,1040,0,0,0,0,0,59446,96433,7.2,357,38211,13949,29522,9.67,64,2255
Aconda,4.05,7.4,3.8,8,0,1,0,9,0,70,20,52,130,27,7,17,6,7,56,225700,182191,40129,56.27,133100,1811.3,0,0,1597,16516,0,217956,153309,76,1974,33952,0,0,0,0,0,0,0,0,0,0,7744,28882,6,42,6177,0,0,0,0,0
Aluminum Kiwi,1.77,5.1,6,5.5,6,0,4,0,0,50,13,23,135,7,1,12,1,6,48,199532,211923,18656,60.03,116788,1735.8,9782,7576,0,0,0,0,0,0,0,0,99118,61130,84.5,884,5594,100414,150793,66.17,1119,13062,0,0,0,0,0,0,0,0,0,0
YaThatWasABanana,2.7,0.8,5,12.7,0,1,0,0,9,30,47,94,364,4,0,16,3,5,57,66297,201484,108937,55.12,96842,1981.5,0,0,2460,0,17355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9008,55502,5,83,13913,57289,145982,3.44,209,95024
let me out,2.23,4,6.2,9.8,7,0,0,1,2,30,26,37,135,1,0,6,3,1,54,155397,255923,32947,74.82,109298,1762.2,12672,0,0,1619,3331,10107,21495,44,151,2444,0,0,0,0,0,118494,200635,62.17,1311,29542,0,0,0,0,0,26796,33793,5,44,961
cant believe,2.03,3.8,3.8,3.9,1,0,8,1,0,50,13,33,117,9,2,8,1,4,41,126217,144869,19388,90.27,100691,1607.8,1329,12995,0,1754,0,9110,14297,68,180,2028,110448,115058,71.38,1510,16705,6659,15514,72,166,655,0,0,0,0,0,0,0,0,0,0
Jummychu,1.72,4.5,6.5,6.7,0,0,0,10,0,30,5,30,117,13,0,12,2,2,53,218136,193283,34211,30.15,126342,1909.6,0,0,0,19096,0,218136,193283,68.7,2354,34211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TaIkPlayLove,3.6,5.6,4.7,11.3,0,8,0,0,2,70,23,47,175,6,0,5,7,7,65,131908,231802,91280,91.58,112651,1701.2,0,0,12380,0,4632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121002,186834,6.75,570,71231,10906,44968,1,32,20049
hcore,1.94,3.8,4.9,5.7,0,4,0,5,1,30,13,38,100,5,0,11,2,4,50,153641,188972,31330,35.67,94196,1618.5,0,0,6166,8175,1844,104842,83151,68,882,12892,0,0,0,0,0,0,0,0,0,0,43121,83395,3.25,216,16358,5678,22426,11,57,2080
Top Lane Retard,3.26,5.3,4.3,8.7,6,3,1,0,0,50,18,30,125,10,2,13,1,5,57,176896,355905,74085,192.73,123222,1944.9,11106,1890,6453,0,0,0,0,0,0,0,17115,27202,2,97,7164,97037,195457,66,1145,32621,62744,133246,4.33,253,34300,0,0,0,0,0
DoToT,1.78,6.5,7.8,7.4,5,3,2,0,0,40,9,37,144,6,0,15,1,4,48,266750,293267,72578,241.58,140219,2011.5,10390,3365,6360,0,0,0,0,0,0,0,45626,43021,61,328,9014,149610,134129,68.8,1118,23001,71514,116117,2,357,40563,0,0,0,0,0
dhn,2.41,5.7,5.6,7.8,8,0,0,2,0,70,9,30,93,13,3,7,1,5,51,217502,251280,31500,58.23,111525,1585.5,12235,0,0,3620,0,38229,40853,74.5,459,5342,0,0,0,0,0,179273,210427,64.5,1247,26158,0,0,0,0,0,0,0,0,0,0
Demnis,1.74,4.8,5.3,4.4,3,0,7,0,0,20,29,35,123,5,1,12,2,1,50,180614,211532,36428,144.03,103385,1736.5,4917,12448,0,0,0,0,0,0,0,0,139035,136631,62,1204,20382,41579,74901,54.33,529,16046,0,0,0,0,0,0,0,0,0,0
HlKASHlKUN,3.38,6.4,4,7.1,2,8,0,0,0,60,33,76,195,14,4,17,3,5,52,243922,192223,44369,137.07,129305,1879.8,3184,0,15614,0,0,0,0,0,0,0,0,0,0,0,0,30700,40053,71,321,10874,213222,152170,1.88,759,33495,0,0,0,0,0
C9 Slim,2.41,4.6,4.6,6.5,0,1,1,8,0,50,14,27,93,15,3,15,2,5,48,154507,166843,35138,24.63,114521,1756.8,0,1635,1996,13937,0,125521,114684,68.63,1528,16746,15627,13525,72,191,3281,0,0,0,0,0,13359,38634,15,83,15111,0,0,0,0,0
COSTA RlCA,3.34,0.9,3.2,9.8,0,0,0,1,9,30,9,72,276,1,0,8,4,2,57,50872,137619,33490,35.8,77067,1681.9,0,0,0,885,15934,1461,3094,2,2,69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49411,134525,6.67,239,33421
QQi1035716423i,2.03,5.7,6.5,7.5,0,0,2,8,0,40,5,35,132,16,2,7,2,7,51,208089,188138,33864,34.15,122752,1854.3,0,4246,0,14297,0,172598,143258,65.63,1504,27685,35491,44880,62,400,6179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
King of LuRen,2.47,7.4,4.9,4.7,9,0,0,1,0,60,14,46,138,15,4,16,2,4,51,186167,219989,39068,34.33,133696,1763.2,15998,0,0,1634,0,15925,12888,50,181,2040,0,0,0,0,0,170242,207101,55.89,1996,37028,0,0,0,0,0,0,0,0,0,0
2 TIMES 2 TlMES,2.32,6.7,5.6,6.3,1,1,3,5,0,20,3,18,85,8,2,8,3,4,57,254580,232541,42012,71.17,129561,1962.4,1272,5452,2480,10420,0,153103,111621,62.6,1049,17326,59652,62697,66.33,497,8532,5501,13862,58,122,464,36324,44361,2,105,15690,0,0,0,0,0
Mighty Michel,4.4,8.4,3.5,7,0,5,5,0,0,70,11,36,91,6,0,12,3,4,58,192321,229400,60071,106.9,126841,1797.3,0,7638,10335,0,0,0,0,0,0,0,93417,70084,58.6,919,9307,0,0,0,0,0,98904,159316,17,345,50764,0,0,0,0,0
Smashd,2.34,4.1,3.2,3.4,9,1,0,0,0,40,7,20,80,11,1,13,2,1,41,142134,180858,54473,43.32,104237,1647.5,14814,0,1661,0,0,0,0,0,0,0,0,0,0,0,0,128072,155821,66.78,1740,38604,14062,25037,4,103,15869,0,0,0,0,0
Liquid Inori,3.95,6.9,4.1,9.3,0,10,0,0,0,60,20,25,93,8,0,12,3,3,62,198957,269393,81583,159.17,113838,1694.1,0,0,16941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,198957,269393,4.1,766,81583,0,0,0,0,0
DZG La Mechante ,2.56,1.5,3.6,7.7,4,1,4,0,1,60,35,25,166,6,0,17,9,6,44,98209,185083,24054,76.03,100770,1698.7,7261,6837,1265,0,1624,0,0,0,0,0,40578,53345,66,671,4500,46452,97332,49,612,8972,6852,14065,69,1,1587,4327,20341,9,55,8995
Lil TM8,2.85,5.3,4.8,8.4,0,1,1,7,1,30,20,80,174,12,1,14,7,7,59,228690,208517,34332,85.58,136352,2034.4,0,2445,1711,14162,2026,186838,137026,77,1753,24275,25399,29397,49,268,2618,0,0,0,0,0,7235,21428,2,60,5009,9218,20666,8,35,2430
SE Whyin,2.02,0.7,6.1,11.6,0,0,1,0,9,50,71,66,273,2,1,12,6,5,55,42005,198853,57097,15.48,83032,1766.5,0,2176,0,0,15489,0,0,0,0,0,2359,12112,0,9,4946,0,0,0,0,0,0,0,0,0,0,39646,186741,9.89,290,52151
Le Bulbe,1.79,3.9,5.3,5.6,0,0,3,6,1,10,6,33,114,9,2,12,2,1,53,129087,155781,26315,30.68,103652,1851.3,0,4586,0,11524,2403,95632,101031,63.5,1169,19421,31275,43026,52,359,2752,0,0,0,0,0,0,0,0,0,0,2180,11724,2,7,4142
