"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"nobody good",2958,1.69,3.9,6.4,6.9,0,0,1,8,1,30,3,30,89,10,2,16,4,5,45,185118,173701,28529,1369,115443,1838.2,0,1834,0,14963,1585,166978,153069,65.88,1490,23281,97920,32,58,62,2,23,62,0.47,1.62,25,1224,12.5,0.75,1.5,0,323.62,1613.98,-0.51,-105.15,36.63,0.21,0.21,15714,12417,50,133,3574,11427,7,2,4,1,4,11,0.38,5.5,100,27,0,2,4,-2,392.6,1124.4,-34,-79.9,-87,0.18,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2426,8215,3,12,1674,6096,0,4,3,0,3,16,0.38,0.75,0,118,0,0,0,0.7,260.4,0,6.5,-148.85,0,0.14,0.04
"AppleBrandy",2400,3.67,5.90,3.30,6.20,0,2,0,5,3,70,19, 46, 154, 17, 0, 12,5,1,56, 152791, 164723, 52722, 52.75, 108172,1604.2,0,0,4196,6947,4899,87326,59290,69.20,831,13100,54947,40,14,30,0,5,37,0.56,5.00,100.00,397,20.00,1.80,4.60,0.00,321.86,4256.80,51.01,163.27,-140.20,0.23,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54553,67802,3.00,233,28801,32878,17,11,14,6,27,49,0.53,2.82,50.00,2441,0.00,2.00,3.50,0.00,406.55,1716.95,26.65,77.85,60.30,0.24,0.25,10912,37631,5.33,59,10821,20347,2,8,18,13,14,68,0.61,2.50,33.33,327,0.00,0.33,0.67,0.22,284.53,1961.30,10.78,-25.82,-349.45,0.15,0.07,
"Lutano",2461,2.38,6.10,5.50,7.00,0,0,0,10,0,50,7, 29, 84, 14, 5, 9,6,3,56, 218132, 160040, 28658, 56.07, 121600,1736.8,0,0,0,17368,0,218132,160040,61.00,1919,28658,121600,61,55,70,7,29,84,0.56,2.38,50.00,3364,0.00,1.10,3.40,0.00,289.85,1878.86,-0.14,-21.99,20.00,0.23,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BJNA",2967,3.58,5.90,4.30,9.50,4,0,6,0,0,80,15, 32, 147, 12, 2, 18,5,9,56, 226093, 207239, 21644, 85.60, 126704,1783.9,7000,10839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125229,112057,72.67,1172,12621,77525,34,22,57,12,24,99,0.55,4.14,100.00,2750,16.67,1.33,2.83,0.17,443.98,2331.07,28.27,31.63,-83.43,0.21,0.24,100864,95182,67.00,720,9023,49179,25,21,38,3,8,48,0.58,3.00,50.00,2386,0.00,1.50,3.50,0.80,443.35,2231.50,62.87,139.27,-236.75,0.21,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Bambie",3702,6.64,8.50,2.50,8.10,9,0,1,0,0,100,22, 20, 103, 14, 1, 20,5,6,59, 252661, 250644, 57868, 143.43, 129798,1587.7,14459,1418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20703,22999,80.00,184,4467,11009,8,1,4,1,0,11,0.52,12.00,100.00,887,0.00,2.00,5.00,0.00,528.00,0,0.00,0.00,0,0.23,0.36,231958,227645,66.89,1756,53401,118789,77,24,77,21,20,92,0.60,6.42,100.00,7719,11.11,2.22,5.11,0.48,464.99,9627.90,72.96,137.40,172.50,0.23,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"2016",2939,3.33,9.20,4.80,6.80,0,10,0,0,0,70,0, 18, 126, 21, 4, 14,5,3,59, 226027, 251761, 99971, 104.88, 132776,1789.7,0,0,17897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226027,251761,11.00,890,99971,132776,92,48,68,0,18,126,0.59,3.33,70.00,6293,0.00,1.70,5.60,0.22,422.94,2355.20,66.45,62.27,-15.70,0.23,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"dab boi",2437,3.25,5.40,4.40,8.90,3,4,3,0,0,50,12, 29, 129, 5, 0, 13,3,3,58, 163233, 249816, 75785, 99.13, 118917,1870.3,5940,5185,7578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48493,56009,59.33,441,9786,33408,21,14,19,3,7,39,0.48,2.86,66.67,1213,33.33,1.33,5.00,-1.00,419.47,3120.70,8.53,76.67,-299.50,0.20,0.20,47674,60017,82.67,675,12157,32952,6,20,19,0,6,40,0.57,1.25,0.00,1545,0.00,0.33,0.67,1.03,472.40,1711.50,21.83,-141.23,-160.55,0.21,0.19,67066,133790,6.00,417,53842,52557,27,10,51,9,16,50,0.66,7.80,75.00,3190,25.00,1.50,4.75,0.03,354.20,2387.30,-13.07,20.20,63.00,0.21,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Rikiimaru",2354,2.17,5.90,6.00,7.10,2,7,0,0,1,30,0, 43, 96, 5, 2, 17,4,5,51, 154948, 299481, 73782, 90.10, 111237,1844.4,3304,0,13795,0,1345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33445,44642,52.00,259,6546,21792,12,14,11,0,3,9,0.36,1.64,50.00,1062,0.00,1.50,2.50,-1.00,398.10,0,9.90,-77.80,0,0.20,0.20,113815,240204,4.57,542,62683,83478,45,39,54,0,38,81,0.55,2.54,28.57,4308,14.29,1.57,2.71,-0.01,340.46,1882.55,-38.96,-49.71,-10.93,0.20,0.20,7688,14635,4.00,16,4553,5967,2,7,6,0,2,6,0.62,1.14,0.00,36,0.00,0.00,0.00,-2.35,220.50,0,-155.00,77.30,0,0.17,0.17,
"sickosquats",2461,1.85,1.60,4.80,7.30,0,2,0,0,8,30,16, 39, 152, 3, 1, 7,4,6,52, 52416, 151137, 51509, 32.72, 76269,1574.7,0,0,2791,0,12956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23086,33277,4.00,102,7579,17493,11,9,15,3,4,10,0.55,2.89,50.00,773,0.00,1.00,1.50,-1.45,302.55,0,-151.80,-266.70,0,0.20,0.21,29330,117860,7.00,174,43930,58776,5,39,58,13,35,142,0.51,1.62,25.00,1190,0.00,0.13,0.25,-0.08,269.78,1786.40,-9.82,-57.16,62.08,0.16,0.06,
"bobababo",2426,4.35,12.70,4.60,7.30,0,2,6,2,0,80,9, 12, 81, 10, 6, 17,1,5,65, 343673, 260595, 48701, 79.70, 149257,1802.1,0,10601,3628,3792,0,72623,46211,78.50,428,7864,29275,22,7,19,0,2,12,0.59,5.86,100.00,1844,0.00,2.50,5.50,0.00,332.60,2007.40,39.15,83.05,-155.20,0.23,0.35,220943,140916,73.83,1310,16539,91447,82,31,37,8,5,47,0.67,3.84,83.33,1454,33.33,3.00,6.67,1.40,465.63,3898.20,53.40,153.28,21.00,0.26,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50107,73468,1.50,194,24298,28535,23,8,17,1,5,22,0.67,5.00,50.00,1484,50.00,2.50,7.00,-0.30,420.10,2717.60,99.95,124.55,39.70,0.23,0.31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
