"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"pudding Sook",3.51,7.3,4.5,8.5,1,9,0,0,0,60,22,7,12,2,5,56,90.58
"SIothstronaut",2.86,9.90,6.30,8.10,0,1,9,0,0,60,8,4,14,5,3,54,115.37
"League of Shadow",3.55,2.50,4.00,11.70,0,2,1,0,7,50,26,2,15,5,4,56,56.05
"xPLzzZx",2.62,7.20,5.50,7.20,1,2,4,3,0,40,18,14,18,7,8,55,67.15
"Boat o Goats",3.50,0.90,3.40,11.00,0,0,3,0,7,50,18,1,11,4,3,58,40.02
"Pretender XII",2.39,10.10,7.40,7.60,0,0,1,9,0,40,7,18,18,2,4,64,98.05
"Hickory Nips",2.18,8.80,7.40,7.30,0,0,2,8,0,60,0,16,17,5,4,48,31.12
"Tiamative I XM ",1.87,3.60,6.00,7.60,7,1,0,0,2,30,13,6,12,2,4,50,20.92
"Angelz9",1.77,4.00,5.30,5.40,1,8,0,0,1,30,2,5,13,4,1,43,72.98
"Morales",3.56,2.40,4.30,12.90,4,0,0,0,6,80,26,4,17,6,6,55,35.52
"Time Jump",2.76,4.40,4.10,6.90,3,0,0,7,0,70,2,18,15,2,5,42,27.22
"Sekhem",4.02,7.50,4.50,10.60,0,4,2,0,4,70,18,4,17,3,5,60,75.72
"LukeSpencer",2.70,6.80,6.60,11.00,0,2,5,3,0,70,10,12,14,3,6,59,32.77
"Dphat",2.48,4.50,5.00,7.90,0,7,0,3,0,50,8,12,9,5,5,52,69.88
"UnPoppylar",2.82,3.80,4.90,10.00,3,3,0,0,4,60,22,9,16,8,3,52,67.42
"EndQuick",2.04,8.00,6.80,5.90,0,0,1,9,0,40,6,20,14,3,6,53,89.50
"Lunaxiel",1.98,4.70,6.10,7.40,0,7,3,0,0,60,19,8,21,5,6,48,77.43
