"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"Inoperable Heart",2.84,7.5,5,6.7,1,9,0,0,0,50,24,10,12,1,4,57,86.77,1887.4
"SIothstronaut",1.77,4.90,5.30,4.50,0,1,8,1,0,30,6,2,10,2,0,50,79.90,1685.3
"League of Shadow",3.55,2.50,4.00,11.70,0,2,1,0,7,50,26,2,15,5,4,56,56.05,1884
"xPLzzZx",3.90,7.60,4.00,8.00,1,3,6,0,0,50,21,11,20,7,6,65,105.33,1955
"Boat o Goats",4.46,0.90,2.60,10.70,0,0,1,0,9,70,28,4,13,4,2,55,24.82,1568.9
"Pretender XII",2.27,7.10,6.20,7.00,0,1,1,8,0,30,5,9,15,1,3,63,103.83,1827.7
"Tiamative I XM ",1.87,3.60,6.00,7.60,7,1,0,0,2,30,13,6,12,2,4,50,20.92,1789.5
"Morales",4.71,2.60,3.10,12.00,3,2,0,0,5,90,23,5,22,2,7,54,62.12,1840.1
"Time Jump",2.98,6.80,5.00,8.10,0,0,0,10,0,40,0,10,12,1,3,53,51.93,2062.6
"Sekhem",1.60,3.30,5.50,5.50,8,0,1,0,1,50,9,23,14,3,5,37,208.62,1817.3
"LukeSpencer",2.70,6.80,6.60,11.00,0,2,5,3,0,70,10,12,14,3,6,59,32.77,2019
"Dphat",2.46,6.70,5.90,7.80,0,6,0,2,2,50,7,14,17,8,7,56,82.88,1753.6
"UnPoppylar",2.76,1.00,5.00,12.80,1,0,0,0,9,60,26,1,20,1,6,56,58.57,1984.3
"EndQuick",2.38,6.60,5.20,5.80,2,0,1,7,0,40,9,13,12,2,6,56,59.15,1852.1
"Lunaxiel",1.19,3.40,6.90,4.80,0,9,0,1,0,10,22,0,10,1,2,42,72.27,1785.8
