"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Inoperable Heart",2.65,7.8,5.5,6.8,1,9,0,0,0,40,26,54,68,10,3,10,0,4,59,181734,334060,104379,5082,127985,1922.8
"SIothstronaut",1.58,4.10,5.30,4.30,0,3,6,1,0,20,7, 38, 144, 2, 0, 9,1,0,47, 122802, 182531, 27946, 73.65, 92853,1739.3
"League of Shadow",3.05,2.50,4.10,10.00,1,2,1,0,6,50,25, 82, 202, 5, 1, 15,5,5,53, 93352, 209930, 57664, 53.45, 102148,1861.7
"xPLzzZx",1.89,2.70,4.60,6.00,0,4,2,2,2,40,18, 39, 119, 6, 0, 12,5,1,57, 107988, 196711, 39283, 68.15, 86116,1663.8
"Boat o Goats",6.23,1.60,2.60,14.60,0,0,1,0,9,80,31, 36, 175, 1, 0, 16,5,4,61, 54903, 110519, 167590, 29.38, 93830,1817.9
"Pretender XII",2.27,7.10,6.20,7.00,0,1,1,8,0,30,5, 16, 48, 9, 1, 15,1,3,63, 214127, 211892, 33949, 103.83, 117964,1827.7
"Tiamative I XM ",1.87,3.60,6.00,7.60,7,1,0,0,2,30,13, 47, 142, 6, 0, 12,2,4,50, 159267, 256535, 44261, 20.92, 107434,1789.5
"Angelz9",1.80,4.70,5.50,5.20,6,4,0,0,0,30,0, 25, 98, 10, 2, 12,2,1,40, 145501, 239027, 40753, 43.73, 112299,1926.1
"Morales",4.71,2.60,3.10,12.00,3,2,0,0,5,90,23, 51, 181, 5, 3, 22,2,7,54, 87443, 268204, 83891, 62.12, 106000,1840.1
"Time Jump",2.77,4.80,3.90,6.00,7,0,1,2,0,60,7, 62, 83, 12, 1, 20,4,2,51, 155557, 231534, 39073, 71.17, 111607,1741.3
"Sekhem",2.24,6.40,5.50,5.90,1,4,5,0,0,40,13, 45, 112, 8, 4, 14,5,1,55, 165855, 220948, 49920, 122.55, 113959,1774.9
"LukeSpencer",2.93,8.20,5.80,8.80,4,1,5,0,0,60,9, 21, 133, 12, 2, 15,4,5,58, 254728, 243895, 26358, 33.40, 124802,1871.4
"Dphat",2.46,6.70,5.90,7.80,0,6,0,2,2,50,7, 34, 91, 14, 3, 17,8,7,56, 188960, 249142, 64095, 82.88, 123311,1753.6
"UnPoppylar",2.42,1.20,5.70,12.60,0,0,0,0,10,40,29, 98, 297, 1, 1, 16,3,2,59, 82252, 187707, 49852, 49.98, 93606,1907.2
"EndQuick",1.82,4.50,6.00,6.40,0,4,0,6,0,30,4, 40, 104, 7, 2, 15,6,3,48, 158805, 225123, 51561, 50.40, 111917,1897.9
"Lunaxiel",1.52,2.60,6.60,7.40,0,10,0,0,0,30,21, 47, 89, 1, 0, 9,5,3,51, 123752, 304392, 108104, 77.68, 98174,1800.5
