"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"Hi I am LaoLao",2.92,7.6,5.3,7.9,2,7,1,0,0,20,21,54,95,9,1,14,0,7,60,205913,349153,104175,5844,126789,1902.1,4018,1720,13283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18044,36964,6,62,11878,12515,9,5,5,3,4,7,0.78,0,0,469,39091,64453,61.5,334,11227,24762,14,12,15,2,10,28,0.42,2.42,50,246,148778,247736,2.71,656,81070,89512,53,36,59,16,40,60,0.66,3.11,14.29,5129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SIothstronaut",1.44,4.50,5.70,3.70,0,3,6,1,0,10,10, 38, 139, 1, 0, 7,1,0,49, 125427, 187149, 28403, 65.57, 92736,1730.2,0,9570,6220,1512,0,13649,12523,50.00,141,1885,8486,3,4,7,0,0,8,0.63,2.50,0.00,0,76970,95898,46.00,657,9923,52839,26,35,20,8,10,65,0.43,0.00,16.67,2621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34808,78728,1.00,237,16595,31411,16,18,10,2,28,66,0.57,1.44,0.00,1313,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"League of Shadow",3.05,2.50,4.10,10.00,1,2,1,0,6,50,25, 82, 202, 5, 1, 15,5,5,53, 93352, 209930, 57664, 53.45, 102148,1861.7,1868,1505,4103,0,11141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18388,13676,60.00,129,860,9665,7,3,5,2,2,12,0.46,0.00,100.00,226,16945,22651,67.00,275,8556,14541,2,4,3,1,4,16,0.25,1.25,100.00,60,17626,52766,6.00,177,19094,23757,6,6,16,6,27,25,0.47,3.67,50.00,1622,40393,120837,5.17,211,29154,54185,10,28,76,16,49,149,0.61,3.07,33.33,1299,
"xPLzzZx",3.49,8.60,4.90,8.50,0,3,0,7,0,30,10, 30, 115, 17, 3, 16,1,3,67, 250588, 242626, 57794, 76.33, 131282,2079.7,0,0,7391,13406,0,178874,118180,65.14,1240,22363,89115,63,32,51,4,12,72,0.68,3.56,28.57,1617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71714,124446,1.67,217,35431,42167,23,17,34,6,18,43,0.65,3.35,33.33,2963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Boat o Goats",6.23,1.60,2.60,14.60,0,0,1,0,9,80,31, 36, 175, 1, 0, 16,5,4,61, 54903, 110519, 167590, 29.38, 93830,1817.9,0,1951,0,0,16228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21920,28651,67.00,163,12385,13711,11,3,2,2,3,10,0.41,0.00,100.00,215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32983,81868,1.89,64,155205,80119,5,23,144,29,33,165,0.64,6.48,77.78,1548,
"Pretender XII",3.81,7.80,3.70,6.30,0,3,0,7,0,50,17, 34, 55, 12, 1, 12,2,2,57, 204012, 199161, 56147, 68.62, 123352,1816.9,0,0,5647,12522,0,153275,124041,71.71,1311,21798,83844,55,30,39,11,15,34,0.54,3.13,42.86,2245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50737,75120,4.00,291,34349,39508,23,7,24,6,19,21,0.64,6.71,66.67,1872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Tiamative I XM ",1.87,3.60,6.00,7.60,7,1,0,0,2,30,13, 47, 142, 6, 0, 12,2,4,50, 159267, 256535, 44261, 20.92, 107434,1789.5,12959,0,1860,0,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118920,197579,53.43,1262,36968,79657,25,43,49,8,25,92,0.51,1.72,28.57,622,19272,22976,1.00,63,6746,12634,9,5,11,1,3,14,0.54,4.00,100.00,397,21075,35980,5.00,54,547,15143,2,12,16,4,19,36,0.46,1.50,0.00,236,
"Angelz9",1.80,4.70,5.50,5.20,6,4,0,0,0,30,0, 25, 98, 10, 2, 12,2,1,40, 145501, 239027, 40753, 43.73, 112299,1926.1,11815,0,7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89149,138074,44.50,1048,19309,68188,19,25,42,0,10,51,0.37,2.44,33.33,1238,56352,100953,0.50,310,21444,44111,28,30,10,0,15,47,0.46,1.27,25.00,1386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Morales",4.22,3.10,3.70,12.50,3,2,0,1,4,90,27, 51, 205, 7, 1, 24,4,7,57, 95507, 285842, 76929, 67.80, 109532,1925.7,4942,0,5293,2479,6543,8590,40639,15.00,55,3847,12621,5,9,19,4,7,36,0.71,2.67,100.00,187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37902,70547,55.00,461,16032,30384,12,10,22,4,6,36,0.47,3.40,66.67,731,24408,98599,1.50,179,42230,30906,5,6,20,6,17,49,0.45,4.17,100.00,1668,24607,76057,9.00,111,14820,35621,9,12,64,13,21,84,0.63,6.08,100.00,1482,
"Time Jump",2.49,5.00,4.70,6.70,4,0,2,4,0,40,2, 25, 92, 8, 3, 13,1,2,45, 173828, 194297, 30745, 134.58, 111041,1811.8,7164,3348,0,7606,0,85394,65068,61.75,776,12348,51436,24,15,29,0,22,36,0.48,3.53,75.00,1190,19451,33951,36.00,283,2838,18592,7,11,9,0,0,16,0.46,0.00,0.00,427,68983,95278,54.75,607,15559,41013,19,21,29,2,3,40,0.43,2.29,25.00,6458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
