"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Hi I am LaoLao",1800,2.92,7.6,5.3,7.9,2,7,1,0,0,20,21,54,95,9,1,14,0,7,60,205913,349153,104175,5844,126789,1902.1,4018,1720,13283,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18044,36964,6,62,11878,12515,9,5,5,3,4,7,0.78,2.8,0,469,0,3,3,0,431,0,0,0,0,0.25,0.26,39091,64453,61.5,334,11227,24762,14,12,15,2,10,28,0.42,2.42,50,246,0,1.5,3,1.85,410.75,2297.2,-20.85,105.2,10.5,0.2,0.19,148778,247736,2.71,656,81070,89512,53,36,59,16,40,60,0.66,3.11,14.29,5129,14.29,1.71,3.57,-0.11,365.56,2097.52,39.5,-18.7,7.43,0.22,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SIothstronaut",1860,1.53,4.80,5.90,4.20,0,3,6,1,0,10,11, 31, 137, 1, 0, 8,1,0,51, 130317, 199013, 29347, 68.90, 95707,1762.1,0,9570,6539,1512,0,13649,12523,50.00,141,1885,8486,3,4,7,0,0,8,0.63,2.50,0.00,0,0.00,1.00,2.00,0.00,324.70,0,5.45,-132.90,0,0.20,0.25,76970,95898,46.00,657,9923,52839,26,35,20,8,10,65,0.43,1.31,16.67,2621,0.00,0.83,2.33,-0.97,393.77,2694.65,-39.25,-107.78,-91.25,0.20,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39698,90592,2.00,244,17539,34382,19,20,15,3,21,64,0.61,1.70,0.00,1513,0.00,1.67,2.33,-0.13,307.60,1116.87,-18.07,-49.67,-107.03,0.20,0.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"League of Shadow",1861,3.05,2.50,4.10,10.00,1,2,1,0,6,50,25, 82, 202, 5, 1, 15,5,5,53, 93352, 209930, 57664, 53.45, 102148,1861.7,1868,1505,4103,0,11141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18388,13676,60.00,129,860,9665,7,3,5,2,2,12,0.46,4.00,100.00,226,0.00,1.00,5.00,-1.20,471.80,0,12.70,34.20,0,0.20,0.30,16945,22651,67.00,275,8556,14541,2,4,3,1,4,16,0.25,1.25,100.00,60,0.00,0.00,0.00,-0.80,443.80,1698.10,30.20,-98.20,151.50,0.22,0.19,17626,52766,6.00,177,19094,23757,6,6,16,6,27,25,0.47,3.67,50.00,1622,50.00,0.50,1.50,-0.05,287.35,1322.50,-90.95,-136.50,166.60,0.19,0.10,40393,120837,5.17,211,29154,54185,10,28,76,16,49,149,0.61,3.07,33.33,1299,0.00,0.17,0.33,-0.30,265.45,1080.60,-13.72,-17.50,85.41,0.16,0.09,
"xPLzzZx",1794,3.67,9.40,4.90,8.60,0,4,0,6,0,40,11, 43, 112, 19, 5, 22,2,4,68, 271659, 269803, 66082, 101.68, 148930,2270.3,0,0,10760,11943,0,167098,102465,67.33,1125,20810,81208,60,25,45,4,8,63,0.70,4.20,33.33,1500,33.33,2.17,5.17,0.00,311.95,1521.15,30.11,64.24,-44.44,0.23,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104561,167338,2.25,305,45272,67722,34,24,41,7,35,49,0.66,3.13,50.00,4601,0.00,2.25,3.50,-0.03,294.30,1144.08,-18.30,-15.25,-45.80,0.21,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Boat o Goats",2120,4.85,1.80,3.40,14.70,0,0,1,0,9,70,30, 40, 193, 2, 0, 15,5,4,62, 57051, 125797, 169093, 32.60, 98431,1992.4,0,1951,0,0,17973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21920,28651,67.00,163,12385,13711,11,3,2,2,3,10,0.41,4.33,100.00,215,0.00,2.00,6.00,-0.50,432.60,1293.30,-11.40,19.80,-78.60,0.22,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35131,97146,1.89,73,156708,84720,7,31,145,28,37,183,0.64,4.90,66.67,1741,0.00,0.00,0.00,-0.16,274.21,1282.33,-22.51,24.12,-27.31,0.15,0.04,
"Pretender XII",1900,3.08,7.70,4.90,7.40,0,2,0,8,0,40,6, 26, 34, 19, 5, 14,4,4,64, 227079, 193809, 44413, 67.70, 125578,1896.4,0,0,3580,15384,0,197666,131663,64.63,1554,24802,103237,61,40,66,4,23,30,0.65,3.17,50.00,3135,25.00,1.63,5.38,0.00,308.99,1547.76,4.31,10.58,-44.06,0.22,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29413,62146,3.00,151,19611,22341,16,9,8,2,3,4,0.59,2.67,0.00,927,0.00,3.00,3.00,-1.25,315.70,2102.80,-37.40,30.50,-114.30,0.22,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Tiamative I XM ",1740,1.87,3.60,6.00,7.60,7,1,0,0,2,30,13, 47, 142, 6, 0, 12,2,4,50, 159267, 256535, 44261, 20.92, 107434,1789.5,12959,0,1860,0,3076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,118920,197579,53.43,1262,36968,79657,25,43,49,8,25,92,0.51,1.72,28.57,622,0.00,0.86,2.00,-1.07,417.29,2504.00,-17.00,-64.60,-116.43,0.20,0.23,19272,22976,1.00,63,6746,12634,9,5,11,1,3,14,0.54,4.00,100.00,397,0.00,3.00,3.00,0.00,272.70,1252.30,-69.60,110.90,139.70,0.20,0.21,21075,35980,5.00,54,547,15143,2,12,16,4,19,36,0.46,1.50,0.00,236,0.00,0.00,0.00,0.10,233.65,1077.20,-50.15,-52.45,-54.05,0.16,0.12,
"Angelz9",1775,1.80,4.70,5.50,5.20,6,4,0,0,0,30,0, 25, 98, 10, 2, 12,2,1,40, 145501, 239027, 40753, 43.73, 112299,1926.1,11815,0,7446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89149,138074,44.50,1048,19309,68188,19,25,42,0,10,51,0.37,2.44,33.33,1238,0.00,0.67,1.17,-2.03,395.32,1808.28,-37.37,-11.78,-93.93,0.19,0.17,56352,100953,0.50,310,21444,44111,28,30,10,0,15,47,0.46,1.27,25.00,1386,25.00,2.00,2.50,-0.30,317.42,1490.47,-26.75,-28.62,-152.10,0.21,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Morales",2099,4.22,3.10,3.70,12.50,3,2,0,1,4,90,27, 51, 205, 7, 1, 24,4,7,57, 95507, 285842, 76929, 67.80, 109532,1925.7,4942,0,5293,2479,6543,8590,40639,15.00,55,3847,12621,5,9,19,4,7,36,0.71,2.67,100.00,187,0.00,0.00,0.00,-1.17,223.00,976.40,0.00,0.00,0.00,0.15,0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37902,70547,55.00,461,16032,30384,12,10,22,4,6,36,0.47,3.40,66.67,731,0.00,1.00,2.33,-1.17,429.23,3370.50,-1.63,81.77,32.80,0.19,0.19,24408,98599,1.50,179,42230,30906,5,6,20,6,17,49,0.45,4.17,100.00,1668,50.00,0.50,1.00,-0.45,313.65,1168.00,-43.25,6.65,11.35,0.18,0.09,24607,76057,9.00,111,14820,35621,9,12,64,13,21,84,0.63,6.08,100.00,1482,0.00,0.25,0.50,-0.12,276.38,2745.80,2.90,101.05,59.95,0.16,0.09,
"Time Jump",1971,2.61,6.40,5.40,7.70,0,1,3,6,0,60,0, 26, 60, 12, 3, 11,1,3,53, 185314, 183643, 38546, 56.18, 108139,1751,0,5579,2081,9850,0,109737,89993,59.50,774,14488,61963,34,32,51,0,13,41,0.54,2.66,66.67,1281,0.00,1.17,3.00,0.00,281.20,2310.40,-22.07,-18.82,-63.78,0.20,0.23,62275,63684,52.00,401,10925,34930,27,16,21,0,12,13,0.51,3.00,66.67,560,66.67,2.00,3.67,0.40,430.67,1724.05,61.23,-27.97,-154.70,0.20,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13302,29966,3.00,103,13133,11246,3,6,5,0,1,6,0.47,1.33,0.00,1530,0.00,0.00,0.00,-0.20,316.30,1131.40,-54.20,178.80,-98.80,0.21,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
