"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"tryndamere1029",3.1,5,2.9,4,3,4,0,0,0,57,2,4,10,3,5,52,33.03
"Grokmir the bold",4.77,6.80,3.50,9.90,5,5,0,0,0,90,9,17,18,4,7,58,154.30
"Toxic boys",2.23,5.50,5.60,7.00,2,1,4,2,1,50,15,4,16,1,3,48,116.47
"Batman Superman",2.88,4.60,4.20,7.50,1,8,1,0,0,50,14,9,12,4,6,47,94.45
"Oncovirus",3.84,10.10,4.50,7.20,0,2,7,1,0,70,11,9,19,2,7,56,39.05
"SnipingHobo",3.18,5.00,4.50,9.30,0,0,0,3,7,80,14,9,18,6,3,52,47.75
"secret Champion",2.32,5.00,6.50,10.10,5,0,1,0,4,50,8,8,18,2,2,55,74.72
"Capabul",2.18,9.90,7.70,6.90,0,0,2,8,0,30,2,6,13,2,1,61,83.37
"Mathuehue",1.92,4.10,5.10,5.70,5,5,0,0,0,50,3,6,9,3,4,49,87.25
"Stoiso",2.35,5.30,5.40,7.40,4,6,0,0,0,50,16,8,15,4,1,46,71.08
"Lord Cman",2.55,6.00,5.10,7.00,0,6,3,0,1,40,3,3,11,1,2,58,95.12
"Inelegant",3.81,5.50,3.70,8.60,0,1,0,9,0,40,23,14,14,7,2,65,63.32
"Rumpel Swoleskin",2.31,7.30,5.80,6.10,6,0,4,0,0,40,16,16,15,3,6,48,114.98
"Lymeh",1.59,2.60,5.80,6.60,7,0,3,0,0,20,15,5,14,2,1,43,37.85
"iMiiko",2.26,0.60,4.60,9.80,0,0,0,0,10,30,8,1,10,0,1,51,19.03
"T33moSoloMid",2.43,6.10,5.10,6.30,1,9,0,0,0,70,0,10,15,1,6,45,132.27
"ShangFenXinTai",3.50,8.30,4.00,5.70,4,0,6,0,0,70,20,8,12,8,2,52,74.50
"NinjaTonyz",3.07,2.30,5.40,14.30,0,0,0,1,9,70,28,1,20,3,5,61,71.17
"Avis Brown Champ",3.56,8.00,4.10,6.60,0,1,4,5,0,60,5,13,15,2,5,61,45.93
"Jay to the Izzo",1.89,4.50,7.20,9.10,3,2,3,1,1,40,3,7,16,2,8,56,119.28
"awful",2.85,6.30,6.10,11.10,2,4,0,3,1,30,2,6,12,3,4,60,127.35
"TFTH",2.33,2.50,6.40,12.40,4,0,1,0,5,60,16,6,19,4,5,56,78.17
"Kamikaze Pilot",3.65,6.70,4.30,9.00,0,5,3,2,0,50,14,15,14,3,4,53,150.27
"Fczw",2.16,8.30,6.10,4.90,3,0,0,7,0,30,7,17,13,3,2,60,80.22
"Wulise Jungle",1.64,6.10,7.50,6.20,0,9,1,0,0,30,6,4,15,1,1,48,43.72
"Immense X",3.15,2.70,4.10,10.20,7,0,0,0,3,60,0,9,13,3,4,51,145.48
"OId Bay",3.37,5.60,5.40,12.60,0,0,1,5,4,70,9,12,20,3,3,52,53.03
"eunseogguh",1.93,5.50,6.70,7.40,4,0,3,1,2,60,14,15,17,6,6,46,102.07
"Sanger00",4.21,9.00,3.30,4.90,10,0,0,0,0,40,0,8,19,6,4,51,271.63
"Devil kurten",3.63,3.60,3.20,8.00,0,9,1,0,0,30,14,3,5,0,1,57,83.70
"IG CoachMelvin",1.69,2.70,5.40,6.40,0,5,1,0,4,20,23,3,9,3,1,48,70.40
"DimpIe",2.63,2.40,5.10,11.00,0,1,0,2,7,60,9,1,16,1,3,52,78.50
"AsianNinjaBoy",2.77,2.80,4.40,9.40,0,0,0,3,7,30,21,3,10,2,2,54,59.67
"Furry Pride Wolf",2.34,8.10,6.50,7.10,8,0,2,0,0,40,10,14,14,2,3,62,44.48
"CashOnDelivery",2.77,6.50,4.30,5.40,10,0,0,0,0,70,19,17,18,6,5,41,142.53
"Utmosteffort",2.20,6.80,5.50,5.30,6,0,2,0,2,60,14,9,15,2,5,50,50.37
"thusness",3.51,6.00,3.50,6.30,0,0,9,1,0,60,19,15,19,0,5,47,43.37
"Septimeaus",1.73,4.20,6.30,6.70,6,0,4,0,0,50,1,6,9,0,2,51,50.25
"Nightmaroon",2.78,5.90,4.90,7.70,9,1,0,0,0,50,18,16,15,2,3,53,284.50
