"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"tryndamere1029",3.26,7.2,3.8,5.2,3,6,0,0,0,56,3,9,13,5,6,56,53.27,1734.7777777777778
"Grokmir the bold",3.70,4.60,3.70,9.10,4,6,0,0,0,60,7,11,16,3,4,50,130.05,1856.4
"Toxic boys",1.96,4.90,5.70,6.30,2,1,1,4,2,20,14,3,10,3,3,49,48.67,1756.2
"Batman Superman",3.48,6.00,4.40,9.30,0,5,5,0,0,50,10,7,17,1,6,51,115.93,2121.8
"Oncovirus",2.67,6.90,5.80,8.60,0,0,6,4,0,40,7,6,18,3,1,57,49.17,2025
"SnipingHobo",2.52,3.90,5.00,8.70,0,0,1,2,7,50,16,4,14,0,3,48,44.97,1903
"secret Champion",1.93,3.60,5.70,7.40,5,0,1,2,2,40,4,6,16,2,1,46,120.85,1854.1
"Legendury Ad",2.09,8.90,8.50,8.90,0,0,0,10,0,80,0,9,16,4,9,54,29.47,1917.7
"Mathuehue",1.47,4.40,5.70,4.00,9,1,0,0,0,30,0,7,5,0,3,41,29.05,1759.4
"Stoiso",3.33,5.00,4.90,11.30,2,4,0,0,4,50,27,1,20,1,6,54,87.62,2023.3
"Lord Cman",2.60,4.70,5.50,9.60,1,1,2,3,3,60,3,6,14,2,4,46,67.25,1899.6
"Inelegant",3.40,6.80,5.20,10.90,0,1,7,2,0,50,42,8,17,4,6,57,36.85,2261.2
"Rumpel Swoleskin",3.45,7.70,4.20,6.80,1,1,7,1,0,50,15,15,19,2,3,59,48.73,1916.7
"Lymeh",2.68,5.60,5.30,8.60,4,1,4,0,1,50,19,15,19,4,4,50,49.07,2034.6
"Miiko",2.77,0.20,5.30,14.50,0,0,0,0,10,50,7,1,21,4,4,53,28.12,2153.6
"T33moSoloMid",2.91,5.30,4.50,7.80,2,8,0,0,0,70,2,13,17,2,5,42,184.08,1886.7
"ShangFenXinTai",1.97,6.60,6.40,6.00,0,3,7,0,0,40,25,8,13,3,5,53,29.27,1887.7
"NinjaTonyz",4.44,1.90,3.40,13.20,0,0,0,0,10,70,21,4,19,2,3,67,59.62,1830
"Avis Brown Champ",2.94,6.40,5.00,8.30,0,2,6,2,0,60,3,17,17,3,3,65,101.05,1905
"awful",3.32,8.10,6.60,13.80,0,2,1,4,3,60,5,6,22,4,5,67,87.05,2174
"TFTH",2.14,2.50,6.60,11.60,4,0,1,0,5,50,18,6,20,4,4,55,78.10,1949.9
"Kamikaze Pilot",3.41,6.10,4.40,8.90,0,5,2,2,1,50,15,16,12,4,3,52,147.93,1977.3
"Fczw",2.16,8.30,6.10,4.90,3,0,0,7,0,30,7,17,13,3,2,60,80.22,1843.6
"Wulise Jungle",1.81,6.70,6.30,4.70,0,9,1,0,0,40,2,7,12,0,1,54,89.40,1702.2
"Immense X",2.81,2.40,4.80,11.10,6,0,0,0,4,50,0,8,9,3,4,55,62.00,1857.1
"OId Bay",1.87,6.90,7.10,6.40,1,1,7,1,0,40,3,5,21,4,9,49,59.05,2195.1
"eunseogguh",1.93,5.50,6.70,7.40,4,0,3,1,2,60,14,15,17,6,6,46,102.07,1817.1
"Sanger00",3.48,8.40,4.00,5.50,10,0,0,0,0,30,0,8,18,5,5,52,277.63,2232.7
"Devil kurten",2.77,3.70,4.80,9.60,4,6,0,0,0,30,15,8,14,1,2,59,84.35,2097.5
"IG CoachMelvin",1.69,2.70,5.40,6.40,0,5,1,0,4,20,23,3,9,3,1,48,70.40,1913.4
"DimpIe",3.82,3.10,3.80,11.40,0,0,1,1,8,60,13,0,18,4,4,58,55.40,1785.2
"AsianNinjaBoy",4.00,2.00,3.20,10.80,0,1,0,2,7,50,13,5,13,3,2,53,18.82,1637.7
"Furry Pride Wolf",1.80,5.50,6.10,5.50,9,0,1,0,0,50,18,9,11,4,8,49,183.28,1788.9
"CashOnDelivery",3.43,4.60,3.70,8.10,5,0,5,0,0,70,25,23,19,4,6,46,160.13,2033.8
"Utmosteffort",2.40,5.90,5.70,7.80,9,0,1,0,0,80,18,8,16,4,5,47,32.33,1935.1
"thusness",3.07,4.70,4.40,8.80,0,0,4,6,0,70,10,11,15,4,6,48,64.48,1830.5
"Septimeaus",1.57,4.20,6.80,6.50,6,0,4,0,0,50,1,6,9,0,2,50,52.88,1732.6
"Nightmaroon",3.11,4.10,4.60,10.20,1,8,0,1,0,50,11,7,16,6,5,53,93.20,1841.1
