"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"tryndamere1029",1934,2.39,7.1,4.6,3.9,4,5,0,1,0,40,0,19,88,14,2,13,2,4,45,146478,251876,65296,3252,117680,1797.2,6512,0,9027,2433,0,16596,24029,51,239,1856,15970,8,8,8,0,3,8,0.48,2,0,106,0,2,4,1.12,285.4,1278.2,-55.95,-17.15,107.65,0.21,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52050,101451,62.75,667,27628,42143,28,14,5,0,8,32,0.43,2.36,25,539,25,1,5.75,1.12,450.7,4379.6,75.65,117.75,-121.6,0.22,0.21,77832,126396,1,468,35812,59567,35,24,26,0,8,48,0.45,2.54,60,2607,20,1.8,3,-0.74,368.32,1954.87,-34.64,-53.78,6.9,0.2,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Toxic boys",1971,3.67,7.50,4.30,8.30,2,2,2,0,4,50,16, 39, 138, 8, 0, 15,2,1,51, 176717, 213687, 55024, 70.13, 121765,1960.5,3231,4198,4483,0,7693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43155,39283,79.50,395,4438,28511,20,9,19,2,2,26,0.47,4.33,50.00,732,0.00,2.50,6.50,2.65,491.05,2406.70,142.75,-16.50,69.40,0.21,0.21,30224,38812,64.50,352,10490,21385,12,5,8,1,2,12,0.43,4.00,50.00,1826,0.00,2.00,3.50,1.90,483.20,1992.40,117.10,43.20,13.60,0.22,0.20,38369,60548,2.50,194,21634,28296,19,13,9,1,15,25,0.55,2.15,0.00,871,0.00,2.50,2.00,-0.35,306.95,2076.10,3.85,-49.80,-36.80,0.21,0.17,64969,75044,6.25,172,18462,43573,24,16,47,12,20,75,0.56,4.44,75.00,779,25.00,1.25,3.50,-0.29,261.18,1262.50,-24.57,17.00,10.93,0.18,0.17,
"Batman Superman",2000,3.15,4.60,4.00,8.00,7,2,1,0,0,70,10, 31, 105, 10, 0, 20,5,5,42, 134393, 248769, 53895, 104.78, 119724,1913.7,12264,2153,4720,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16833,17214,54.00,189,1436,13177,7,4,9,1,2,16,0.59,4.00,100.00,152,0.00,2.00,4.00,-1.70,413.60,1345.60,-76.80,-48.30,33.50,0.20,0.21,77709,145301,53.71,1234,25320,75274,25,28,41,5,9,74,0.35,2.36,57.14,5216,0.00,0.71,2.86,-1.51,426.11,2088.50,-19.03,-36.53,3.23,0.19,0.15,39851,86254,3.00,194,27139,31273,14,8,30,4,20,15,0.53,5.50,100.00,919,0.00,2.00,4.50,-0.25,342.45,1366.70,-39.20,9.55,-79.40,0.20,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Oncovirus",2032,3.35,7.80,5.40,10.30,0,0,7,3,0,50,9, 34, 64, 6, 1, 22,4,4,56, 264089, 231358, 32665, 100.40, 140220,2130.7,0,14173,0,7134,0,93466,64107,62.67,802,12973,46471,18,12,46,0,10,23,0.65,5.33,0.00,1945,33.33,1.67,4.00,0.00,312.60,1242.37,-5.40,27.43,12.68,0.22,0.26,170623,167251,56.71,1312,19692,93749,60,42,57,9,24,41,0.52,2.79,71.43,4079,14.29,2.00,4.71,0.79,413.83,1693.66,40.09,83.83,-11.62,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"SnipingHobo",2000,1.86,1.90,6.60,10.40,0,0,0,1,9,30,16, 31, 268, 2, 1, 10,2,5,52, 169727, 146920, 11647, 65.40, 101125,1849.1,0,0,0,2148,16343,22008,13367,63.00,211,4048,13524,3,5,15,1,3,13,0.64,3.60,100.00,1615,0.00,1.00,2.00,0.00,326.80,1215.20,2.00,-118.80,298.30,0.19,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147719,133553,4.56,351,7599,87601,16,61,89,15,28,255,0.50,1.72,22.22,2309,11.11,0.33,0.44,-0.59,266.27,1345.98,-18.45,-35.81,-72.33,0.18,0.19,
"secret Champion",1842,1.66,2.50,6.80,8.80,2,3,0,0,5,60,14, 29, 168, 2, 0, 15,2,1,42, 137942, 234459, 43119, 73.40, 98601,1849.5,3343,0,5762,0,9390,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24441,41752,51.00,286,5330,17033,3,15,11,2,2,22,0.33,0.93,0.00,1089,100.00,0.50,1.00,0.25,420.65,2010.60,49.20,-138.80,-198.70,0.18,0.18,37772,98427,7.00,185,24244,31262,9,25,27,2,3,28,0.44,1.44,33.33,672,0.00,0.00,0.00,0.27,317.77,1660.40,-7.10,-50.47,-76.05,0.18,0.14,75729,94280,8.20,177,13545,50306,13,28,50,10,24,118,0.43,2.25,100.00,2643,0.00,0.80,1.20,-0.27,272.44,1355.93,8.36,143.72,19.63,0.16,0.16,
"Legendury Ad",1563,2.16,8.80,7.50,7.40,0,2,1,7,0,40,3, 13, 70, 8, 0, 11,3,5,62, 257717, 248907, 42081, 61.60, 132783,1965.5,0,2284,3293,14078,0,191662,169852,62.86,1361,28877,95656,66,56,56,0,13,47,0.63,2.18,28.57,2913,14.29,2.14,4.29,0.00,272.33,1731.45,-25.40,52.29,-61.78,0.23,0.29,34055,33837,67.00,225,6590,16106,10,7,6,1,0,8,0.62,2.29,100.00,298,0.00,3.00,3.00,-1.50,437.90,1316.90,-46.70,-219.50,115.30,0.23,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32000,45218,48.50,11,6614,21021,12,12,12,2,0,15,0.57,2.00,50.00,485,0.00,1.00,2.50,0.00,367.30,2063.30,0.00,0.00,0.00,0.21,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mathuehue",1765,1.60,4.20,5.80,5.10,7,3,0,0,0,30,0, 27, 94, 10, 1, 8,2,4,43, 146678, 314285, 59553, 45.20, 112947,1908.2,12838,0,6244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93332,204701,57.43,1312,33689,75221,29,42,34,0,11,56,0.39,1.50,42.86,1046,42.86,0.86,2.43,-0.89,389.87,2565.63,-59.19,-5.30,20.67,0.20,0.17,53346,109584,3.67,274,25864,37726,13,16,17,0,16,38,0.59,1.88,0.00,1666,0.00,0.67,2.00,-0.23,324.87,1731.05,-41.73,19.83,91.75,0.22,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Stoiso",1788,3.64,6.20,5.00,12.00,3,3,0,0,4,50,35, 55, 173, 6, 1, 25,0,5,54, 186661, 315229, 75609, 111.72, 126156,2164.9,5947,0,7662,0,8040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74045,100295,62.33,577,23384,40321,23,10,31,7,5,36,0.53,5.40,100.00,3990,0.00,1.67,3.33,1.87,433.03,3344.70,52.97,112.40,-30.00,0.20,0.23,63553,134344,2.67,214,39125,45181,24,21,43,9,15,29,0.57,3.19,33.33,1760,0.00,1.33,4.33,-0.33,305.50,1210.80,-75.50,46.60,-60.67,0.18,0.15,49063,80590,8.00,180,13100,40654,15,19,46,19,35,108,0.52,3.21,25.00,953,0.00,0.50,2.00,-0.03,269.38,1117.87,-23.70,19.24,-28.02,0.16,0.13,
"Lord Cman",2021,1.91,4.50,4.70,4.50,4,3,3,0,0,50,8, 22, 79, 6, 1, 10,1,4,43, 134898, 181304, 38166, 62.55, 93398,1460.3,4945,3914,5744,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44464,37234,62.67,399,3319,27214,17,12,7,0,2,17,0.36,2.00,66.67,652,0.00,1.33,2.67,0.90,418.07,2895.90,0.00,-71.90,99.30,0.21,0.29,49135,64755,60.50,471,16584,31822,17,20,13,4,3,23,0.48,1.50,50.00,579,25.00,0.50,3.00,0.95,414.88,0,13.33,65.50,0,0.21,0.28,41299,79315,8.33,220,18263,34362,11,15,25,4,17,39,0.45,2.40,33.33,2522,0.00,0.33,1.67,0.67,320.23,1619.30,-17.23,-105.23,-8.20,0.20,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
