"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"xX Kiwisorus Xx",3.38,3.1,4.7,12.8,0,0,1,0,9,80,57,1,21,4,8,47,25.92
"KimKiKi",2.50,3.70,4.60,7.80,2,2,0,1,5,60,23,4,12,3,5,52,37.88
"DoctorKyo",2.69,6.30,6.20,10.40,0,0,6,4,0,80,1,10,25,3,9,51,73.40
"B is for Bait",3.02,9.00,6.20,9.70,8,2,0,0,0,90,18,17,28,7,4,58,65.03
"Kerreynor",3.09,7.00,4.70,7.50,0,5,4,0,1,60,0,14,17,5,4,52,64.92
"Azuris",2.45,4.80,5.10,7.70,1,0,0,8,1,50,4,20,16,2,2,58,100.93
"BlazinVoid",1.94,4.20,6.30,8.00,2,7,1,0,0,40,3,6,15,3,3,50,138.80
"Vicis",2.26,6.20,6.20,7.80,0,0,2,8,0,40,9,11,17,3,8,56,31.08
"solgoon",3.20,8.70,5.00,7.30,0,0,1,9,0,50,5,10,13,0,5,61,44.43
"irnesto",2.93,7.10,5.90,10.20,3,0,7,0,0,60,18,8,18,3,5,59,46.65
"They Call Me",2.77,5.90,5.60,9.60,5,1,1,3,0,70,7,9,16,1,7,52,73.77
"rotilda",2.41,5.30,5.10,7.00,0,1,1,8,0,60,0,15,15,3,1,47,37.45
"Deadly Feline",2.16,4.60,6.40,9.20,0,5,0,0,5,40,3,11,13,5,3,52,42.67
"asian swain",2.53,7.90,5.50,6.00,3,0,7,0,0,70,8,16,12,4,3,53,133.95
"Bondstar",2.10,1.80,6.90,12.70,0,0,0,1,9,40,19,4,17,1,4,56,31.70
"lovenimei",2.28,4.40,4.60,6.10,7,3,0,0,0,70,13,8,20,5,5,48,51.95
"Haori",4.04,3.40,4.50,14.80,0,0,2,0,8,60,25,3,20,2,5,61,24.92
"all day ngga",2.02,4.20,5.30,6.50,2,2,4,2,0,50,4,9,16,5,3,42,53.03
"Team SoloNoob M",3.09,5.10,4.40,8.50,0,0,3,3,4,50,13,11,15,1,4,44,27.02
"ParkBoYoungBB",2.45,4.20,4.40,6.60,0,0,3,6,1,20,5,7,13,1,2,53,22.60
"Wookiee",2.12,5.50,6.80,8.90,0,0,0,5,5,30,13,8,16,3,3,52,38.53
"Remjeyy",2.05,4.80,5.70,6.90,1,1,4,3,1,20,13,10,13,1,3,58,40.63
"Hostess Twinkie",2.51,9.50,5.30,3.80,7,2,0,0,1,50,16,18,16,9,5,52,65.67
"TB Talon",3.00,6.50,3.60,4.30,3,7,0,0,0,60,1,9,12,6,7,48,160.23
"DarkRush",3.40,5.10,3.50,6.80,5,4,0,0,1,40,28,6,10,2,2,46,86.38
"iMikuu",2.88,4.30,5.20,10.70,0,3,6,0,1,60,0,3,18,4,4,56,203.67
"Derk",1.82,5.50,6.10,5.60,0,0,2,8,0,20,3,7,10,4,2,46,89.35
"Negromp",1.59,5.00,8.70,8.80,0,0,8,2,0,40,7,5,11,3,0,47,38.67
"Celestical",3.15,4.80,3.40,5.90,0,10,0,0,0,60,0,11,16,0,1,53,110.58
"Hi Im",4.00,5.00,3.60,9.40,1,6,3,0,0,70,0,8,16,1,7,48,88.18
"tomstone123",2.29,4.40,5.20,7.50,0,0,3,7,0,50,0,10,15,3,5,47,40.78
"Titanium VI",2.14,7.70,7.10,7.50,0,0,4,6,0,70,4,18,26,4,6,46,40.65
"Zmolol",3.15,5.20,5.20,11.20,1,1,0,3,5,60,4,7,15,1,5,58,83.43
"G U CK F R A N T",2.42,5.30,4.50,5.60,1,1,1,6,1,30,9,9,9,0,3,58,116.52
"wWoOlOfL",2.60,3.60,4.20,7.30,1,4,5,0,0,30,8,3,9,1,2,58,97.35
"Contractor Bk201",2.61,4.00,4.60,8.00,0,0,4,1,5,60,29,6,19,2,4,49,33.30
"Arcinic",4.10,2.30,4.20,14.90,0,0,0,0,10,60,47,1,18,4,4,65,28.25
"StickyIckyGirl",2.66,3.00,4.10,7.90,0,4,2,0,4,40,0,7,12,2,5,53,77.33
