"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration","AvgGameLength"
"xX Kiwisorus Xx",3.39,2.3,3.1,8.2,0,1,0,0,9,50,48,2,14,2,4,56,25.05,1847.5
"KimKiKi",2.50,3.70,4.60,7.80,2,2,0,1,5,60,23,4,12,3,5,52,37.88,1674.8
"DoctorKyo",1.64,5.60,7.30,6.40,0,0,5,5,0,60,5,13,14,4,6,46,126.83,1862.2
"B is for Bait",1.71,6.20,7.50,6.60,8,2,0,0,0,40,12,13,14,3,4,51,42.42,1880.4
"Kerreynor",2.13,5.10,6.90,9.60,0,7,3,0,0,30,0,5,14,5,4,54,83.48,1880.8
"Azuris",1.66,2.70,5.60,6.60,1,0,0,5,4,40,6,12,13,3,1,49,45.68,1651.7
"BlazinVoid",2.39,6.90,7.10,10.10,4,6,0,0,0,80,2,8,19,3,9,50,122.03,2132.9
"Vicis",2.16,4.10,5.50,7.80,0,0,2,7,1,30,14,7,16,3,3,51,44.05,1748.7
"solgoon",2.57,4.80,5.60,9.60,0,4,0,6,0,60,8,12,15,3,2,53,57.18,1825.7
"irnesto",2.88,7.70,6.40,10.70,6,4,0,0,0,80,21,11,16,1,7,55,110.97,1862.4
"They Call Me",3.00,5.60,3.80,5.80,3,2,1,4,0,60,6,10,13,3,2,47,40.30,1771.5
"rotilda",3.56,7.10,3.60,5.70,0,0,1,9,0,60,0,21,19,5,5,53,21.33,1842.7
"Deadly Feline",3.37,4.70,4.30,9.80,1,4,0,1,4,80,5,10,23,4,5,54,116.55,1850
"Bondstar",2.15,2.00,5.90,10.70,0,0,0,0,10,20,11,3,17,3,2,53,40.73,1840.9
"lovenimei",1.61,5.20,6.60,5.40,9,1,0,0,0,50,10,10,11,0,3,40,43.15,1673
"Haori",2.87,5.20,4.50,7.70,2,0,6,0,2,40,17,7,13,1,2,50,62.07,1732.7
"all day ngga",2.25,4.40,5.20,7.30,1,2,4,3,0,30,2,5,16,3,0,50,75.88,1838.5
"Team SoloNoob M",3.79,1.70,3.90,13.10,0,0,0,0,10,60,15,5,19,1,7,53,58.68,2100.8
"ParkBoYoungBB",2.57,5.50,4.20,5.30,0,0,6,4,0,30,10,6,14,1,4,53,43.38,1785.2
"Wookiee",2.69,3.80,5.20,10.20,0,0,0,4,6,40,14,7,14,4,2,54,39.62,1907.2
"Remjeyy",1.76,5.20,5.90,5.20,0,2,4,4,0,20,9,7,11,1,2,53,52.53,1764.8
"Hostess Twinkie",2.02,6.80,4.20,1.70,7,3,0,0,0,60,13,24,14,6,6,45,90.92,1594.9
"TB Talon",2.14,4.80,4.40,4.60,1,0,4,5,0,40,0,8,13,1,0,44,57.92,1797.1
"DarkRush",3.19,3.80,3.60,7.70,3,1,3,0,3,50,27,7,8,1,0,50,43.00,1680.5
"iMikuu",2.29,4.00,4.80,7.00,0,3,7,0,0,50,0,3,15,2,2,52,82.85,1740.1
"Derk",2.57,7.90,5.60,6.50,0,0,6,4,0,60,4,11,14,3,4,51,262.92,1798.6
"Negromp",3.17,0.40,3.60,11.00,0,0,0,0,10,70,14,1,14,4,2,51,38.92,1686.4
"Celestical",2.40,5.30,5.50,7.90,0,9,1,0,0,50,4,8,18,2,4,53,88.27,1851.6
"Hi Im",4.00,5.00,3.60,9.40,1,6,3,0,0,70,0,8,16,1,7,48,88.18,1972.5
"tomstone123",1.98,4.40,4.80,5.10,0,0,2,8,0,40,0,7,12,3,5,47,36.67,1702
"Titanium VI",2.07,7.30,6.70,6.60,0,0,5,5,0,60,5,16,23,4,5,47,35.93,1908.3
"Zmolol",2.72,3.80,5.70,11.70,1,2,0,1,6,50,11,4,12,0,8,59,118.92,2009.3
"G U CK F R A N T",2.42,5.30,4.50,5.60,1,1,1,6,1,30,9,9,9,0,3,58,116.52,1809.6
"wWoOlOfL",2.57,4.00,5.10,9.10,0,7,3,0,0,30,9,8,14,3,2,50,150.23,1861.2
"Contractor Bk201",2.61,4.00,4.60,8.00,0,0,4,1,5,60,29,6,19,2,4,49,33.30,1851.5
"Arcinic",3.79,1.90,2.90,9.10,0,0,0,3,7,60,29,3,15,1,2,53,31.38,1652.4
"StickyIckyGirl",2.66,3.00,4.10,7.90,0,4,2,0,4,40,0,7,12,2,5,53,77.33,1972.5
