"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"xX Kiwisorus Xx",3.5,2.5,4,11.5,1,0,1,0,8,60,47,86,316,5,2,16,4,5,59,117839,215777,39745,2058,102418,2025.7
"KimKiKi",2.50,3.70,4.60,7.80,2,2,0,1,5,60,23, 43, 180, 4, 0, 12,3,5,52, 110294, 182017, 30052, 37.88, 95634,1674.8
"DoctorKyo",1.76,7.00,9.00,8.80,0,0,5,5,0,70,0, 14, 118, 8, 3, 19,2,9,49, 249926, 234410, 24362, 43.23, 139138,2042.9
"B is for Bait",1.27,3.30,8.20,7.10,5,3,0,0,2,10,17, 46, 108, 10, 1, 10,3,1,48, 149092, 271625, 72133, 92.67, 102930,1808.6
"Kerreynor",1.70,4.90,5.60,4.60,0,10,0,0,0,10,0, 44, 85, 5, 0, 8,3,0,51, 129787, 249867, 65136, 62.30, 105289,1727.1
"Azuris",1.66,2.70,5.60,6.60,1,0,0,5,4,40,6, 26, 92, 12, 1, 13,3,1,49, 149738, 182520, 32982, 45.68, 94022,1651.7
"BlazinVoid",2.31,4.80,5.50,7.90,3,7,0,0,0,40,1, 14, 106, 7, 0, 13,3,3,51, 158563, 272577, 81653, 141.03, 100883,1716.6
"Vicis",2.15,4.80,6.10,8.30,0,0,1,8,1,20,14, 29, 124, 6, 1, 13,2,2,50, 183038, 197583, 31612, 37.88, 113120,1863.4
"solgoon",3.28,6.00,4.60,9.10,0,1,0,8,1,60,6, 25, 138, 13, 4, 17,3,4,54, 195727, 181942, 40613, 52.77, 111482,1795.4
"irnesto",2.88,7.70,6.40,10.70,6,4,0,0,0,80,21, 37, 105, 11, 2, 16,1,7,55, 187265, 300385, 94610, 110.97, 123836,1862.4
"They Call Me",3.00,5.60,3.80,5.80,3,2,1,4,0,60,6, 36, 92, 10, 3, 13,3,2,47, 124659, 211084, 53895, 40.30, 112604,1771.5
"rotilda",2.75,6.60,5.30,8.00,3,2,0,5,0,60,1, 39, 81, 8, 2, 15,5,4,57, 201101, 268481, 70823, 60.52, 125077,1922.9
"Deadly Feline",3.15,3.30,5.20,13.10,0,0,2,0,8,70,13, 24, 171, 5, 3, 22,3,4,56, 168415, 234988, 48840, 85.27, 104721,1910.1
"asian swain",2.50,8.50,6.80,8.50,2,0,8,0,0,60,7, 18, 94, 10, 2, 15,1,5,56, 295327, 334166, 153940, 129.22, 137407,1928.9
"lovenimei",1.68,5.40,7.20,6.70,6,0,4,0,0,50,8, 32, 98, 7, 2, 17,2,3,43, 228063, 255183, 12172, 49.97, 122987,1960.6
"Haori",3.33,4.10,3.90,8.90,3,0,4,0,3,40,20, 30, 147, 7, 0, 11,4,5,56, 140045, 200841, 31289, 141.22, 108017,1870.4
"all day ngga",2.83,3.90,4.20,8.00,1,2,4,2,1,50,2, 24, 99, 5, 1, 17,2,1,52, 147421, 207881, 49800, 68.83, 108205,1717.3
"Team SoloNoob M",4.87,1.40,3.00,13.20,0,0,0,0,10,60,16, 71, 228, 4, 1, 19,2,5,57, 73320, 125148, 14748, 53.93, 95679,1978.3
"ParkBoYoungBB",2.57,5.50,4.20,5.30,0,0,6,4,0,30,10, 23, 105, 6, 1, 14,1,4,53, 178896, 138107, 15157, 43.38, 112250,1785.2
"Wookiee",2.71,3.40,5.10,10.40,0,0,0,3,7,40,16, 47, 169, 4, 0, 12,4,3,55, 120499, 231213, 34322, 41.47, 105330,1900.7
"Remjeyy",1.76,5.20,5.90,5.20,0,2,4,4,0,20,9, 25, 109, 7, 2, 11,1,2,53, 194227, 177957, 25898, 52.53, 103528,1764.8
"Hostess Twinkie",2.02,6.80,4.20,1.70,7,3,0,0,0,60,13, 44, 112, 24, 4, 14,6,6,45, 134793, 172597, 33259, 90.92, 123437,1594.9
"JJ Dupont",1.70,4.20,5.60,5.30,4,1,1,4,0,40,3, 23, 83, 8, 1, 13,2,6,36, 143719, 240694, 44305, 60.33, 114321,1838.1
"DarkRush",3.19,3.80,3.60,7.70,3,1,3,0,3,50,27, 18, 166, 7, 1, 8,1,0,50, 118561, 190048, 28743, 43.00, 100855,1680.5
