"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"KimKiKi",1505,2.5,3.7,4.6,7.8,2,2,0,1,5,60,23,43,180,4,0,12,3,5,52,110294,182017,30052,2273,95634,1674.8,3263,0,3823,2092,7570,19333,12853,52,184,2929,13991,4,4,11,4,5,18,0.43,3.75,100,463,0,1,3,-1.95,251.7,1273.4,-54.85,13.7,-8.3,0.2,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27434,42538,55.5,354,4277,19766,7,11,10,4,1,27,0.55,1.55,50,213,0,0.5,3,-1.95,407.1,2318.5,-60.95,-107.55,330.9,0.22,0.25,21441,44737,5,172,9815,23577,12,9,12,5,12,38,0.47,2.67,50,1029,0,1.5,2,0,328,2002.1,-5.25,81.05,0,0.21,0.13,42086,81889,10.4,193,13031,38300,14,22,45,10,25,97,0.56,2.68,60,568,0,0.8,1.6,0.31,305.14,3405.6,38.83,-39.04,25.5,0.17,0.14
"DoctorKyo",1743,1.33,4.60,7.30,5.10,0,1,5,4,0,30,0, 11, 91, 12, 3, 14,1,3,49, 159793, 205314, 13533, 16.85, 106395,1710.2,0,8303,1143,7656,0,59115,97272,69.75,828,8555,48512,17,34,23,0,5,43,0.42,1.18,0.00,118,25.00,1.25,1.50,0.00,308.43,1480.83,10.56,-26.42,-20.22,0.21,0.20,93624,93542,64.60,808,4726,52589,26,33,27,0,5,45,0.55,1.61,60.00,800,0.00,1.20,1.60,1.00,412.14,2248.00,-2.00,-88.18,-72.00,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7054,14500,33.00,2,252,5294,3,6,1,0,1,3,0.50,0.67,0.00,93,0.00,1.00,2.00,0.00,309.50,0,0.00,0,0,0.21,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"B is for Bait",1810,1.75,4.70,7.30,8.10,4,4,0,0,2,20,17, 45, 161, 2, 1, 6,3,4,52, 171594, 283866, 91036, 101.40, 108384,1890.7,7236,0,7997,0,3674,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77729,101452,52.75,649,25731,43256,25,19,22,4,8,41,0.44,2.47,50.00,4754,0.00,1.25,2.50,-0.65,413.55,2315.40,-17.98,-3.80,77.05,0.20,0.25,65784,133282,8.75,304,54210,46343,21,37,27,9,26,48,0.53,1.30,0.00,749,25.00,1.00,1.25,0.43,337.25,1446.93,-23.25,-18.50,-104.93,0.20,0.18,28081,49132,4.00,50,11095,18785,1,17,32,4,11,72,0.65,1.94,0.00,581,0.00,0.00,0.00,-0.05,298.70,1609.60,17.08,-114.92,57.40,0.18,0.14,
"Kerreynor",1881,2.52,8.40,6.60,8.20,0,7,2,1,0,50,0, 33, 72, 10, 1, 17,3,6,57, 224100, 282360, 72259, 52.15, 139971,2059.3,0,4903,13664,2026,0,22477,31917,6.00,79,8470,13829,11,6,6,0,0,8,0.81,2.83,0.00,321,0.00,3.00,3.00,0.00,324.50,1309.40,0.00,0.00,0.00,0.24,0.29,68037,47161,57.00,433,2923,30512,13,19,19,0,4,13,0.50,1.68,50.00,1107,0.00,1.50,2.50,-1.05,434.10,1994.70,-87.80,-117.30,0.00,0.21,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133586,203282,6.43,552,60866,95630,60,41,57,0,29,51,0.57,2.85,57.14,1701,0.00,1.57,5.00,0.07,340.44,2619.50,-11.60,81.84,43.60,0.22,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"BlazinVoid",1734,2.42,5.40,5.70,8.40,3,5,1,1,0,40,6, 32, 118, 3, 0, 9,0,4,55, 170435, 324764, 103790, 121.20, 121342,2048.4,5190,2065,11408,1821,0,13678,39684,5.00,41,12223,11426,5,5,21,1,4,12,0.70,5.20,100.00,736,100.00,2.00,2.00,-0.33,299.70,1161.00,0.00,0.00,0.00,0.18,0.15,16209,41769,3.00,45,16036,13381,7,4,9,1,3,14,0.70,4.00,100.00,1366,0.00,2.00,5.00,0.00,377.20,1208.70,0.00,0.00,0.00,0.20,0.16,42071,79883,58.67,533,31848,29525,10,13,7,2,1,32,0.34,1.31,0.00,1603,0.00,0.67,1.33,-0.33,428.83,0,-1.50,-0.03,0,0.21,0.22,98477,163428,7.60,407,43683,67010,32,35,47,2,24,60,0.56,2.26,40.00,3567,0.00,1.60,2.80,-0.04,347.64,1175.60,2.06,-136.52,-112.40,0.19,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Vicis",1849,3.63,4.60,4.60,12.10,0,0,1,4,5,80,27, 37, 155, 15, 3, 22,4,8,55, 165287, 194368, 36361, 39.27, 116651,1878.1,0,2419,0,7577,8785,86438,73508,70.00,718,15297,53184,23,19,37,6,9,34,0.51,3.16,100.00,1151,0.00,1.75,3.00,0.00,318.73,1970.60,55.79,-32.12,102.55,0.20,0.23,27161,29072,69.00,197,2164,13849,8,11,7,2,6,16,0.52,1.36,0.00,399,0.00,2.00,3.00,-0.00,455.20,1178.80,35.00,-43.30,-110.10,0.20,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51688,91788,6.40,128,18900,49618,15,16,77,19,22,105,0.58,5.75,80.00,806,0.00,0.80,1.20,0.34,299.72,1322.48,37.59,11.21,-38.54,0.17,0.11,
"solgoon",1589,2.82,6.80,4.90,7.00,2,2,0,6,0,60,6, 74, 157, 12, 5, 22,2,4,43, 217831, 268317, 42443, 117.57, 129093,2005.1,4265,0,4289,11497,0,140934,121051,61.17,1072,22573,74984,41,26,46,3,15,80,0.48,3.35,66.67,3157,16.67,1.33,3.17,0.00,317.43,1957.93,24.65,-0.64,18.82,0.20,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36661,81877,71.00,531,7498,25481,8,13,6,1,50,28,0.28,1.08,0.00,3055,0.00,0.50,1.50,0.00,444.40,1501.45,24.75,13.60,0.75,0.21,0.19,40236,65389,8.50,140,12372,28628,19,10,18,2,9,49,0.39,3.70,100.00,842,0.00,2.00,4.50,-0.65,286.85,1228.65,-78.90,41.25,113.40,0.19,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"irnesto",1862,1.74,3.70,5.40,5.70,4,1,5,0,0,30,18, 12, 100, 8, 0, 7,2,2,49, 151006, 190682, 36532, 72.38, 92664,1663.3,7071,8345,1217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81099,74912,54.00,650,11927,47412,20,17,34,12,4,51,0.52,3.18,40.00,1972,20.00,1.00,1.40,-1.08,409.40,2319.35,-7.30,-42.94,-84.20,0.20,0.22,63668,101887,36.50,543,21776,39307,15,32,23,4,6,40,0.44,1.19,25.00,2105,0.00,0.75,2.00,-2.68,350.30,1974.05,-111.63,-28.60,-149.75,0.19,0.20,6239,13883,5.00,51,2829,5945,2,5,0,2,2,9,0.67,0.40,0.00,266,0.00,0.00,0.00,-0.10,302.00,0,-39.30,-243.50,0,0.23,0.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"They Call Me",1792,2.26,4.70,5.40,7.50,3,5,0,2,0,60,10, 46, 106, 17, 1, 20,3,4,43, 139494, 313118, 112902, 76.53, 119662,1978,5789,0,10803,3188,0,20222,24192,61.00,306,5022,20250,9,4,10,0,2,15,0.50,4.75,50.00,286,0.00,2.00,2.50,-0.79,286.05,1992.90,-52.58,-38.35,34.60,0.22,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46949,86654,49.00,480,10451,33273,13,19,21,3,10,36,0.41,1.79,33.33,982,0.00,1.00,2.00,-1.57,379.03,2949.30,-86.83,-58.57,-23.20,0.19,0.17,72323,202272,2.80,449,97429,66139,25,31,44,7,34,55,0.42,2.23,80.00,3324,0.00,1.40,2.60,-0.38,300.20,1447.00,-40.78,2.24,8.45,0.19,0.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Deadly Feline",1721,1.91,3.10,5.60,7.60,2,4,3,0,1,40,7, 21, 124, 9, 2, 14,2,6,46, 168137, 261127, 43824, 154.27, 113073,1888.9,3172,6420,6682,0,2615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59955,99782,77.33,693,18085,39819,11,19,23,1,6,32,0.45,1.79,33.33,6949,0.00,0.67,1.67,0.53,447.57,1328.00,-30.57,-44.90,-51.70,0.20,0.21,17121,34651,53.00,310,2042,16976,5,12,4,0,3,17,0.35,0.75,0.00,352,0.00,1.00,1.00,-0.35,402.95,0,-28.85,-147.20,0,0.21,0.14,52146,98207,6.00,308,20260,41221,12,17,29,3,7,43,0.51,2.41,50.00,1455,0.00,0.50,1.75,0.38,363.88,0,-27.58,3.10,0,0.21,0.21,38915,28487,2.00,47,3437,15057,3,8,20,3,5,32,0.46,2.88,100.00,500,0.00,0.00,0.00,-1.45,224.00,1039.20,-125.30,47.90,169.25,0.18,0.24,
