"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Jesus Christ 69",2.18,6.1,5.6,6.1,0,8,1,0,1,40,14,9,19,2,4,57,156.55
"Ho Jhin",2.62,7.80,5.20,5.80,0,0,2,8,0,60,0,16,16,2,4,47,78.02
"TheeGenderBender",2.15,1.90,4.60,8.00,3,0,0,0,7,30,19,6,11,3,2,49,57.97
"ContentNF",2.63,4.80,4.00,5.70,4,0,2,4,0,50,7,6,14,3,7,48,71.25
"Mr Lay",1.70,7.20,6.60,4.00,0,0,3,7,0,40,11,4,10,4,4,46,33.35
"PatlnTheHat",3.77,2.20,4.00,12.90,0,1,0,0,9,50,26,2,24,3,2,64,122.10
"O 3 O XILIGE",2.11,3.60,7.00,11.20,2,1,0,0,7,70,17,7,22,3,6,50,55.57
"Crazy Lance",3.20,5.10,4.00,7.70,8,0,0,0,2,70,6,21,16,5,2,43,46.72
"DudeHoldmyCheeto",2.53,0.90,5.10,12.00,0,0,0,0,10,50,31,1,9,4,3,56,64.82
"ZeusVV",1.89,4.60,6.10,6.90,4,1,3,0,2,50,7,9,17,6,5,45,83.55
"zombie B Bro",2.47,6.30,6.00,8.50,5,0,0,5,0,70,0,20,16,3,7,49,85.90
"Best Garen US",2.98,7.10,4.70,6.90,0,3,4,1,2,50,32,7,21,1,4,50,150.42
"Gigatitan",2.56,2.20,4.10,8.30,0,5,0,1,4,40,20,3,8,3,2,47,77.37
"x Saturn",2.04,5.80,7.50,9.50,0,5,5,0,0,70,8,15,10,0,5,57,67.92
"SunthorFTW",2.85,2.40,5.40,13.00,1,0,0,0,9,40,22,3,7,6,3,59,37.45
"MoarCowBells",1.82,5.40,5.70,5.00,3,0,0,7,0,50,5,8,14,2,5,47,19.88
"Ganked by Dad",1.39,4.00,6.90,5.60,4,0,6,0,0,50,7,10,12,2,4,39,43.48
"unchic",1.80,7.10,6.60,4.80,6,3,1,0,0,20,11,8,10,2,1,45,51.60
"Dank Plays Man",1.87,3.30,5.30,6.60,1,9,0,0,0,30,16,4,12,0,0,41,155.63
"BlackCat74123",2.98,7.50,6.30,11.30,0,2,6,2,0,60,15,14,15,2,1,53,75.65
"TheWildSmurf",1.48,5.60,7.50,5.50,0,3,0,7,0,30,0,10,11,1,4,45,22.73
"SolidCore",3.70,1.70,3.70,12.00,0,0,0,1,9,70,13,6,17,4,5,49,63.85
"nunchunk",2.77,4.60,4.00,6.50,0,1,1,6,2,40,28,14,16,6,4,52,41.72
"Yeezy4Prez2020",2.26,2.50,5.00,8.80,2,1,0,2,5,50,27,5,16,4,0,47,27.80
"LuckySunnyTao",5.24,4.50,2.90,10.70,3,4,0,0,3,60,27,10,18,5,5,60,62.43
"Large Barge",2.08,4.00,5.20,6.80,1,0,0,6,3,30,6,9,11,3,2,55,70.70
"Potato Counter",2.43,2.20,5.30,10.70,2,0,0,1,7,60,32,3,17,5,4,48,95.55
"windy samurai",1.79,7.60,7.80,6.40,2,0,5,3,0,50,6,15,15,2,4,52,63.75
"Skorzen",3.67,4.30,2.10,3.40,2,0,5,3,0,60,1,9,12,3,3,39,41.05
"liquidswords89",3.07,2.30,5.40,14.30,0,0,0,3,7,60,25,9,18,3,5,57,41.08
"TheGaba",2.83,8.50,4.80,5.10,0,8,2,0,0,70,0,15,22,9,5,49,85.13
"1LLIONAIRE",4.04,8.80,4.50,9.40,0,3,6,1,0,70,21,5,21,3,6,60,39.38
"Acidpiper",2.19,0.90,5.20,10.50,1,0,0,0,9,50,7,4,16,0,1,43,10.75
"Unreal Snoopy",1.99,7.80,6.70,5.50,8,2,0,0,0,70,6,16,19,5,5,49,60.40
"Jmask",2.27,1.80,5.60,10.90,0,1,0,1,8,30,27,2,14,2,3,53,40.67
"babygiraffes",2.75,3.80,3.20,5.00,8,0,2,0,0,30,4,16,5,1,2,44,50.40
"Equalibrium",3.64,6.10,4.20,9.20,1,2,0,4,3,30,25,7,15,2,4,63,37.67
"babygiraffes",2.75,3.80,3.20,5.00,8,0,2,0,0,30,4,16,5,1,2,44,50.40
