"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"Jesus Christ 69",2.38,6.8,5.5,6.3,3,0,7,0,0,30,4,26,110,6,1,14,0,4,47,240287,269510,46471,4354,129261,2020.1
"Ho Jhin",4.44,9.40,3.60,6.60,2,0,0,8,0,90,1, 23, 104, 17, 4, 21,9,6,50, 245763, 150655, 25881, 62.95, 137369,1781.1
"TheeGenderBender",3.22,0.80,3.20,9.50,1,0,0,1,8,40,39, 46, 193, 1, 0, 10,2,2,53, 56541, 115096, 85609, 30.97, 83904,1846.3
"ContentNF",3.05,6.80,4.30,6.30,1,2,5,2,0,40,6, 27, 103, 5, 1, 18,3,2,47, 214560, 206079, 48964, 40.07, 122118,1922.5
"Mr Lay",2.10,4.90,5.00,5.60,1,0,4,5,0,40,11, 11, 79, 7, 5, 17,1,6,46, 203457, 194815, 28545, 46.30, 120706,1881.7
"PatlnTheHat",4.31,1.70,3.20,12.10,0,2,0,0,8,70,21, 61, 225, 3, 1, 19,2,6,50, 86349, 251386, 68143, 117.88, 98089,1995.2
"O 3 O XILIGE",2.11,3.60,7.00,11.20,2,1,0,0,7,70,17, 31, 95, 7, 2, 22,3,6,50, 138369, 205654, 22704, 55.57, 101359,1717.5
"Crazy Lance",3.20,5.10,4.00,7.70,8,0,0,0,2,70,6, 21, 92, 21, 5, 16,5,2,43, 164963, 238910, 58514, 46.72, 115230,1821.7
"DudeHoldmyCheeto",2.40,1.10,5.20,11.40,0,0,0,0,10,40,32, 45, 178, 4, 2, 16,1,5,48, 62194, 185327, 76223, 36.38, 90075,1950.9
"ZeusVV",2.35,7.30,6.00,6.80,7,0,3,0,0,40,4, 11, 106, 14, 1, 12,2,4,49, 226244, 265642, 33516, 50.43, 124858,1860.1
"zombie B Bro",2.44,6.10,6.30,9.30,5,0,0,5,0,70,0, 28, 106, 20, 5, 16,1,7,47, 226981, 251912, 37940, 83.10, 139738,2072.3
"Best Garen US",2.90,5.80,4.80,8.10,1,0,4,2,3,50,37, 26, 187, 7, 3, 21,3,3,54, 168079, 178965, 23588, 23.92, 115566,1844.7
"Gigatitan",3.68,3.40,3.70,10.20,0,7,0,0,3,40,20, 75, 167, 7, 2, 8,2,4,58, 137411, 280956, 65653, 119.97, 108341,2028.8
"x Saturn",1.96,5.90,7.70,9.20,0,4,5,0,1,60,8, 22, 108, 13, 2, 9,0,4,56, 162987, 217774, 29985, 66.63, 108071,1760.5
"SunthorFTW",2.45,2.20,5.10,10.30,2,0,0,0,8,30,23, 24, 112, 4, 0, 8,5,3,54, 81882, 186251, 32172, 31.32, 80575,1640.5
"MoarCowBells",1.76,5.20,6.70,6.60,5,0,0,5,0,40,3, 31, 126, 17, 6, 17,0,5,42, 226124, 254079, 33923, 32.33, 134681,2195.1
"Ganked by Dad",1.92,4.00,5.10,5.80,5,0,5,0,0,70,4, 3, 82, 9, 3, 12,4,2,34, 151012, 219136, 13721, 26.82, 112571,1723.2
