"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Jesus Christ 69",2.29,5.7,5.5,6.9,0,7,1,2,0,40,8,38,59,9,3,16,1,4,50,157477,278452,92794,4716,125503,1926.5,0,2060,13481,3724,0,25857,39346,58,379,5137,13484,24744,43,159,1187,0,0,0,0,0,118136,214362,4,635,86470,0,0,0,0,0
"Ho Jhin",2.67,7.00,4.80,5.80,4,0,0,6,0,50,0, 30, 100, 12, 2, 18,7,5,52, 257531, 171616, 27403, 56.35, 124789,1852.2,7138,0,0,11384,0,161779,94045,76.00,1348,16907,0,0,0,0,0,95752,77571,63.50,741,10496,0,0,0,0,0,0,0,0,0,0
"TheeGenderBender",3.26,1.40,3.10,8.70,2,0,0,1,7,30,35, 44, 177, 2, 0, 9,2,1,52, 69390, 123260, 80149, 53.22, 88043,1854.5,3623,0,0,1886,13036,3992,13006,1.00,12,3154,0,0,0,0,0,29172,37782,45.50,435,3980,0,0,0,0,0,36226,72472,0.57,73,73015
"ContentNF",3.78,4.40,3.20,7.70,6,0,4,0,0,60,17, 18, 100, 6, 0, 14,2,4,58, 169406, 193472, 21244, 310.03, 108693,1718,10255,6925,0,0,0,0,0,0,0,0,75934,51535,74.25,701,11154,93472,141937,63.33,1073,10090,0,0,0,0,0,0,0,0,0,0
"Mr Lay",2.80,7.20,5.40,7.90,1,0,0,9,0,50,1, 29, 65, 10, 2, 13,2,3,59, 256064, 190771, 36558, 50.35, 133274,1912.3,2229,0,0,16894,0,243576,163093,68.22,1885,31201,0,0,0,0,0,12488,27678,67.00,260,5357,0,0,0,0,0,0,0,0,0,0
"PatlnTheHat",3.57,1.50,4.20,13.50,0,0,2,0,8,10,19, 50, 214, 3, 0, 16,2,3,55, 87327, 231727, 36108, 125.30, 93591,1984.7,0,2858,0,0,16989,0,0,0,0,0,16770,26361,45.50,219,4463,0,0,0,0,0,0,0,0,0,0,70557,205366,8.88,370,31645
"O 3 O XILIGE",2.11,3.60,7.00,11.20,2,1,0,0,7,70,17, 31, 95, 7, 2, 22,3,6,50, 138369, 205654, 22704, 55.57, 101359,1717.5,3891,0,2024,0,11260,0,0,0,0,0,0,0,0,0,0,58409,55924,69.50,428,3344,13630,22351,39.00,2,961,66330,127379,14.71,292,18399
"Crazy Lance",3.20,5.10,4.00,7.70,8,0,0,0,2,70,6, 21, 92, 21, 5, 16,5,2,43, 164963, 238910, 58514, 46.72, 115230,1821.7,14807,0,0,0,3410,0,0,0,0,0,0,0,0,0,0,154857,195089,63.50,1576,53525,0,0,0,0,0,10106,43821,11.00,62,4989
"DudeHoldmyCheeto",1.59,1.20,5.40,7.40,0,0,0,1,9,10,41, 68, 185, 0, 0, 11,2,4,47, 98880, 177520, 53974, 79.40, 80149,1814.7,0,0,0,940,17207,6638,9275,18.00,28,2280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92242,168245,4.56,208,51694
"ZeusVV",2.42,7.60,6.50,8.10,3,1,6,0,0,20,5, 17, 119, 7, 2, 13,1,2,60, 222676, 222429, 15062, 108.73, 120911,1860.3,6147,10493,1963,0,0,0,0,0,0,0,144352,109506,63.50,1083,8879,64984,85122,62.67,682,2285,13340,27801,5.00,39,3898,0,0,0,0,0
"zombie B Bro",2.44,6.10,6.30,9.30,5,0,0,5,0,70,0, 28, 106, 20, 5, 16,1,7,47, 226981, 251912, 37940, 83.10, 139738,2072.3,10625,0,0,10098,0,116075,107658,67.80,1167,16928,0,0,0,0,0,110906,144254,64.00,985,21012,0,0,0,0,0,0,0,0,0,0
