"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Jesus Christ 69",1500,1.39,5.3,7.9,5.7,0,7,3,0,0,10,5,38,65,5,0,15,1,2,44,190809,316490,112398,4938,122033,2071.2,0,6501,14211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56420,80287,71.67,545,15383,36000,12,29,17,1,6,39,0.35,1,0,914,0,0.67,0.67,0.97,437.87,1152.5,-3.13,7.17,-214.9,0.19,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134389,236203,5.14,617,97015,86033,41,50,40,4,32,26,0.48,1.62,14.29,4024,0,1.57,1.71,0.46,340.4,1578.72,40.64,-88.07,25.68,0.21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Ho Jhin",2032,2.59,6.70,5.40,7.30,5,0,0,5,0,40,0, 35, 107, 14, 2, 19,6,5,57, 246573, 187693, 28118, 49.55, 128648,1915.1,8610,0,0,10541,0,156544,93405,74.40,1238,18518,74728,45,21,47,0,22,53,0.64,4.38,60.00,2546,20.00,1.40,6.00,0.22,308.38,1309.36,-5.42,47.36,20.70,0.22,0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90029,94288,65.60,949,9600,53920,22,33,26,0,13,54,0.46,1.45,20.00,427,0.00,1.20,2.00,1.12,440.40,1860.70,18.18,-145.85,30.57,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"TheeGenderBender",1637,3.26,1.40,3.10,8.70,2,0,0,1,7,30,35, 44, 177, 2, 0, 9,2,1,52, 69390, 123260, 80149, 53.22, 88043,1854.5,3623,0,0,1886,13036,3992,13006,1.00,12,3154,8056,1,5,11,7,6,26,0.71,2.40,0.00,149,0.00,0.00,0.00,-1.30,230.40,895.70,0.00,0.00,0.00,0.17,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29172,37782,45.50,435,3980,23478,10,9,17,2,5,20,0.57,3.00,0.00,1828,0.00,1.00,1.50,-1.30,406.40,2555.60,-32.00,141.90,109.90,0.22,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36226,72472,0.57,73,73015,56509,3,17,59,26,33,131,0.48,3.65,42.86,1216,0.00,0.00,0.00,-0.06,276.83,1206.08,5.81,-35.09,-74.78,0.15,0.07,
"ContentNF",1700,3.09,5.60,4.30,7.70,3,0,7,0,0,30,11, 14, 99, 2, 1, 10,1,3,61, 233973, 182710, 16845, 122.10, 118364,1896.6,5402,13564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184763,104856,68.57,1487,11455,84999,45,30,46,6,8,69,0.58,3.03,28.57,4842,0.00,1.71,3.86,-0.17,422.24,1928.75,-15.86,37.60,26.82,0.22,0.28,49210,77854,61.00,555,5390,33365,11,13,31,5,6,30,0.69,3.23,33.33,2484,33.33,0.33,1.67,0.13,419.97,1913.85,9.57,136.93,-131.20,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Mr Lay",1754,2.47,6.70,5.90,7.90,0,0,0,10,0,40,0, 23, 53, 9, 1, 10,2,3,60, 234988, 177969, 32190, 33.60, 121360,1765.3,0,0,0,17653,0,234988,177969,65.00,1923,32190,121360,67,59,79,0,23,53,0.60,2.47,40.00,2016,0.00,1.70,2.70,0.00,291.94,2253.55,2.35,-17.21,32.02,0.23,0.30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"PatlnTheHat",1575,3.57,1.50,4.20,13.50,0,0,2,0,8,10,19, 50, 214, 3, 0, 16,2,3,55, 87327, 231727, 36108, 125.30, 93591,1984.7,0,2858,0,0,16989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16770,26361,45.50,219,4463,14247,3,10,10,2,3,18,0.41,1.30,0.00,639,0.00,0.00,0.00,-2.50,341.25,0,-158.00,-110.65,0,0.18,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70557,205366,8.88,370,31645,79344,12,32,125,17,47,196,0.56,4.28,12.50,6879,12.50,0.13,0.25,0.23,291.56,1054.33,14.73,10.11,-10.83,0.15,0.08,
"O 3 O XILIGE",1475,2.11,3.60,7.00,11.20,2,1,0,0,7,70,17, 31, 95, 7, 2, 22,3,6,50, 138369, 205654, 22704, 55.57, 101359,1717.5,3891,0,2024,0,11260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58409,55924,69.50,428,3344,30926,21,20,20,2,9,21,0.57,2.05,50.00,1830,50.00,3.50,3.50,2.35,435.60,2210.90,77.70,-98.05,145.10,0.23,0.27,13630,22351,39.00,2,961,10974,2,11,5,0,2,10,0.32,0.64,0.00,293,0.00,1.00,2.00,0.00,182.20,1020.00,0.00,0.00,0.00,0.20,0.16,66330,127379,14.71,292,18399,59459,13,39,87,15,20,64,0.50,2.56,85.71,1211,14.29,0.43,0.71,0.81,303.30,2485.55,40.39,-26.01,31.65,0.16,0.13,
"Crazy Lance",1475,3.20,5.10,4.00,7.70,8,0,0,0,2,70,6, 21, 92, 21, 5, 16,5,2,43, 164963, 238910, 58514, 46.72, 115230,1821.7,14807,0,0,0,3410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154857,195089,63.50,1576,53525,101039,50,28,56,0,16,47,0.42,3.79,75.00,2124,12.50,1.75,3.38,0.36,414.91,2035.08,-11.11,114.20,143.94,0.21,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10106,43821,11.00,62,4989,14191,1,12,21,6,5,45,0.50,1.83,50.00,679,0.00,0.00,0.00,0.23,281.45,1441.80,-13.95,24.95,-33.85,0.14,0.08,
"DudeHoldmyCheeto",1584,2.80,3.60,6.00,13.20,0,0,0,0,10,60,42, 76, 243, 3, 0, 25,4,3,52, 142845, 218684, 59891, 51.17, 105295,2053.5,0,0,0,0,20535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,142845,218684,3.30,204,59891,105295,36,60,132,42,76,243,0.52,2.80,60.00,3070,10.00,0.90,1.20,0.03,273.34,1082.95,15.67,41.78,43.00,0.16,0.14,
"ZeusVV",1583,2.34,6.20,6.20,8.30,5,0,5,0,0,70,2, 15, 115, 16, 3, 19,1,4,45, 220675, 224347, 41328, 61.45, 122215,1886.2,9618,9244,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123919,95834,56.60,821,12626,60772,38,36,55,0,6,58,0.53,2.58,60.00,2687,20.00,1.80,3.80,0.82,408.06,2665.75,10.02,72.54,73.65,0.21,0.28,96756,128513,62.20,1034,28702,61443,24,26,28,2,9,57,0.36,2.00,80.00,1000,20.00,1.20,2.20,0.98,441.62,1925.17,53.16,-34.80,-14.83,0.21,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
