"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"Maxarts",1.64,4.9,5.8,4.6,9,0,0,1,0,30,4,11,9,2,2,42,34.87
"Captn Underpants",2.25,4.50,5.30,7.40,1,0,1,3,5,20,20,6,12,0,3,49,42.18
"Jungle is fun",1.82,6.50,6.60,5.50,3,3,0,4,0,30,7,17,14,3,5,46,44.20
"tempname094",7.04,7.40,2.60,10.90,1,6,0,3,0,80,1,14,22,7,7,57,146.33
"Ruthless slllim",3.46,9.30,4.80,7.30,1,1,6,2,0,60,1,12,16,3,2,56,51.87
"OGC Tilted",2.15,4.80,4.70,5.30,0,0,5,5,0,30,10,7,8,2,3,53,32.83
"DennyTheNOOB",3.57,4.50,4.70,12.30,1,5,4,0,0,90,5,8,28,7,4,53,50.33
"Ball 1s Not Life",2.60,5.90,4.30,5.30,2,3,4,1,0,60,3,11,12,5,3,50,79.12
"aCyte Dino God",2.20,6.20,6.10,7.20,1,6,2,1,0,30,13,5,21,6,7,45,87.73
"Shamie",1.90,2.30,7.90,12.70,0,0,0,3,7,40,3,4,22,4,6,51,70.50
"UndesirableNo1",3.49,8.10,4.90,9.00,0,0,10,0,0,60,11,9,19,3,4,59,47.52
"Thronis",1.97,8.90,7.90,6.70,0,7,2,1,0,30,12,7,18,4,4,64,109.40
"ganked by cat",2.12,5.20,5.80,7.10,0,0,2,8,0,50,0,7,10,4,4,50,30.53
"Chunky Evelynn",2.60,3.40,5.50,10.90,0,4,1,0,5,40,21,4,19,3,2,55,82.72
"MIC TheDawn",3.54,7.90,5.20,10.50,0,1,8,1,0,70,0,7,24,2,5,54,59.42
"watchabacks",1.44,2.00,7.50,8.80,0,2,2,1,5,20,31,1,11,1,3,42,55.87
"PrimeSuspects",2.38,6.90,5.00,5.00,1,4,4,1,0,20,12,6,16,2,2,50,178.77
"Gucci Cane Nasus",1.94,8.60,7.70,6.30,10,0,0,0,0,50,14,17,16,2,2,52,94.68
"For Carthage",3.00,4.80,4.50,8.70,8,0,2,0,0,30,0,8,17,2,5,53,108.52
"Ayzhnarr",2.09,10.70,7.00,3.90,0,2,7,1,0,40,2,6,20,2,6,51,49.98
"Future Sailor",1.71,5.10,6.60,6.20,0,5,3,0,2,40,13,3,14,3,6,46,92.07
"AsianSixty9",1.95,4.70,6.50,8.00,1,0,1,6,2,30,25,11,14,4,2,54,25.08
"Lobsterform",2.49,3.10,3.70,6.10,1,0,7,2,0,50,6,9,14,7,1,40,67.70
"PhreezeZ",2.96,9.80,5.30,5.90,1,3,4,2,0,60,18,15,20,1,4,58,76.82
"manbearpig96",1.59,6.00,6.80,4.80,0,0,7,3,0,20,0,4,7,2,0,52,34.38
"NTG",2.56,3.40,5.20,9.90,7,0,2,0,1,40,6,6,21,5,6,52,51.50
"Mautu",1.69,4.70,7.00,7.10,2,1,7,0,0,40,8,7,13,1,3,48,76.40
"Knight0fZ3ro",2.15,7.40,6.60,6.80,4,2,4,0,0,30,13,7,21,2,3,48,146.30
"xXxCarnag3xXx",2.32,4.10,4.40,6.10,0,0,0,10,0,60,29,12,17,3,5,44,94.48
"KingViralxz",1.67,7.50,7.20,4.50,0,4,5,1,0,40,0,8,19,1,7,47,58.77
"EspadaGolf",2.14,8.00,6.90,6.80,2,0,1,7,0,70,0,19,17,2,4,52,64.75
"Unofficial Clone",2.06,2.40,6.20,10.40,1,5,1,0,3,30,6,2,11,0,3,53,73.65
