"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"Maxarts",1.64,4.9,5.8,4.6,9,0,0,1,0,30,4,22,90,11,2,9,2,2,42,169133,234802,69446,2092,104460,1697,15515,0,0,1455,0,8158,10599,55,146,1504,0,0,0,0,0,160975,224203,55.78,1518,67942,0,0,0,0,0,0,0,0,0,0
"Gains Mcgilligan",1.64,3.40,6.60,7.40,0,3,0,0,7,20,25, 44, 170, 1, 0, 10,2,1,49, 89450, 223470, 40108, 42.27, 88337,1759,0,0,5148,0,12442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32445,73948,4.00,213,21684,57005,149522,8.14,350,18424
"Jungle is fun",1.88,5.70,6.60,6.70,3,6,1,0,0,50,13, 23, 70, 11, 1, 15,4,7,48, 174708, 321158, 77208, 91.28, 115275,1784.6,5571,1167,11108,0,0,0,0,0,0,0,4907,12845,48.00,84,420,62172,106350,49.33,445,23210,107629,201963,3.00,442,53578,0,0,0,0,0
"Sleepy Gengar",4.54,3.00,2.40,7.90,4,0,2,1,3,50,1, 29, 115, 6, 1, 16,2,2,50, 110233, 116247, 11416, 82.92, 97783,1636.5,7058,3448,0,626,5233,1418,1633,7.00,8,0,21577,28512,79.50,362,3405,73807,49681,63.25,712,6264,0,0,0,0,0,13431,36421,3.67,51,1747
"Ruthless slllim",2.22,5.10,6.00,8.20,2,4,4,0,0,50,6, 27, 145, 6, 0, 15,3,1,53, 192239, 316432, 156276, 72.07, 118713,1883,4194,6412,8224,0,0,0,0,0,0,0,78650,115113,72.50,691,89743,47262,68310,68.50,495,35480,66327,133009,3.00,347,31053,0,0,0,0,0
"OGC Tilted",3.64,7.40,3.90,6.80,1,1,4,4,0,70,9, 18, 101, 18, 3, 19,2,5,52, 189007, 164963, 36710, 53.28, 122473,1787.6,1489,6819,2542,7026,0,88987,56970,62.00,699,9190,58935,58003,61.25,591,4448,9498,14422,60.00,132,659,31587,35568,0.00,86,22413,0,0,0,0,0
"DennyTheNOOB",1.75,2.60,6.00,7.90,3,4,1,0,2,20,14, 42, 142, 3, 0, 8,2,2,47, 112600, 246518, 52259, 50.25, 90376,1725.2,5960,2068,6569,0,2655,0,0,0,0,0,8346,17407,35.00,113,1740,49427,101724,52.67,479,13805,50081,97278,4.00,230,30594,4746,30109,11.50,35,6120
"Ball 1s Not Life",1.61,4.70,6.40,5.60,4,1,3,2,0,30,3, 39, 59, 6, 2, 10,4,0,44, 177000, 248562, 33546, 67.32, 115225,1919.3,8496,5106,1888,3703,0,36492,39815,51.00,330,5134,55810,49672,65.00,512,8798,73345,125716,52.50,764,11936,11353,33359,2.00,92,7678,0,0,0,0,0
"Urf God",2.61,4.80,4.90,8.00,2,4,0,4,0,50,13, 40, 163, 4, 2, 11,0,4,54, 198977, 293145, 95637, 76.47, 124904,2053.1,4241,0,8477,7813,0,104011,71685,64.50,913,15572,0,0,0,0,0,36113,70723,59.00,402,16115,58853,150737,4.00,359,63950,0,0,0,0,0
"Shamie",3.33,3.80,4.30,10.50,0,1,0,1,8,50,5, 24, 224, 7, 0, 11,4,4,60, 108034, 160899, 18973, 29.43, 88204,1618,0,0,2297,1898,11985,28451,17990,70.00,220,3587,0,0,0,0,0,0,0,0,0,0,22982,29543,8.00,68,6232,56601,113366,7.25,164,9154
"UndesirableNo1",2.22,4.10,5.10,7.20,0,0,8,2,0,40,4, 28, 105, 5, 3, 16,4,3,45, 168301, 150185, 15850, 25.10, 99265,1697.7,0,14013,0,2964,0,18018,22898,63.50,300,3424,150283,127287,55.63,1024,12426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Thronis",1.18,4.90,7.90,4.40,2,7,1,0,0,20,12, 46, 87, 4, 1, 9,1,1,54, 143071, 282740, 79145, 106.87, 101948,1732.6,3647,1342,12337,0,0,0,0,0,0,0,5968,24488,32.00,78,185,42137,60899,61.50,417,14470,94966,197353,5.57,471,64490,0,0,0,0,0
"ganked by cat",2.18,4.60,6.20,8.90,2,0,2,4,2,20,2, 25, 130, 4, 1, 16,0,2,48, 246722, 221704, 27990, 123.55, 121311,2109.4,3684,2325,0,11040,4045,177768,117691,60.25,1046,20813,11422,15599,52.50,211,878,44679,42937,55.00,385,1287,0,0,0,0,0,12853,45477,11.00,104,5012
"Chunky Evelynn",3.13,5.50,5.30,11.10,1,2,2,0,5,60,19, 44, 147, 5, 1, 14,2,4,61, 190507, 200112, 44731, 57.30, 111081,1855,1227,3606,3458,0,10259,0,0,0,0,0,34452,41832,25.00,192,6523,9761,18301,54.00,123,3871,46024,42996,4.00,115,9170,100270,96983,3.80,133,25167
"MIC TheDawn",5.69,3.60,3.60,16.90,1,0,1,0,8,70,4, 22, 138, 3, 0, 11,6,6,63, 98979, 240160, 76307, 32.35, 108946,1924.7,1550,2085,0,0,15612,0,0,0,0,0,20563,19188,43.00,151,3536,15014,18197,58.00,162,5859,0,0,0,0,0,63402,202775,12.75,363,66912
