"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"Maxarts",1475,1.64,4.9,5.8,4.6,9,0,0,1,0,30,4,22,90,11,2,9,2,2,42,169133,234802,69446,2092,104460,1697,15515,0,0,1455,0,8158,10599,55,146,1504,6685,0,5,2,0,1,6,0.33,0.4,0,0,0,0,0,0.01,243.3,0,-16.9,3.95,0,0.21,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160975,224203,55.78,1518,67942,97775,49,53,44,4,21,84,0.43,1.75,33.33,2092,11.11,1.22,2.44,0.01,409.52,3137.67,-8.37,-22.24,-33.1,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Gains Mcgilligan",1500,1.65,3.40,6.00,6.50,0,4,0,0,6,20,23, 41, 153, 1, 0, 6,2,1,47, 84498, 202128, 42078, 41.90, 83607,1662.5,0,0,6767,0,9858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39836,95133,3.25,285,28259,37375,18,18,17,8,16,47,0.43,1.94,0.00,1980,25.00,0.75,1.25,-0.30,324.07,3562.60,-18.70,-14.48,0.00,0.20,0.16,44662,106995,8.00,225,13819,46232,16,42,48,15,25,106,0.49,1.52,33.33,534,16.67,0.83,1.00,0.11,250.85,3807.50,-15.74,-19.19,70.15,0.16,0.12,
"Jungle is fun",1500,1.91,7.90,8.70,8.70,4,6,0,0,0,40,10, 26, 117, 11, 4, 22,2,9,48, 258676, 407015, 101602, 88.38, 146453,2217.7,8260,0,13917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103872,158959,42.50,772,23068,54724,36,38,25,5,8,40,0.49,1.61,25.00,708,0.00,1.50,3.75,-1.17,385.00,1676.57,-31.52,-46.92,40.30,0.22,0.23,154804,248056,6.33,556,78534,91729,43,49,62,5,18,77,0.47,2.14,50.00,4595,16.67,1.83,2.83,0.17,320.33,1511.08,-8.45,45.38,14.46,0.20,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"A Little Fairy",1860,5.40,4.90,2.50,8.60,7,0,3,0,0,70,0, 25, 120, 18, 2, 15,2,4,53, 195298, 158300, 17948, 153.70, 133900,1992.6,14713,5213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41676,42311,70.33,581,3559,34566,14,6,23,0,7,31,0.57,6.17,66.67,2233,33.33,1.67,2.67,-1.07,445.77,2030.40,-9.27,-5.80,234.10,0.21,0.20,153622,115989,55.86,1586,14389,99334,35,19,63,0,18,89,0.52,5.16,71.43,6989,42.86,1.14,3.14,0.30,423.89,1783.06,33.31,25.01,-30.56,0.21,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Ruthless slllim",1722,2.56,8.90,6.40,7.50,3,1,1,5,0,60,4, 30, 115, 5, 2, 20,2,4,51, 239508, 286218, 57940, 59.45, 140661,1855.1,6254,2575,1282,8440,0,117613,100568,59.40,920,16592,69827,54,31,39,2,16,45,0.58,3.00,60.00,2502,20.00,2.60,5.00,0.53,314.86,2360.20,11.45,91.36,120.82,0.25,0.29,27622,29155,69.00,254,2509,16728,8,9,7,2,7,19,0.47,1.67,0.00,798,0.00,1.00,3.00,-0.10,408.00,1446.30,-62.20,84.10,25.20,0.21,0.23,80324,145291,74.00,799,38119,45282,17,21,26,0,7,42,0.42,2.05,66.67,188,0.00,1.67,2.00,2.67,469.50,1635.07,117.20,54.17,172.40,0.22,0.22,13949,11204,43.00,12,720,8824,10,3,3,0,0,9,0.52,4.33,100.00,79,0.00,3.00,5.00,0.00,365.80,0,0.00,0.00,0,0.21,0.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"OGC Tilted",1615,2.26,7.10,5.00,4.20,0,0,6,4,0,20,5, 27, 89, 6, 1, 8,4,3,48, 220569, 195069, 34749, 40.15, 120638,1982.5,0,10733,0,9092,0,147204,90891,60.00,966,13707,65129,45,22,19,1,19,38,0.60,2.91,0.00,943,0.00,2.75,5.00,0.00,324.35,1609.93,8.71,-22.52,-15.30,0.25,0.30,73365,104178,43.00,685,21042,55509,26,28,23,4,8,51,0.37,1.75,33.33,1466,0.00,1.00,2.17,-2.28,398.73,1974.90,-44.52,-135.43,-68.37,0.19,0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"DennyTheNOOB",1688,2.08,2.80,4.80,7.20,3,5,1,0,1,30,8, 40, 146, 2, 1, 10,3,2,45, 120881, 238477, 81920, 80.35, 91714,1712.7,5833,2068,7828,0,1398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8346,17407,35.00,113,1740,10123,5,4,1,0,3,14,0.24,1.50,0.00,187,0.00,1.00,3.00,-3.90,414.10,1093.20,17.60,-66.30,-117.30,0.18,0.10,54072,100929,61.67,527,44630,34180,9,17,36,1,3,39,0.47,2.65,66.67,2001,0.00,0.67,1.33,0.10,397.17,2911.80,-0.90,-30.63,-100.10,0.19,0.19,57230,112590,2.20,295,32584,42519,14,24,34,5,33,85,0.53,2.00,20.00,2589,0.00,0.40,1.00,-0.18,284.70,0,-25.78,-30.34,0,0.19,0.18,1233,7551,15.00,17,2966,4892,0,3,1,2,1,8,0.08,0.33,0.00,44,0.00,0.00,0.00,0.20,258.60,0,-77.25,-305.95,0,0.14,0.03,
"Ball 1s Not Life",1577,1.61,4.70,6.40,5.60,4,1,3,2,0,30,3, 39, 59, 6, 2, 10,4,0,44, 177000, 248562, 33546, 67.32, 115225,1919.3,8496,5106,1888,3703,0,36492,39815,51.00,330,5134,23067,12,15,16,1,6,13,0.57,1.87,0.00,642,50.00,1.50,1.50,-0.28,316.55,2066.70,37.65,57.38,-6.65,0.21,0.27,55810,49672,65.00,512,8798,33472,15,12,19,1,7,19,0.47,2.83,66.67,1805,33.33,1.67,2.67,1.60,496.27,3081.20,107.23,44.10,-48.60,0.21,0.24,73345,125716,52.50,764,11936,48530,17,31,18,1,26,19,0.36,1.13,25.00,1311,0.00,1.00,1.75,-0.55,454.80,1577.87,45.23,-78.72,-114.77,0.20,0.17,11353,33359,2.00,92,7678,10156,3,6,3,0,0,8,0.35,1.00,0.00,281,0.00,1.00,2.00,-0.80,375.20,1352.30,6.50,99.10,30.30,0.20,0.20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Urf God",1566,2.94,2.90,4.90,11.50,1,0,0,2,7,50,15, 42, 206, 10, 3, 12,3,2,54, 124510, 215799, 83746, 41.57, 104769,1913.8,1811,0,0,4265,13062,37923,55975,33.50,291,16680,25322,8,6,32,5,8,41,0.53,6.67,100.00,371,0.00,1.00,3.00,-0.65,296.60,1094.35,5.90,-22.30,183.20,0.18,0.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18937,27212,53.00,176,9362,12494,5,4,12,1,3,13,0.61,4.25,100.00,620,0.00,1.00,3.00,-1.30,422.40,1600.60,-30.20,259.70,216.10,0.20,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67650,132612,5.00,270,57704,66953,16,39,71,9,31,152,0.54,2.23,28.57,1503,14.29,0.29,0.71,-0.06,278.04,1136.80,-0.31,-3.74,-72.79,0.18,0.12,
"Shamie",1766,4.00,1.90,3.90,13.70,1,0,0,0,9,40,8, 27, 220, 3, 1, 17,2,4,52, 109246, 196391, 39755, 82.07, 96280,1939,2860,0,0,0,16530,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35000,59402,65.00,356,24928,17195,5,6,16,0,2,12,0.70,3.50,0.00,3166,0.00,1.00,3.00,-0.30,419.80,1316.40,1.60,-91.90,211.30,0.21,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74246,136989,6.11,174,14827,79085,14,33,121,8,25,208,0.50,4.09,44.44,1758,0.00,0.22,0.44,-0.30,297.00,2030.93,22.65,30.31,-131.93,0.16,0.09,
