"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"eXiLe xPsychotic",2.63,6.6,5.6,8.1,0,0,3,3,4,50,5,8,20,4,4,52,65.6
"The12thDoctor",4.82,1.20,3.40,15.20,0,0,0,0,10,60,19,6,17,2,5,64,48.28
"JTweak",4.37,7.60,4.60,12.50,0,0,9,1,0,50,35,9,22,2,3,59,71.05
"binchen",2.85,1.50,5.30,13.60,0,0,0,1,9,70,16,5,20,1,8,49,63.93
"Strat0sfear",5.15,13.20,4.00,7.40,0,8,0,0,0,75,13,16,19,4,4,75,198.43
"mpfiv",3.04,5.30,5.00,9.90,0,8,2,0,0,60,6,6,17,3,5,52,222.92
"lolitspetey",2.81,6.70,5.30,8.20,5,0,5,0,0,50,6,9,15,1,2,45,48.60
"Leeroooy",2.27,2.10,4.50,8.10,0,5,0,0,5,20,17,5,9,3,1,59,74.10
"tehnoob4life",2.40,5.40,7.00,11.40,0,1,0,4,5,70,7,10,13,2,3,54,28.95
"mikeal13",1.79,2.10,6.70,9.90,2,3,0,2,3,40,20,3,8,5,1,50,78.85
"Mcdurbs22",2.87,5.70,4.50,7.20,0,8,1,0,1,60,18,7,18,3,8,52,78.02
"itskevinwin",1.94,6.10,6.60,6.70,4,1,1,4,0,30,10,8,9,2,4,49,73.68
"inyourmind11",2.23,6.60,6.10,7.00,3,0,7,0,0,30,0,7,18,4,3,50,33.32
"ImmortalFenix00",2.32,4.20,4.40,6.00,0,3,7,0,0,60,6,12,15,5,2,44,59.07
"YJK YoGi",2.44,6.00,5.20,6.70,0,0,2,7,1,60,13,8,13,4,0,48,84.47
"Liu Yu Chen Jeff",2.69,8.00,6.10,8.40,1,8,1,0,0,70,8,6,20,4,5,51,188.42
"Mgoosk",2.81,6.60,5.40,8.60,0,1,0,9,0,40,0,15,16,4,1,56,98.82
"Pandamatt",3.60,9.40,4.20,5.70,0,3,2,5,0,80,3,11,24,2,3,54,140.12
"PintoTheCat",2.55,2.50,5.60,11.80,0,0,1,0,9,70,5,1,13,5,5,45,113.15
"Glorious Snack",2.14,6.50,6.60,7.60,1,5,0,1,3,30,4,5,10,2,4,56,94.82
"OIy",3.06,13.80,7.10,7.90,1,0,0,8,1,60,0,14,26,2,7,60,70.50
"manjoker",3.36,6.30,4.70,9.50,0,1,0,9,0,60,2,17,16,5,2,56,42.02
"Pupasaur",2.16,3.80,5.50,8.10,0,0,5,4,1,60,15,15,18,2,4,42,18.97
"IX Archangel XI",3.25,8.80,5.10,7.80,3,3,3,1,0,60,15,4,14,0,6,53,62.98
"PENTA Faker",4.95,10.10,4.40,11.70,5,3,0,1,1,60,23,13,19,1,10,60,136.53
"Shan Jang",3.39,6.40,6.10,14.30,1,0,0,5,4,50,0,13,19,2,2,58,37.72
"Kuhboom",1.95,2.70,4.20,5.50,4,0,0,6,0,30,11,6,11,0,2,42,134.85
"GOBLETOFAZKABAN",2.90,1.50,4.80,12.40,0,0,0,2,8,40,24,5,9,1,3,54,46.68
"WolfenX",2.66,13.70,8.30,8.40,2,1,7,0,0,60,0,6,27,3,4,60,11.50
"squirrelockholms",2.15,5.00,5.90,7.70,0,5,5,0,0,30,23,7,5,0,0,55,60.08
"Guul Draz",2.92,0.90,3.80,10.20,0,2,0,0,8,50,30,9,21,3,3,47,34.23
"ScaryMageMan",2.49,4.60,5.10,8.10,7,0,1,1,1,50,23,9,11,0,3,51,79.55
"For Pony",4.53,2.10,3.20,12.40,0,5,0,1,4,60,0,3,17,3,3,56,69.65
"AriesFaith",3.98,7.80,4.50,10.10,0,0,8,2,0,60,0,8,14,6,2,57,63.72
"Guambra",1.94,4.60,5.40,5.90,1,2,0,7,0,30,15,7,17,4,3,41,92.70
"Krogan14",2.73,6.00,6.00,10.40,0,0,0,8,2,80,0,22,23,4,5,50,28.42
"xaotutzi",2.80,3.70,5.10,10.60,1,1,0,3,5,50,22,6,18,4,9,46,65.80
"KingRash",2.30,4.90,5.30,7.30,4,0,6,0,0,60,1,9,17,2,1,46,59.17
"milkskank",2.93,2.90,4.10,9.10,1,1,3,1,4,60,23,11,15,2,2,49,107.07
"Omar J",1.86,7.40,7.10,5.80,0,0,5,5,0,20,0,5,9,1,4,52,31.38
"lingerr",2.44,5.90,6.20,9.20,0,6,3,1,0,40,15,1,14,1,5,56,81.58
"Grezvangbe",2.11,4.90,5.60,6.90,1,0,1,4,4,20,14,5,8,0,1,51,68.10
"TheMartyrMachine",2.52,5.70,4.80,6.40,0,0,6,4,0,30,6,15,16,7,6,52,54.62
"Jhong Ze Dong",2.86,6.00,4.90,8.00,0,9,1,0,0,80,34,11,21,3,4,45,93.95
