"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength"
"eXiLe xPsychotic",1.67,6.5,9.1,8.7,2,0,0,3,5,40,3,31,194,7,2,13,4,1,46,224794,300112,20083,4368,135553,2188.6
"YouGottaBeKitten",3.85,1.50,4.10,14.30,0,0,0,0,10,60,18, 47, 211, 2, 1, 13,4,6,60, 60010, 164721, 61613, 26.63, 98320,2019.6
"JTweak",6.31,6.60,3.20,13.60,1,0,8,1,0,60,34, 48, 129, 11, 3, 13,2,6,69, 262086, 176750, 35670, 84.87, 132653,2079.9
"binchen",3.00,1.30,4.90,13.40,0,0,0,0,10,50,10, 13, 255, 1, 1, 21,2,4,49, 68006, 266254, 56096, 138.68, 97444,2082.7
"Strat0sfear",5.15,13.20,4.00,7.40,0,8,0,0,0,75,13, 16, 118, 16, 3, 19,4,4,75, 310239, 232702, 78581, 198.43, 129805,1953.375
"mpfiv",3.04,5.30,5.00,9.90,0,8,2,0,0,60,6, 22, 111, 6, 1, 17,3,5,52, 165914, 296038, 85163, 222.92, 119503,2014.3
"lolitspetey",2.90,6.80,5.90,10.30,3,0,6,1,0,50,4, 22, 99, 9, 1, 18,1,5,59, 262208, 302962, 75985, 68.55, 129923,2123
"Leeroooy",2.27,2.10,4.50,8.10,0,5,0,0,5,20,17, 39, 187, 5, 1, 9,3,1,59, 83827, 227571, 42998, 74.10, 90660,1841.4
"tehnoob4life",3.38,10.10,6.30,11.20,0,4,2,1,3,70,5, 27, 131, 8, 3, 20,1,6,59, 255198, 227552, 46000, 188.07, 135252,1939.7
"mikeal13",1.56,2.80,8.10,9.80,3,3,1,0,3,40,11, 42, 128, 3, 2, 19,2,2,43, 137196, 312560, 67140, 84.88, 112546,2047.5
"Mcdurbs22",1.49,4.20,6.90,6.10,4,5,0,1,0,30,15, 22, 136, 12, 2, 10,2,4,40, 166424, 359849, 49803, 113.85, 133170,2134.7
"itskevinwin",1.84,8.60,8.50,7.00,1,4,2,3,0,0,5, 16, 95, 7, 2, 12,3,4,56, 219296, 356656, 86433, 112.12, 127518,2067.4
"inyourmind11",1.77,3.40,7.70,10.20,3,0,2,0,5,50,7, 20, 126, 2, 0, 14,2,2,48, 168629, 166117, 12623, 34.67, 103814,1929.8
"ImmortalFenix00",2.32,4.20,4.40,6.00,0,3,7,0,0,60,6, 13, 103, 12, 3, 15,5,2,44, 154995, 185986, 65595, 59.07, 103206,1703.7
"YJK YoGi",1.87,6.00,7.80,8.60,0,4,1,2,3,60,10, 23, 116, 11, 2, 21,5,5,42, 166477, 270575, 53688, 46.30, 123197,2069.2
"Liu Yu Chen Jeff",2.26,7.80,6.90,7.80,0,8,1,0,1,30,16, 18, 99, 7, 0, 14,1,6,59, 203597, 271789, 52618, 123.65, 123817,1928.8
"Mgoosk",3.81,9.70,5.30,10.50,1,0,0,9,0,70,1, 14, 121, 18, 3, 19,3,3,57, 272917, 228661, 43501, 208.80, 139763,1941.9
"Pandamatt",2.42,6.90,6.00,7.60,3,4,2,1,0,20,1, 20, 89, 4, 0, 15,4,1,51, 208940, 280669, 73479, 126.35, 132134,2131.1
"PintoTheCat",2.10,3.00,4.80,7.10,0,1,1,1,7,20,4, 26, 164, 3, 0, 13,2,2,49, 79811, 180201, 23688, 64.22, 88897,1861.8
"Glorious Snack",3.17,8.20,5.20,8.30,4,6,0,0,0,70,11, 29, 146, 14, 1, 17,3,4,47, 220291, 302344, 101896, 116.68, 148494,2111
"OIy",3.06,13.80,7.10,7.90,1,0,0,8,1,60,0, 23, 77, 14, 4, 26,2,7,60, 400014, 228576, 42846, 70.50, 162802,2158.5
"manjoker",3.23,9.00,5.70,9.40,0,2,4,4,0,70,0, 45, 113, 9, 5, 17,1,4,58, 284152, 205420, 52232, 54.28, 136686,2107.9
