"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","topPlayedLength","midPlayedLength","junglePlayedLength","adcPlayedLength","supportPlayedLength","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP"
"eXiLe xPsychotic",1.67,6.5,9.1,8.7,2,0,0,3,5,40,3,31,194,7,2,13,4,1,46,224794,300112,20083,4368,135553,2188.6,4735,0,0,6938,10213,76594,89909,29.67,600,8223,0,0,0,0,0,57657,108105,49.5,483,6558,0,0,0,0,0,90543,102098,6.4,263,5302
"YouGottaBeKitten",4.25,1.20,2.80,10.70,0,0,0,2,8,60,13, 32, 189, 3, 0, 12,4,5,57, 44835, 141866, 50312, 24.42, 84763,1771.5,0,0,0,3492,14223,8128,31561,23.00,166,11453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36707,110305,3.25,180,38859
"JTweak",6.31,6.60,3.20,13.60,1,0,8,1,0,60,34, 48, 129, 11, 3, 13,2,6,69, 262086, 176750, 35670, 84.87, 132653,2079.9,2376,16078,0,2345,0,27934,23374,67.00,214,4168,208480,124007,59.87,1432,23971,25672,29369,38.00,198,7531,0,0,0,0,0,0,0,0,0,0
"binchen",2.41,3.80,6.40,11.60,0,3,0,0,7,30,7, 18, 203, 1, 1, 14,2,3,52, 109858, 310210, 51460, 107.00, 103632,2025.3,0,0,6438,0,13815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53139,100959,1.67,216,18719,56719,209251,11.14,284,32741
"Strat0sfear",5.15,13.20,4.00,7.40,0,8,0,0,0,75,13, 16, 118, 16, 3, 19,4,4,75, 310239, 232702, 78581, 198.43, 129805,1953.375,0,0,15627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310239,232702,7.75,682,78581,0,0,0,0,0
"mpfiv",3.04,5.30,5.00,9.90,0,8,2,0,0,60,6, 22, 111, 6, 1, 17,3,5,52, 165914, 296038, 85163, 222.92, 119503,2014.3,0,4619,15524,0,0,0,0,0,0,0,51937,54424,54.50,369,17704,0,0,0,0,0,113977,241614,2.50,476,67459,0,0,0,0,0
"Leeroooy",2.27,2.10,4.50,8.10,0,5,0,0,5,20,17, 39, 187, 5, 1, 9,3,1,59, 83827, 227571, 42998, 74.10, 90660,1841.4,0,0,8681,0,9733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40834,118153,4.00,310,22566,42993,109418,4.80,171,20432
"tehnoob4life",1.87,5.10,7.70,9.30,0,2,2,2,4,40,5, 22, 189, 7, 2, 19,2,3,49, 223379, 220171, 34947, 93.30, 116308,2014.5,0,3081,4417,4092,8555,62038,43848,51.50,356,4758,30284,22939,51.00,260,1620,0,0,0,0,0,50696,62994,3.50,158,10604,80361,90390,3.25,127,17965
"mikeal13",2.06,2.00,7.80,14.10,0,0,0,2,8,40,13, 40, 170, 8, 0, 25,4,4,56, 105572, 253004, 33060, 126.30, 102776,1981.4,0,0,0,3515,16299,32132,36480,52.00,318,4968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73440,216524,9.63,286,28092
"Mcdurbs22",1.40,3.60,6.70,5.80,3,6,0,1,0,30,14, 18, 122, 11, 2, 8,1,2,40, 143722, 322631, 48335, 114.00, 120725,1984.2,7469,0,10887,1486,0,8199,13791,55.00,100,1403,0,0,0,0,0,69318,148895,53.33,755,13857,66205,159945,5.17,475,33075,0,0,0,0,0
"itskevinwin",2.03,2.60,7.00,11.60,0,2,0,0,8,80,2, 22, 149, 11, 2, 17,3,5,47, 111002, 242102, 69413, 35.02, 99938,1850.2,0,0,4372,0,14130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44482,80944,0.00,143,42096,66520,161158,10.88,292,27317
"inyourmind11",1.76,2.30,7.60,11.10,1,0,0,0,9,40,10, 33, 176, 4, 0, 18,5,1,48, 165791, 177875, 17616, 50.48, 110549,2136.2,2137,0,0,0,19225,0,0,0,0,0,0,0,0,0,0,10293,25540,38.00,161,5949,0,0,0,0,0,155498,152335,3.89,347,11667
"ImmortalFenix00",2.32,4.20,4.40,6.00,0,3,7,0,0,60,6, 13, 103, 12, 3, 15,5,2,44, 154995, 185986, 65595, 59.07, 103206,1703.7,0,10809,6228,0,0,0,0,0,0,0,109900,77700,56.86,902,7330,0,0,0,0,0,45095,108286,5.33,250,58265,0,0,0,0,0
"YJK YoGi",1.71,4.00,7.60,9.00,2,2,1,4,1,30,12, 22, 106, 7, 1, 10,2,2,49, 191662, 260601, 63059, 64.70, 116090,1952.2,3877,2351,3318,7843,2133,91125,91047,63.00,808,13753,35794,25962,70.00,225,1403,36242,69072,59.50,440,14171,16857,54710,4.50,108,19771,11644,19810,3.00,14,13961
"Liu Yu Chen Jeff",2.00,9.90,7.80,5.70,0,9,1,0,0,40,2, 10, 86, 6, 2, 13,0,1,51, 202849, 259880, 58078, 98.33, 132958,1850.4,0,2526,15978,0,0,0,0,0,0,0,28944,32211,35.00,166,965,0,0,0,0,0,173905,227669,4.44,700,57113,0,0,0,0,0
"Mgoosk",3.81,9.70,5.30,10.50,1,0,0,9,0,70,1, 14, 121, 18, 3, 19,3,3,57, 272917, 228661, 43501, 208.80, 139763,1941.9,2886,0,0,16533,0,230342,176640,60.56,1652,33416,0,0,0,0,0,42575,52021,44.00,213,10085,0,0,0,0,0,0,0,0,0,0
"Pandamatt",2.96,8.70,5.60,7.90,1,2,4,3,0,40,1, 35, 105, 10, 0, 18,3,3,53, 246584, 236272, 35020, 40.10, 135157,2058,2274,8716,3598,5992,0,62370,58027,62.67,622,9843,129098,75134,66.00,787,6847,25030,43207,55.00,174,8216,30086,59904,8.50,141,10114,0,0,0,0,0
"PintoTheCat",2.38,3.20,5.20,9.20,2,1,0,1,6,30,4, 32, 148, 5, 0, 12,0,3,47, 102756, 209941, 21887, 59.03, 96731,1884.4,4235,0,1640,1799,11170,9576,20162,17.00,50,2719,0,0,0,0,0,43362,56284,47.00,385,2000,6930,22546,4.00,61,4291,42888,110949,10.17,281,12877
