"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"eXiLe xPsychotic",1.67,6.5,9.1,8.7,2,0,0,3,5,40,3,31,194,7,2,13,4,1,46,224794,300112,20083,4368,135553,2188.6,4735,0,0,6938,10213,76594,89909,29.67,600,8223,47205,27,27,16,0,8,57,0.44,1.59,33.33,947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57657,108105,49.5,483,6558,34259,21,14,16,0,6,40,0.57,2.64,50,2314,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90543,102098,6.4,263,5302,54089,17,50,55,3,17,97,0.42,1.44,40,1107
"YouGottaBeKitten",4.45,0.90,2.90,12.00,0,0,0,2,8,60,12, 32, 190, 4, 0, 12,4,5,57, 46717, 150906, 46855, 25.23, 86906,1801.1,0,0,0,3492,14519,8128,31561,23.00,166,11453,16098,1,1,7,1,4,26,0.24,8.00,50.00,410,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38589,119345,4.25,211,35402,70808,8,28,113,11,28,164,0.63,4.32,62.50,1104,
"JTweak",6.31,6.60,3.20,13.60,1,0,8,1,0,60,34, 48, 129, 11, 3, 13,2,6,69, 262086, 176750, 35670, 84.87, 132653,2079.9,2376,16078,0,2345,0,27934,23374,67.00,214,4168,12870,6,5,8,2,1,16,0.61,2.80,0.00,744,208480,124007,59.87,1432,23971,105249,53,26,116,28,35,99,0.71,0.00,62.50,2869,25672,29369,38.00,198,7531,14534,7,1,12,4,12,14,0.66,19.00,100.00,1479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"binchen",2.84,2.40,5.50,13.20,0,1,0,0,9,50,13, 16, 247, 2, 0, 17,5,4,53, 90010, 226285, 49078, 56.13, 97111,1929.7,0,0,2292,0,17005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22463,32741,1.00,58,8548,14350,11,11,10,0,1,13,0.49,1.91,0.00,535,67547,193544,9.00,328,40530,82761,13,44,122,13,15,234,0.54,3.07,55.56,2833,
"Strat0sfear",5.15,13.20,4.00,7.40,0,8,0,0,0,75,13, 16, 118, 16, 3, 19,4,4,75, 310239, 232702, 78581, 198.43, 129805,1953.375,0,0,15627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310239,232702,7.75,682,78581,129805,132,40,74,13,16,118,0.75,5.15,75.00,11906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"mpfiv",3.04,5.30,5.00,9.90,0,8,2,0,0,60,6, 22, 111, 6, 1, 17,3,5,52, 165914, 296038, 85163, 222.92, 119503,2014.3,0,4619,15524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51937,54424,54.50,369,17704,31300,10,11,19,0,2,27,0.36,0.00,100.00,6971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113977,241614,2.50,476,67459,88203,43,39,80,6,20,84,0.57,3.15,50.00,6404,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Leeroooy",2.27,2.10,4.50,8.10,0,5,0,0,5,20,17, 39, 187, 5, 1, 9,3,1,59, 83827, 227571, 42998, 74.10, 90660,1841.4,0,0,8681,0,9733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40834,118153,4.00,310,22566,43889,13,18,25,9,15,70,0.59,2.11,20.00,3432,42993,109418,4.80,171,20432,46771,8,27,56,8,24,117,0.58,2.37,20.00,1014,
"tehnoob4life",2.03,5.40,7.80,10.40,0,2,2,1,5,50,6, 24, 200, 7, 3, 23,2,5,50, 251163, 232276, 38205, 105.37, 125377,2144.5,0,3081,4417,2251,11696,31570,21005,51.00,212,2895,16195,6,6,14,0,2,14,0.38,3.33,100.00,185,30284,22939,51.00,260,1620,20747,11,4,16,0,4,21,0.61,0.00,100.00,409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50696,62994,3.50,158,10604,24970,12,21,16,1,8,33,0.49,1.33,0.00,3076,138613,125338,3.40,245,23086,63465,25,47,58,5,10,132,0.52,1.77,40.00,2652,
"mikeal13",1.84,4.10,8.50,11.50,2,5,1,0,2,50,14, 29, 104, 7, 2, 13,4,4,51, 135290, 276989, 57606, 67.22, 107431,1828,3952,1902,9470,0,2956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23667,26604,63.00,138,7167,13399,9,8,15,2,2,11,0.51,0.00,100.00,163,46651,57053,60.00,326,9563,24316,14,25,15,2,7,24,0.49,1.16,0.00,266,52309,157200,1.60,294,36760,55506,17,43,61,7,15,46,0.49,1.81,60.00,2505,12663,36132,13.50,63,4116,14210,1,9,24,3,5,23,0.61,2.78,50.00,1099,
"Mcdurbs22",1.63,4.30,6.50,6.30,5,5,0,0,0,40,13, 21, 125, 9, 5, 11,1,3,36, 168307, 341082, 54349, 123.47, 130889,2081.4,11932,0,8882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110606,202117,52.80,1172,27892,75286,21,27,39,7,14,70,0.33,2.22,60.00,4522,57701,138965,6.20,370,26457,55603,22,38,24,6,7,55,0.42,1.21,20.00,2886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
