"SummonerName","rankScore","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","FBContribution_ADC","KillSprees_ADC","LargestKillingSpree_ADC","CSDiffPerMin_zeroToTen_ADC","XPPerMin_zeroToTen_ADC","XPPerMin_zeroToThirty_ADC","XPDiffPerMin_zeroToTen_ADC","XPDiffPerMin_tenToTwenty_ADC","XPDiffPerMin_twentyToThirty_ADC","TeamGoldPercent_ADC","TeamDamagePercent_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","FBContribution_MID","KillSprees_MID","LargestKillingSpree_MID","CSDiffPerMin_zeroToTen_MID","XPPerMin_zeroToTen_MID","XPPerMin_zeroToThirty_MID","XPDiffPerMin_zeroToTen_MID","XPDiffPerMin_tenToTwenty_MID","XPDiffPerMin_twentyToThirty_MID","TeamGoldPercent_MID","TeamDamagePercent_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","FBContribution_TOP","KillSprees_TOP","LargestKillingSpree_TOP","CSDiffPerMin_zeroToTen_TOP","XPPerMin_zeroToTen_TOP","XPPerMin_zeroToThirty_TOP","XPDiffPerMin_zeroToTen_TOP","XPDiffPerMin_tenToTwenty_TOP","XPDiffPerMin_twentyToThirty_TOP","TeamGoldPercent_TOP","TeamDamagePercent_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","FBContribution_JG","KillSprees_JG","LargestKillingSpree_JG","CSDiffPerMin_zeroToTen_JG","XPPerMin_zeroToTen_JG","XPPerMin_zeroToThirty_JG","XPDiffPerMin_zeroToTen_JG","XPDiffPerMin_tenToTwenty_JG","XPDiffPerMin_twentyToThirty_JG","TeamGoldPercent_JG","TeamDamagePercent_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP","FBContribution_SUP","KillSprees_SUP","LargestKillingSpree_SUP","CSDiffPerMin_zeroToTen_SUP","XPPerMin_zeroToTen_SUP","XPPerMin_zeroToThirty_SUP","XPDiffPerMin_zeroToTen_SUP","XPDiffPerMin_tenToTwenty_SUP","XPDiffPerMin_twentyToThirty_SUP","TeamGoldPercent_SUP","TeamDamagePercent_SUP"
"eXiLe xPsychotic",933,1.67,6.5,9.1,8.7,2,0,0,3,5,40,3,31,194,7,2,13,4,1,46,224794,300112,20083,4368,135553,2188.6,4735,0,0,6938,10213,76594,89909,29.67,600,8223,47205,27,27,16,0,8,57,0.44,1.59,33.33,947,0,2.33,2,0.02,331.73,1804.3,-13.65,-42.93,46.85,0.23,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57657,108105,49.5,483,6558,34259,21,14,16,0,6,40,0.57,2.64,50,2314,0,1.5,5,0.05,410.1,1502.2,14.45,41,38.85,0.23,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90543,102098,6.4,263,5302,54089,17,50,55,3,17,97,0.42,1.44,40,1107,0,0.6,1.2,-0.08,249.2,1073.3,-12.68,-5.23,-91.16,0.18,0.18
"YouGottaBeKitten",1200,4.58,1.40,3.30,13.70,0,0,0,2,8,70,14, 32, 193, 5, 1, 20,2,2,54, 55946, 164844, 43963, 25.58, 95997,1867.5,0,0,0,3492,15183,8128,31561,23.00,166,11453,16098,1,1,7,1,4,26,0.24,8.00,50.00,410,0.00,0.00,0.00,0.00,284.05,1629.60,-14.95,18.85,120.00,0.17,0.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47818,133283,5.00,253,32510,79899,13,32,130,13,28,167,0.58,4.47,75.00,1125,0.00,0.50,1.00,-0.28,264.84,1318.82,1.73,47.29,62.04,0.17,0.07,
"JTweak",1037,5.81,6.10,3.10,11.90,1,0,8,1,0,60,32, 54, 122, 9, 2, 11,2,5,70, 237141, 156563, 25088, 73.80, 122740,1972.2,2376,15001,0,2345,0,27934,23374,67.00,214,4168,12870,6,5,8,2,1,16,0.61,2.80,0.00,744,0.00,1.00,4.00,-1.70,293.80,909.60,-26.60,58.50,-226.80,0.20,0.28,183535,103820,61.13,1330,13389,95336,48,25,99,26,41,92,0.71,5.88,62.50,2205,12.50,1.13,4.00,-0.29,428.56,2219.02,-1.89,-48.08,138.98,0.21,0.27,25672,29369,38.00,198,7531,14534,7,1,12,4,12,14,0.66,19.00,100.00,1479,0.00,2.00,5.00,-1.70,337.10,1051.60,-7.00,38.20,-42.30,0.20,0.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"binchen",800,3.00,2.90,6.10,15.40,0,1,0,0,9,60,16, 11, 254, 2, 0, 19,4,5,56, 98792, 258579, 53659, 56.78, 105182,2005.8,0,0,2292,0,17766,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22463,32741,1.00,58,8548,14350,11,11,10,0,1,13,0.49,1.91,0.00,535,100.00,4.00,3.00,0.00,363.70,1235.20,33.40,-33.30,-128.90,0.19,0.19,76329,225838,10.56,344,45111,90832,18,50,144,16,10,241,0.57,3.24,66.67,2872,0.00,0.22,0.44,0.11,270.17,1318.54,-4.40,18.37,-15.58,0.16,0.09,
"Strat0sfear",978,5.15,13.20,4.00,7.40,0,8,0,0,0,75,13, 16, 118, 16, 3, 19,4,4,75, 310239, 232702, 78581, 198.43, 129805,1953.375,0,0,15627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,310239,232702,7.75,682,78581,129805,132,40,74,13,16,118,0.75,5.15,75.00,11906,12.50,3.38,7.75,0.41,419.36,2547.73,96.71,53.49,102.32,0.26,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"mpfiv",947,3.04,5.30,5.00,9.90,0,8,2,0,0,60,6, 22, 111, 6, 1, 17,3,5,52, 165914, 296038, 85163, 222.92, 119503,2014.3,0,4619,15524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51937,54424,54.50,369,17704,31300,10,11,19,0,2,27,0.36,2.64,100.00,6971,0.00,1.50,2.00,-0.40,456.40,1364.55,43.00,-29.60,-7.55,0.20,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113977,241614,2.50,476,67459,88203,43,39,80,6,20,84,0.57,3.15,50.00,6404,12.50,1.00,3.00,-0.05,296.40,1582.82,-50.76,-14.71,-14.84,0.19,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"lolitspetey",1043,2.92,5.00,4.90,9.30,0,8,1,0,1,40,19, 42, 111, 1, 1, 15,1,3,62, 126710, 269769, 53606, 56.38, 100373,1838,0,1515,14290,0,2575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17804,10539,57.00,119,3032,9985,9,0,11,2,1,9,0.71,20.00,100.00,321,0.00,1.00,9.00,1.20,413.70,0,70.10,142.50,0,0.21,0.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95440,220833,3.38,464,47467,78210,40,38,71,15,34,70,0.64,2.92,37.50,2070,12.50,1.25,2.75,0.03,317.43,1770.52,-0.26,-45.79,-158.88,0.19,0.17,13466,38397,9.00,41,3107,12178,1,11,11,2,7,32,0.43,1.09,0.00,992,0.00,0.00,0.00,0.85,270.80,876.10,-4.55,-34.80,-111.55,0.15,0.10,
"Leeroooy",1075,2.96,2.00,4.50,11.30,0,1,0,2,7,30,12, 79, 236, 2, 1, 11,1,4,47, 78375, 249417, 38229, 103.20, 100857,2207.7,0,0,2337,3521,16219,9219,34997,17.50,105,5179,15801,5,6,16,2,14,31,0.33,3.50,50.00,731,0.00,0.50,1.00,0.00,304.05,1615.40,-36.88,35.50,-209.60,0.14,0.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7958,25146,23.00,5,5997,11299,2,3,10,1,13,26,0.50,4.00,100.00,904,0.00,1.00,2.00,0.00,297.80,972.20,0.00,0.00,0.00,0.16,0.09,61198,189274,12.00,401,27053,73757,13,36,87,9,52,179,0.51,2.78,14.29,4557,0.00,0.29,0.86,0.17,257.31,943.34,-2.93,27.16,-57.55,0.16,0.08,
"tehnoob4life",1037,1.70,4.10,9.80,12.60,0,0,0,0,10,40,9, 23, 187, 4, 1, 17,3,3,55, 202184, 240876, 71626, 26.73, 113238,2272.7,0,0,0,0,22727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202184,240876,5.80,357,71626,113238,41,98,126,9,23,187,0.55,1.70,40.00,1604,10.00,0.80,0.90,0.02,265.50,1010.66,1.08,-53.75,38.38,0.17,0.16,
"mikeal13",1058,1.99,4.00,7.20,10.30,0,7,1,0,2,30,16, 18, 96, 4, 0, 15,2,4,55, 101282, 259315, 58961, 69.48, 102185,1809.7,0,2445,12423,0,3229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18231,33177,44.00,150,3461,12401,6,13,13,1,2,12,0.59,1.46,0.00,85,0.00,2.00,3.00,-3.00,380.00,1199.00,-146.10,51.30,-49.80,0.19,0.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74877,190643,3.43,436,45746,74998,30,41,71,10,15,52,0.54,2.46,42.86,3668,0.00,1.00,2.00,-0.37,280.39,3219.05,-70.27,102.56,-64.00,0.20,0.15,8174,35495,7.50,33,9754,14786,4,18,19,5,1,32,0.55,1.28,0.00,416,0.00,0.50,1.00,-0.85,243.20,1351.60,-31.90,-70.47,-162.65,0.17,0.06,
