"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionControl","TowersKilled","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","CCDuration"
"orangespriteman",1.56,1.1,6.2,8.6,0,0,0,0,10,60,27,2,18,1,3,35,27.18
"xInfluenza",3.69,5.60,3.20,6.20,0,0,2,8,0,40,18,14,13,3,3,51,45.02
"KinkyGravini",1.80,2.30,4.50,5.80,1,1,3,1,4,50,1,8,11,3,1,34,118.05
"AgentLauraKinney",4.17,3.70,3.50,10.90,0,1,0,2,7,60,14,6,19,0,2,58,28.98
"Baihtors",2.60,7.30,6.20,8.80,4,5,1,0,0,50,0,8,18,1,3,54,203.07
"Realistic camouf",1.60,5.90,8.40,7.50,4,0,3,3,0,50,12,15,18,2,5,41,25.68
"ZXNM",2.45,11.50,7.50,6.90,1,0,6,2,1,40,7,9,12,2,3,57,44.38
"zekesnack",1.89,4.70,6.30,7.20,1,4,1,1,3,30,8,3,18,5,2,49,62.02
"DD Monk",1.87,4.00,7.00,9.10,1,6,2,0,1,30,14,6,14,1,1,53,98.12
"heuh darkness",3.65,4.40,2.60,5.10,3,0,5,2,0,40,7,3,19,2,7,38,70.53
"Tanne Frank",2.60,4.80,4.50,6.90,6,3,0,0,1,50,18,9,18,3,3,51,69.30
"Kekilla",1.67,3.80,6.60,7.20,2,4,0,2,2,20,1,11,13,0,1,43,83.90
"HappyGemmer",1.82,4.80,6.50,7.00,0,4,3,3,0,20,8,7,13,1,0,48,121.33
"Wally West",5.03,2.80,3.80,16.30,1,0,0,0,9,70,0,8,22,3,5,51,50.07
"Themucher",2.18,5.80,6.50,8.40,1,1,2,6,0,40,4,8,14,2,4,52,36.52
"EndLessStory x",1.96,2.50,5.30,7.90,1,1,0,0,8,20,5,0,3,2,1,50,46.92
"Valinity",1.72,5.10,6.80,6.60,0,0,2,7,1,30,4,10,16,4,6,58,46.40
"Justin109",2.31,11.50,7.40,5.60,10,0,0,0,0,70,1,15,14,5,1,52,49.68
"0 LP Brozne V",3.40,2.90,4.30,11.70,1,0,0,1,8,60,12,5,18,0,3,51,64.05
"CMETAHA",2.90,4.30,4.80,9.60,5,1,1,1,2,30,0,12,17,4,5,48,54.83
