"SummonerName","KDA","AvgKills","AvgDeaths","AvgAssists","TOP_played","JUNGLE_played","MID_played","ADC_played","SUPPORT_played","WinRate","VisionWards","WardsKilled","WardsPlaced","TowersKilled","InhibitorKills","DragonsKilled","RiftHeraldKilled","BaronKilled","KillContribution","TotalDamageDealtToChampions","TotalDamageTaken","TotalHeal","CCDuration","GoldEarned","AvgGameLength","PlayedLength_TOP","PlayedLength_MID","PlayedLength_JG","PlayedLength_ADC","PlayedLength_SUP","D_ADC","DT_ADC","CS_zeroToTen_ADC","CS_ADC","H_ADC","G_ADC","K_ADC","De_ADC","A_ADC","VW_ADC","WK_ADC","WP_ADC","KC_ADC","KDA_ADC","WinRate_ADC","CC_ADC","D_MID","DT_MID","CS_zeroToTen_MID","CS_MID","H_MID","G_MID","K_MID","De_MID","A_MID","VW_MID","WK_MID","WP_MID","KC_MID","KDA_MID","WinRate_MID","CC_MID","D_TOP","DT_TOP","CS_zeroToTen_TOP","CS_TOP","H_TOP","G_TOP","K_TOP","De_TOP","A_TOP","VW_TOP","WK_TOP","WP_TOP","KC_TOP","KDA_TOP","WinRate_TOP","CC_TOP","D_JG","DT_JG","CS_zeroToTen_JG","CS_JG","H_JG","G_JG","K_JG","De_JG","A_JG","VW_JG","WK_JG","WP_JG","KC_JG","KDA_JG","WinRate_JG","CC_JG","D_SUP","DT_SUP","CS_zeroToTen_SUP","CS_SUP","H_SUP","G_SUP","K_SUP","De_SUP","A_SUP","VW_SUP","WK_SUP","WP_SUP","KC_SUP","KDA_SUP","WinRate_SUP","CC_SUP"
"orangespriteman",1.84,1.2,6.3,10.4,0,0,0,0,10,30,15,32,187,3,1,19,2,1,41,107834,171460,13883,1806,95248,1904.8,0,0,0,0,19048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107834,171460,2.6,332,13883,95248,12,63,104,15,32,187,0.41,1.84,30,1806
"xInfluenza",5.68,8.20,3.10,9.40,0,0,0,10,0,70,8, 20, 118, 17, 2, 18,2,4,60, 253806, 181321, 40526, 102.78, 149945,2031.8,0,0,0,20318,0,253806,181321,69.30,2376,40526,149945,82,31,94,8,20,118,0.60,5.68,70.00,6167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"KinkyGravini",1.91,5.70,5.50,4.80,1,2,5,1,1,30,4, 17, 77, 13, 3, 15,4,0,46, 200696, 153785, 110561, 152.20, 118761,1882,1580,9308,4178,1297,2457,10255,9432,16.00,50,6538,6970,1,3,11,1,3,7,0.52,4.00,100.00,187,114453,66715,58.40,942,54728,63598,36,24,18,0,7,33,0.51,0.00,40.00,5694,10030,15372,48.00,131,5506,7867,1,8,2,0,0,8,0.33,0.38,0.00,65,49317,43624,8.50,174,32259,27945,14,13,7,1,4,17,0.40,1.62,0.00,2197,16641,18642,9.00,90,11530,12381,5,7,10,2,3,12,0.41,2.14,0.00,989,
"AgentLauraKinney",4.17,3.70,3.50,10.90,0,1,0,2,7,60,14, 29, 137, 6, 3, 19,0,2,58, 77208, 139142, 92444, 28.98, 95288,1742.8,0,0,1214,2761,13453,28741,19381,61.50,314,2751,22269,21,2,7,0,3,12,0.62,14.00,100.00,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3064,17742,0.00,59,9946,6157,2,2,0,1,4,6,0.25,1.00,0.00,309,45403,102019,1.43,81,79747,66862,14,31,102,13,22,119,0.58,3.74,57.14,1320,
"Baihtors",1.86,6.30,7.80,8.20,5,4,1,0,0,40,4, 17, 74, 1, 2, 19,2,3,51, 219984, 346388, 77330, 110.63, 127603,2044.7,10137,1489,8821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5283,18131,51.00,105,350,6426,1,7,1,0,0,1,0.25,0.00,0.00,75,107443,181257,57.80,931,38361,60757,27,45,35,3,8,33,0.44,1.38,40.00,1324,107258,147000,1.50,425,38619,60420,35,26,46,1,9,40,0.60,3.12,50.00,5239,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"ZXNM",3.26,7.20,4.60,7.80,3,2,3,2,0,50,6, 7, 74, 7, 1, 15,1,3,60, 179551, 188976, 38172, 60.65, 108944,1764.4,4675,5438,3422,4109,0,31601,28813,57.00,433,3985,25954,14,9,17,0,3,12,0.60,3.44,50.00,586,59233,53786,30.00,330,4065,31330,24,15,22,2,2,21,0.64,0.00,33.33,578,39672,59265,60.67,407,9537,26735,15,13,16,2,1,24,0.57,2.38,33.33,1797,49045,47112,1.50,133,20585,24925,19,9,23,2,1,17,0.59,4.67,100.00,678,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"zekesnack",1.84,5.20,5.60,5.10,0,10,0,0,0,10,10, 20, 94, 4, 0, 8,2,0,52, 129468, 253870, 88243, 191.88, 103816,1782.5,0,0,17825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,129468,253870,3.20,745,88243,103816,52,56,51,10,20,94,0.52,1.84,10.00,11513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"DD Monk",2.12,3.80,6.50,10.00,4,1,1,2,2,30,7, 20, 120, 7, 2, 14,1,4,51, 152162, 250915, 34090, 49.63, 113384,1942,7823,3015,2372,2798,3412,17119,24242,56.50,283,2779,18337,10,10,7,0,2,12,0.41,1.70,50.00,576,34026,44186,63.00,245,4391,20644,6,13,28,1,3,21,0.59,0.00,100.00,143,65023,96450,51.00,707,11733,45686,17,19,27,2,9,45,0.46,2.32,0.00,876,19989,38217,0.00,89,7284,12669,4,10,10,2,1,11,0.54,1.40,0.00,818,16005,47820,13.00,91,7903,16048,1,13,28,2,5,31,0.58,2.23,50.00,565,
"heuh darkness",3.65,4.40,2.60,5.10,3,0,5,2,0,40,7, 19, 131, 3, 2, 19,2,7,38, 222361, 185613, 27468, 70.53, 127385,2241.5,6672,12021,0,3722,0,42254,25558,56.50,337,4371,20095,6,5,9,0,1,14,0.37,3.00,50.00,179,141278,101266,55.80,1124,19072,70180,28,12,33,5,13,71,0.47,0.00,40.00,2758,38829,58789,48.67,605,4025,37110,10,9,9,2,5,46,0.24,2.11,33.33,1295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
"Tanne Frank",2.80,2.60,4.60,10.30,4,1,0,0,5,70,21, 27, 151, 7, 0, 13,6,4,51, 93754, 218221, 93323, 118.68, 97204,1764.9,6800,0,1215,0,9634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59752,92773,51.50,611,17268,42044,20,22,30,7,2,46,0.46,2.27,50.00,5138,3726,13990,5.00,39,4975,5463,1,6,4,0,0,7,0.71,0.83,0.00,108,30276,111458,11.60,272,71080,49697,5,18,69,14,25,98,0.54,4.11,100.00,1875,
